,explain,human,create,continue
dependency_distance_mean,3.0260972982553906,3.2484087264121593,2.886199270757029,2.8846657513453176
dependency_distance_std,1.0858994247561087,1.2023229021147355,1.0486906149514825,0.6859644126515818
prop_adjacent_dependency_relation_mean,0.46695612156560456,0.4583447402669371,0.42031986458316833,0.4596776292163289
prop_adjacent_dependency_relation_std,0.07157416692971748,0.06897677219363658,0.0950057367028144,0.08926429173474078
pos_prop_ADP,0.09610983981693363,0.07829977628635347,0.09534368070953436,0.0639269406392694
pos_prop_DET,0.15789473684210525,0.1297539149888143,0.12638580931263857,0.16666666666666666
pos_prop_NOUN,0.2288329519450801,0.2058165548098434,0.25277161862527714,0.228310502283105
pos_prop_AUX,0.06178489702517163,0.06935123042505593,0.05321507760532151,0.0730593607305936
pos_prop_VERB,0.08009153318077804,0.08053691275167785,0.082039911308204,0.07077625570776255
pos_prop_PUNCT,0.11441647597254005,0.15659955257270694,0.12195121951219512,0.1141552511415525
pos_prop_ADV,0.05491990846681922,0.07158836689038031,0.04878048780487805,0.0821917808219178
pos_prop_CCONJ,0.02745995423340961,0.015659955257270694,0.04212860310421286,0.02968036529680365
pos_prop_ADJ,0.08237986270022883,0.06711409395973154,0.11086474501108648,0.09817351598173515
pos_prop_X,0.002288329519450801,0.006711409395973154,0.0022172949002217295,0.00228310502283105
pos_prop_PROPN,0.02517162471395881,0.058165548098434,0.019955654101995565,0.01141552511415525
pos_prop_SCONJ,0.018306636155606407,0.013422818791946308,0.008869179600886918,0.02968036529680365
pos_prop_PART,0.018306636155606407,0.015659955257270694,0.0022172949002217295,0.01598173515981735
pos_prop_PRON,0.02288329519450801,0.017897091722595078,0.031042128603104215,0.0136986301369863
pos_prop_NUM,0.009153318077803204,0.013422818791946308,0.0022172949002217295,
first_order_coherence,0.6829071300370353,0.5508967364827791,0.49226250525178583,0.6629088968038559
second_order_coherence,0.6236898496747016,0.5275803217116524,0.4807612754936729,0.6809272183024365
flesch_reading_ease,-25.908144820295973,-27.266663837011862,-24.472090909090866,-24.99666597938142
flesch_kincaid_grade,21.243064364575996,21.926434634974537,19.951939393939394,20.60145979381443
smog,17.996215985532388,18.636255903341084,16.887214914478655,16.74414570686415
gunning_fog,22.436880432229273,22.885342388228636,22.85575757575758,20.847175257731962
automated_readability_index,20.93181113460183,21.20286078098472,19.674318181818187,20.137603092783507
coleman_liau_index,24.421808785529716,23.690107526881715,25.033030303030305,24.498453608247427
lix,62.035353535353536,63.39615166949632,62.94747474747474,59.334432989690725
rix,7.818181818181818,8.578947368421053,6.566666666666666,6.8
entropy,7.296772390646812,6.348002176442556,5.6334256415064425,7.103206301389715
perplexity,1475.529799888185,571.350111327463,279.61835107083607,1215.859242605416
per_word_perplexity,3.376498397913467,1.2781881685178142,0.619996343837774,2.775934343847982
token_length_mean,7.126614987080103,6.973118279569892,7.325757575757576,7.177835051546392
token_length_median,6.0,6.0,6.0,6.0
token_length_std,4.754107666479403,4.58835927254688,4.425870134366912,4.678512347661915
sentence_length_mean,17.59090909090909,19.57894736842105,13.2,15.52
sentence_length_median,16.0,18.0,14.0,15.0
sentence_length_std,7.056003832385908,10.594515907440952,5.717808437971085,3.7536115941849926
syllables_per_token_mean,2.5400516795865635,2.532258064516129,2.5757575757575757,2.554123711340206
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.8650388798009048,1.8884289021165035,1.7442019916555345,1.8624500284321306
n_tokens,387,372,396,388
n_unique_tokens,225,222,247,199
proportion_unique_tokens,0.5813953488372093,0.5967741935483871,0.6237373737373737,0.5128865979381443
n_characters,2808,2669,2956,2835
n_sentences,22,19,30,25
passed_quality_check,True,True,True,True
n_stop_words,192.0,168.0,171.0,194.0
alpha_ratio,0.8787185354691075,0.814317673378076,0.8758314855875832,0.8858447488584474
mean_word_length,6.425629290617849,5.970917225950783,6.554323725055433,6.472602739726027
doc_length,437.0,447.0,451.0,438.0
duplicate_ngram_chr_fraction_5,0.012523481527864746,0.005915215248110417,,0.08441961514587212
top_ngram_chr_fraction_2,0.006574827802128992,0.009201445941505093,0.021486123545210387,0.02638112973308504
oov_ratio,0.11212814645308924,0.11409395973154363,0.057649667405764965,0.1050228310502283
connectives,15,12,10,11
connectives_cap,2,0,5,3
top_ngram_chr_fraction_3,,0.009858692080184028,0.012533572068039392,0.0260707635009311
top_ngram_chr_fraction_4,,0.007886953664147224,,
duplicate_ngram_chr_fraction_6,,,,0.08441961514587212
duplicate_ngram_chr_fraction_7,,,,0.08441961514587212
duplicate_ngram_chr_fraction_8,,,,0.08441961514587212
duplicate_ngram_chr_fraction_9,,,,0.08441961514587212
