,continue,human,create,explain
entropy,14.263862757877845,16.66932918462515,12.760199346004425,15.939940642992934
perplexity,1565730.048542375,17353923.63023935,348084.0825184624,8368127.008008423
per_word_perplexity,2622.6633978934256,27945.126618742914,492.3395792340345,12057.819896265739
passed_quality_check,True,True,True,True
n_stop_words,215.0,224.0,215.0,221.0
alpha_ratio,0.8877721943048577,0.8711755233494364,0.9066478076379066,0.840057636887608
mean_word_length,5.388609715242881,4.990338164251208,5.7595473833097595,5.024495677233429
doc_length,597.0,621.0,707.0,694.0
duplicate_ngram_chr_fraction_5,0.00855386260358193,0.045368620037807186,,0.025565388397246803
top_ngram_chr_fraction_2,0.0499866345896819,0.06886308398595734,0.039829605963791266,0.058505408062930184
top_ngram_chr_fraction_3,0.03074044373162256,0.031055900621118012,0.044089456869009586,0.04523107177974434
pos_prop_ADP,0.12060301507537688,0.1497584541062802,0.12305516265912306,0.13256484149855907
pos_prop_DET,0.06197654941373534,0.0853462157809984,0.06223479490806223,0.05763688760806916
pos_prop_NOUN,0.2864321608040201,0.2882447665056361,0.2814710042432815,0.2968299711815562
pos_prop_VERB,0.09882747068676717,0.07085346215780998,0.12871287128712872,0.09077809798270893
pos_prop_ADJ,0.11390284757118928,0.10144927536231885,0.12164073550212164,0.1037463976945245
pos_prop_NUM,0.01675041876046901,0.040257648953301126,0.004243281471004243,0.0446685878962536
pos_prop_PUNCT,0.10050251256281408,0.08856682769726248,0.08628005657708628,0.11527377521613832
pos_prop_ADV,0.03685092127303183,0.03864734299516908,0.031117397454031116,0.018731988472622477
pos_prop_PROPN,0.03015075376884422,0.04508856682769726,0.055162659123055166,0.03602305475504323
pos_prop_CCONJ,0.04020100502512563,0.028985507246376812,0.02263083451202263,0.02881844380403458
pos_prop_PRON,0.03015075376884422,0.01932367149758454,0.031117397454031116,0.021613832853025938
pos_prop_AUX,0.03015075376884422,0.02254428341384863,0.021216407355021217,0.021613832853025938
pos_prop_SCONJ,0.01675041876046901,0.011272141706924315,0.01272984441301273,0.01585014409221902
pos_prop_PART,0.01675041876046901,0.008051529790660225,0.018387553041018388,0.011527377521613832
dependency_distance_mean,2.8781538066542804,3.0837778204604533,2.791210579408023,2.841432292374853
dependency_distance_std,0.6410739182334746,0.7977398093532531,0.5169416151943194,0.46200583056451583
prop_adjacent_dependency_relation_mean,0.4642720026855634,0.4984688602017612,0.4931926474228282,0.48533040767918323
prop_adjacent_dependency_relation_std,0.05195654513738733,0.061327701517432553,0.0449258045271283,0.053475684100067145
first_order_coherence,0.8683593687803849,0.8969472259283066,0.8337893675674092,0.8204814107329758
second_order_coherence,0.8417896818030964,0.9031117276141518,0.848307782695407,0.8050253322491279
token_length_mean,5.893457943925234,5.399644760213143,6.273155416012559,5.609917355371901
token_length_median,6.0,5.0,6.0,5.0
token_length_std,2.976834894069378,2.905583504970269,3.0300615651956138,2.8942634901118898
sentence_length_mean,22.291666666666668,26.80952380952381,27.695652173913043,21.607142857142858
sentence_length_median,19.0,24.0,27.0,20.5
sentence_length_std,10.010324531313769,9.668894887455918,7.560968321979237,7.267045409214933
syllables_per_token_mean,1.714018691588785,1.6323268206039077,1.8304552590266876,1.6793388429752065
syllables_per_token_median,1.0,1.0,2.0,1.0
syllables_per_token_std,0.8957269900880067,0.920355607257305,0.9621479502340232,0.9304684109080946
n_tokens,535,563,637,605
n_unique_tokens,296,233,387,298
proportion_unique_tokens,0.5532710280373832,0.413854351687389,0.6075353218210361,0.4925619834710744
n_characters,3217,3099,4072,3487
n_sentences,24,21,23,28
flesch_reading_ease,39.20297702492212,41.52848431024276,23.867398129820515,42.83168388429755
flesch_kincaid_grade,13.329170560747666,14.127170768840397,16.810676404341006,12.652984061393152
smog,14.672994598444667,14.889722007359985,17.52230283418833,13.81666964889586
gunning_fog,16.243769470404985,17.047077729848603,20.246235751825818,15.122195985832349
automated_readability_index,17.474020249221184,17.40708872536581,21.96438809637567,15.796282172373083
coleman_liau_index,17.52568224299065,14.845825932504436,20.01739403453689,15.81639669421488
lix,61.35708722741434,58.425864839719196,70.08183741724115,55.32615112160566
rix,8.708333333333334,8.476190476190476,11.73913043478261,7.285714285714286
connectives,11,10,11,14
connectives_cap,5,3,1,3
oov_ratio,,0.001610305958132045,0.002828854314002829,
pos_prop_SYM,,0.001610305958132045,,0.004322766570605188
top_ngram_chr_fraction_4,,,0.016613418530351438,0.01991150442477876
