,human,explain,create,continue
token_length_mean,4.677704194260485,4.953658536585366,5.2407407407407405,5.284386617100372
token_length_median,4.0,4.0,4.5,5.0
token_length_std,2.6011310209206404,2.805099673110684,2.828657482801136,2.9567793841211167
sentence_length_mean,15.620689655172415,20.5,18.620689655172413,19.214285714285715
sentence_length_median,15.0,22.0,20.0,20.0
sentence_length_std,9.415371851954793,6.103277807866851,6.266571372429667,5.703114079525469
syllables_per_token_mean,1.3973509933774835,1.4707317073170731,1.5574074074074074,1.5687732342007434
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,0.6912841510304577,0.739394578458067,0.8873810513615336,0.8337171994457243
n_tokens,453,410,540,538
n_unique_tokens,261,212,278,264
proportion_unique_tokens,0.5761589403973509,0.5170731707317073,0.5148148148148148,0.49070631970260226
n_characters,2216,2094,2909,2919
n_sentences,29,20,29,28
first_order_coherence,0.6204807182906994,0.8220422456139013,0.7719655915030411,0.8312897682189941
second_order_coherence,0.6473361954644874,0.8145141932699416,0.7614364466733403,0.8297845489130571
pos_prop_PUNCT,0.14972273567467653,0.1111111111111111,0.11092985318107668,0.10837438423645321
pos_prop_PRON,0.08502772643253234,0.08547008547008547,0.04730831973898858,0.10509031198686371
pos_prop_VERB,0.11275415896487985,0.10042735042735043,0.12234910277324633,0.12151067323481117
pos_prop_DET,0.07578558225508318,0.08974358974358974,0.10929853181076672,0.06568144499178982
pos_prop_NOUN,0.17929759704251386,0.19444444444444445,0.24306688417618272,0.2134646962233169
pos_prop_ADP,0.12014787430683918,0.14102564102564102,0.10603588907014681,0.12643678160919541
pos_prop_CCONJ,0.025878003696857672,0.027777777777777776,0.02936378466557912,0.041050903119868636
pos_prop_AUX,0.04066543438077634,0.03205128205128205,0.04241435562805873,0.019704433497536946
pos_prop_ADJ,0.038817005545286505,0.049145299145299144,0.06688417618270799,0.07060755336617405
pos_prop_PROPN,0.09796672828096119,0.0876068376068376,0.053833605220228384,0.05582922824302135
pos_prop_SCONJ,0.018484288354898338,0.021367521367521368,0.009787928221859706,0.022988505747126436
pos_prop_PART,0.018484288354898338,0.023504273504273504,0.02773246329526917,0.021346469622331693
pos_prop_ADV,0.014787430683918669,0.017094017094017096,0.026101141924959218,0.016420361247947456
pos_prop_NUM,0.02033271719038817,0.017094017094017096,0.004893964110929853,0.011494252873563218
pos_prop_SYM,0.0018484288354898336,0.002136752136752137,,
flesch_reading_ease,72.76410596026493,61.60359756097563,56.17833333333334,54.61428438661713
flesch_kincaid_grade,6.99081068737155,9.759634146341465,10.049476372924648,10.4150955921402
smog,9.753983421225431,11.20814326018867,13.023866798666859,12.602617957971052
gunning_fog,9.69198447134049,12.102439024390245,13.89272030651341,13.410621348911313
automated_readability_index,8.412331582553094,12.151731707317076,12.564233716475094,13.066603823685611
coleman_liau_index,9.80997792494481,11.883609756097563,13.42592592592592,13.731672862453532
lix,41.66925477658522,50.256097560975604,50.28735632183908,55.087891662241105
rix,4.068965517241379,6.1,5.896551724137931,6.892857142857143
dependency_distance_mean,2.566177847245412,2.7377828575334986,2.645724737799325,2.61627554770135
dependency_distance_std,0.8242500050131824,0.5357584181255656,0.6256795537856005,0.41917679037169553
prop_adjacent_dependency_relation_mean,0.3897186009162401,0.45980028445601545,0.45948201211866774,0.45372484011307235
prop_adjacent_dependency_relation_std,0.11516912294601171,0.057527591859897885,0.06098250207821858,0.06449063968649855
entropy,15.70975012433766,13.663361119543918,19.289113165853593,17.767353750001394
perplexity,6647491.5060848445,858859.9244802624,238317211.54940957,52031181.96514241
per_word_perplexity,12287.41498352097,1835.1707788039796,388771.9601132293,85437.0804025327
passed_quality_check,True,True,True,True
n_stop_words,226.0,209.0,242.0,257.0
alpha_ratio,0.8280961182994455,0.8696581196581197,0.8874388254486134,0.8834154351395731
mean_word_length,4.096118299445472,4.4743589743589745,4.745513866231648,4.793103448275862
doc_length,541.0,468.0,613.0,609.0
top_ngram_chr_fraction_2,0.02470984649943841,0.007993605115907274,0.02320185614849188,0.035021707670043416
connectives,20,24,8,16
connectives_cap,3,6,2,6
duplicate_ngram_chr_fraction_5,,0.023181454836131096,0.029582366589327145,0.042257597684515195
duplicate_ngram_chr_fraction_6,,0.023181454836131096,,0.042257597684515195
top_ngram_chr_fraction_3,,0.015587529976019185,0.03480278422273782,0.013024602026049204
top_ngram_chr_fraction_4,,0.02038369304556355,0.021751740139211138,
duplicate_ngram_chr_fraction_7,,,,0.025470332850940667
duplicate_ngram_chr_fraction_8,,,,0.025470332850940667
