,human,continue,explain,create
token_length_mean,4.770992366412214,5.303030303030303,4.962099125364431,5.334883720930232
token_length_median,4.0,4.0,4.0,5.0
token_length_std,2.639198213206641,3.032221614862715,2.85944156948512,2.8471841430821985
sentence_length_mean,15.72,19.8,19.055555555555557,18.695652173913043
sentence_length_median,14.0,19.0,19.0,19.0
sentence_length_std,9.110521390129106,5.901412260354862,6.923969816853,5.856507214080952
syllables_per_token_mean,1.4173027989821882,1.5824915824915824,1.4868804664723032,1.5534883720930233
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,0.7125954084898506,0.8956102376260521,0.7781471641247244,0.8494454654078749
n_tokens,393,297,343,430
n_unique_tokens,231,170,189,235
proportion_unique_tokens,0.5877862595419847,0.5723905723905723,0.5510204081632653,0.5465116279069767
n_characters,1956,1618,1752,2365
n_sentences,25,15,18,23
dependency_distance_mean,2.6730999655187757,2.7477857135529775,2.8129932606347294,2.7954777778553437
dependency_distance_std,0.7157908456154392,0.46008749529861087,0.6165332743722063,0.686556849507066
prop_adjacent_dependency_relation_mean,0.4066173847044723,0.43468465276649426,0.4280782832704918,0.44888081367201094
prop_adjacent_dependency_relation_std,0.09270442218750538,0.04677064985701634,0.06682116838736761,0.06279231009382794
flesch_reading_ease,70.97538320610688,52.859212121212124,61.70352364755426,56.43379676440853
flesch_kincaid_grade,7.2649730279898215,10.805400673400676,9.386856171039849,10.032467138523764
smog,10.078955797065145,13.348371206891418,11.095144083064902,12.356017616173464
gunning_fog,10.053903307888042,14.384646464646465,11.703854875283447,13.059656218402427
automated_readability_index,8.901374045801528,13.447272727272725,11.46926465824425,13.045128412537913
coleman_liau_index,10.370483460559797,13.88686868686868,11.82379008746355,13.985860465116279
lix,43.20091603053435,54.48013468013468,48.793164885001616,52.184024266936305
rix,4.32,6.866666666666666,5.666666666666667,6.260869565217392
first_order_coherence,0.6526050511747599,0.8325000064713615,0.8033594489097595,0.7896873639388517
second_order_coherence,0.6754665122083996,0.8514502782088059,0.7945964522659779,0.7555942145131883
pos_prop_PUNCT,0.1535181236673774,0.09850746268656717,0.11253196930946291,0.14
pos_prop_PRON,0.08528784648187633,0.1044776119402985,0.10230179028132992,0.054
pos_prop_VERB,0.11513859275053305,0.10149253731343283,0.08951406649616368,0.13
pos_prop_DET,0.07036247334754797,0.0626865671641791,0.07161125319693094,0.086
pos_prop_NOUN,0.1791044776119403,0.21492537313432836,0.1867007672634271,0.21
pos_prop_ADP,0.12153518123667377,0.11641791044776119,0.13554987212276215,0.094
pos_prop_CCONJ,0.029850746268656716,0.050746268656716415,0.03324808184143223,0.046
pos_prop_AUX,0.04051172707889126,0.029850746268656716,0.043478260869565216,0.058
pos_prop_ADJ,0.03837953091684435,0.09253731343283582,0.04859335038363171,0.07
pos_prop_PROPN,0.08742004264392324,0.04776119402985075,0.08695652173913043,0.04
pos_prop_SCONJ,0.021321961620469083,0.014925373134328358,0.020460358056265986,0.012
pos_prop_PART,0.019189765458422176,0.023880597014925373,0.017902813299232736,0.024
pos_prop_ADV,0.017057569296375266,0.029850746268656716,0.03324808184143223,0.032
pos_prop_NUM,0.019189765458422176,0.011940298507462687,0.015345268542199489,0.004
pos_prop_SYM,0.0021321961620469083,,0.0025575447570332483,
passed_quality_check,True,True,True,True
n_stop_words,199.0,144.0,179.0,204.0
alpha_ratio,0.8251599147121536,0.8955223880597015,0.8670076726342711,0.858
mean_word_length,4.1705756929637525,4.829850746268657,4.4808184143222505,4.73
doc_length,469.0,335.0,391.0,500.0
top_ngram_chr_fraction_2,0.023404255319148935,0.022988505747126436,0.009560229445506692,0.02005730659025788
entropy,13.6376894314355,9.583145054175382,11.080561515033459,15.631919232568723
perplexity,837092.1436753598,14518.007496089534,64897.31399653299,6149733.051427828
per_word_perplexity,1784.8446560242212,43.33733580922249,165.97778515737338,12299.466102855657
connectives,19,10,23,10
top_ngram_chr_fraction_3,,,0.011472275334608031,0.0064469914040114614
