,explain,human,create,continue
token_length_mean,7.011627906976744,6.653465346534653,6.793103448275862,7.575342465753424
token_length_median,5.0,5.0,5.0,6.0
token_length_std,4.780031589966918,4.273107965842079,4.255862571873974,5.311960678749441
sentence_length_mean,23.454545454545453,27.545454545454547,16.571428571428573,18.25
sentence_length_median,23.0,23.0,18.5,16.5
sentence_length_std,6.513812406426493,13.262137743239629,7.761758689832072,6.832825184358224
syllables_per_token_mean,2.2790697674418605,2.201320132013201,2.3189655172413794,2.5205479452054793
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.5274072076817762,1.3986314290810085,1.6060185184391742,1.945205479452055
n_tokens,258,303,232,73
n_unique_tokens,146,191,136,54
proportion_unique_tokens,0.5658914728682171,0.6303630363036303,0.5862068965517241,0.7397260273972602
n_characters,1841,2079,1612,563
n_sentences,11,11,14,4
entropy,5.763241857843175,6.051350526502899,3.8991617064738886,1.3376189746217513
perplexity,318.3787964991897,424.68619288074785,49.361052705862114,3.80996108288953
per_word_perplexity,1.0978579189627231,1.1603447892916607,0.18418303248456014,0.04590314557698229
passed_quality_check,True,True,True,True
n_stop_words,132.0,146.0,106.0,35.0
alpha_ratio,0.8896551724137931,0.825136612021858,0.8544776119402985,0.8674698795180723
mean_word_length,6.348275862068966,5.680327868852459,6.014925373134329,6.783132530120482
doc_length,290.0,366.0,268.0,83.0
duplicate_ngram_chr_fraction_5,0.03238095238095238,0.006705783738474434,0.04343105320304017,
duplicate_ngram_chr_fraction_6,0.03238095238095238,,0.04343105320304017,
duplicate_ngram_chr_fraction_7,0.03238095238095238,,0.04343105320304017,
top_ngram_chr_fraction_2,0.017142857142857144,0.0075440067057837385,0.029315960912052116,
top_ngram_chr_fraction_3,0.02142857142857143,0.0075440067057837385,0.03908794788273615,
oov_ratio,0.04482758620689655,0.05191256830601093,0.08582089552238806,0.060240963855421686
first_order_coherence,0.7964322566986084,0.662736913561821,0.4540004472319896,0.7487045129140218
second_order_coherence,0.8304795093006558,0.7012352347373962,0.4949894876529773,0.8587283790111542
flesch_reading_ease,-9.780665961945033,-7.355319531953171,-6.16948275862066,-24.92710616438353
flesch_kincaid_grade,20.45029598308668,21.12830483048305,18.236650246305427,21.26996575342466
smog,19.1951169018618,20.525071163670994,16.439396014739867,17.693802365651003
gunning_fog,22.870190274841438,24.483528352835286,19.732019704433498,21.546575342465754
automated_readability_index,23.32204016913319,23.68054905490549,18.851231527093596,23.37486301369863
coleman_liau_index,24.16635658914728,22.247788778877887,22.35724137931034,27.121095890410952
lix,61.82663847780127,65.82928292829283,61.399014778325125,66.19520547945206
rix,9.0,10.545454545454545,7.428571428571429,8.75
pos_prop_DET,0.13448275862068965,0.13387978142076504,0.12686567164179105,0.0963855421686747
pos_prop_NOUN,0.2413793103448276,0.23770491803278687,0.22014925373134328,0.1927710843373494
pos_prop_VERB,0.08620689655172414,0.06557377049180328,0.08582089552238806,0.0963855421686747
pos_prop_ADP,0.1,0.07377049180327869,0.10820895522388059,0.14457831325301204
pos_prop_CCONJ,0.05862068965517241,0.04371584699453552,0.018656716417910446,0.04819277108433735
pos_prop_PRON,0.03793103448275862,0.040983606557377046,0.029850746268656716,0.024096385542168676
pos_prop_ADJ,0.06896551724137931,0.07377049180327869,0.08955223880597014,0.08433734939759036
pos_prop_ADV,0.05517241379310345,0.060109289617486336,0.041044776119402986,0.04819277108433735
pos_prop_PUNCT,0.1103448275862069,0.16666666666666666,0.13432835820895522,0.12048192771084337
pos_prop_AUX,0.05172413793103448,0.04918032786885246,0.03731343283582089,0.04819277108433735
pos_prop_SCONJ,0.03103448275862069,0.02185792349726776,0.011194029850746268,0.024096385542168676
pos_prop_PROPN,0.013793103448275862,0.02185792349726776,0.07462686567164178,0.04819277108433735
pos_prop_PART,0.006896551724137931,0.00819672131147541,0.0037313432835820895,0.012048192771084338
pos_prop_X,0.0034482758620689655,0.00273224043715847,0.0037313432835820895,
dependency_distance_mean,3.567714569254046,4.011688694928752,2.9869337952572335,3.3241436100131754
dependency_distance_std,0.7765038160204837,1.0084030547433585,1.4332889542385132,0.8313882134047942
prop_adjacent_dependency_relation_mean,0.5046326988835858,0.4573892338656855,0.4607893084770141,0.41982872200263505
prop_adjacent_dependency_relation_std,0.05751619596160207,0.0649358760685475,0.07750251516880576,0.06760148406577329
connectives,8,10,5,2
top_ngram_chr_fraction_4,,0.008801341156747695,,
duplicate_ngram_chr_fraction_8,,,0.04343105320304017,
pos_prop_NUM,,,0.014925373134328358,0.012048192771084338
