,human,continue,explain,create
passed_quality_check,True,True,True,True
n_stop_words,190.0,190.0,209.0,18.0
alpha_ratio,0.8187633262260128,0.8866666666666667,0.8706140350877193,0.8959276018099548
mean_word_length,5.67590618336887,6.033333333333333,6.030701754385965,5.622171945701357
doc_length,469.0,450.0,456.0,442.0
duplicate_ngram_chr_fraction_5,0.015717092337917484,0.010907924286172602,,0.03952843273231623
top_ngram_chr_fraction_2,0.006548788474132285,0.007699711260827719,0.007939028262940616,0.020804438280166437
top_ngram_chr_fraction_3,0.008185985592665358,,0.008574150523975865,0.02288488210818308
top_ngram_chr_fraction_4,0.0091683038637852,,,
oov_ratio,0.053304904051172705,0.03333333333333333,0.05043859649122807,0.16289592760180996
pos_prop_NOUN,0.2281449893390192,0.2222222222222222,0.23026315789473684,0.011312217194570135
pos_prop_CCONJ,0.04051172707889126,0.03111111111111111,0.05263157894736842,
pos_prop_AUX,0.057569296375266525,0.044444444444444446,0.046052631578947366,0.004524886877828055
pos_prop_ADV,0.07462686567164178,0.08666666666666667,0.05482456140350877,0.004524886877828055
pos_prop_PUNCT,0.17057569296375266,0.10444444444444445,0.125,0.09954751131221719
pos_prop_SCONJ,0.019189765458422176,0.02,0.03289473684210526,
pos_prop_PRON,0.03624733475479744,0.04888888888888889,0.04824561403508772,
pos_prop_ADP,0.07249466950959488,0.11777777777777777,0.09210526315789473,0.01583710407239819
pos_prop_DET,0.1300639658848614,0.1111111111111111,0.13157894736842105,
pos_prop_ADJ,0.06609808102345416,0.07555555555555556,0.06140350877192982,
pos_prop_VERB,0.06396588486140725,0.09111111111111111,0.10087719298245613,0.0022624434389140274
pos_prop_PROPN,0.0255863539445629,0.035555555555555556,0.006578947368421052,0.35294117647058826
pos_prop_PART,0.010660980810234541,0.006666666666666667,0.013157894736842105,
pos_prop_X,0.0021321961620469083,,,0.5067873303167421
pos_prop_NUM,0.0021321961620469083,0.0044444444444444444,0.0043859649122807015,0.0022624434389140274
entropy,7.576020212179387,6.672962364214199,8.032141349756246,0.8571545910257881
perplexity,1950.8495282091956,790.7345821292989,3078.326394134498,2.356446092484021
per_word_perplexity,4.159593876778668,1.757187960287331,6.7507157766107415,0.00533132600109507
first_order_coherence,0.6350948406117303,0.6249661299710473,0.7031096838414669,0.7025666785511103
second_order_coherence,0.6881343195071588,0.5893257972986802,0.6483474044423354,0.7326828198773521
dependency_distance_mean,3.895588815412012,3.0880705381948967,3.2316876110336628,3.3145936415000645
dependency_distance_std,1.1747210860497839,1.1870082245262032,0.7180115078246465,1.4795942345307205
prop_adjacent_dependency_relation_mean,0.46295520643684646,0.40726395088981726,0.48070595693806695,0.3259663818627832
prop_adjacent_dependency_relation_std,0.05925097411304181,0.10327076815500599,0.06721917761383013,0.11072253857895599
token_length_mean,6.681347150259067,6.620347394540943,6.74937343358396,6.053846153846154
token_length_median,5.0,6.0,5.0,6.0
token_length_std,4.325429596047949,4.170947953068684,4.5147869952443,3.4088381473447664
sentence_length_mean,25.733333333333334,16.12,19.0,16.956521739130434
sentence_length_median,23.0,15.0,19.0,17.0
sentence_length_std,12.401433608883917,6.33921130741041,6.102302453836194,8.363888532253535
syllables_per_token_mean,2.2072538860103625,2.1811414392059554,2.255639097744361,2.2512820512820513
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.4444997422949164,1.4521112164561398,1.4951255905119467,1.4530025137839435
n_tokens,386,403,399,390
n_unique_tokens,241,228,231,204
proportion_unique_tokens,0.6243523316062176,0.56575682382134,0.5789473684210527,0.5230769230769231
n_characters,2662,2715,2750,2485
n_sentences,15,25,21,23
flesch_reading_ease,-6.018012089809986,5.948634243176201,-3.277067669172908,-0.8343311036789203
flesch_kincaid_grade,20.491595854922284,16.434268982630275,18.436541353383465,17.588171683389074
smog,19.686211704642208,15.112257680678326,17.451712890111914,17.62055109306203
gunning_fog,23.350328151986186,17.366114143920594,20.833082706766916,21.962095875139354
automated_readability_index,22.905811744386874,17.811836228287838,19.859548872180447,15.561876254180603
coleman_liau_index,22.336062176165807,21.291414392059547,22.328421052631573,18.050974358974354
lix,64.33436960276339,58.303622828784114,58.59899749373433,58.23857302118171
rix,9.933333333333334,6.8,7.523809523809524,7.0
connectives,13,19,21,0
connectives_cap,0,4,1,0
