,human,explain,create,continue
token_length_mean,6.842424242424243,6.598746081504702,7.030959752321982,6.834862385321101
token_length_median,5.5,5.0,6.0,5.0
token_length_std,4.5232751812677625,4.385298715329747,4.24106797785739,4.440253239880943
sentence_length_mean,17.36842105263158,17.72222222222222,20.1875,17.210526315789473
sentence_length_median,18.0,16.5,21.0,17.0
sentence_length_std,8.921945305438776,7.186449869608433,6.395494019229476,8.482669312802434
syllables_per_token_mean,2.4757575757575756,2.3699059561128526,2.473684210526316,2.4403669724770642
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.8243355457959836,1.7743832847816414,1.5918973586844742,1.7085744867128811
n_tokens,330,319,323.0,327
n_unique_tokens,206,198,178.0,194
proportion_unique_tokens,0.6242424242424243,0.6206896551724138,0.5510835913312694,0.5932721712538226
n_characters,2316,2154,2305.0,2280
n_sentences,19,18,16.0,19
flesch_reading_ease,-20.243038277511914,-11.647099442702853,-22.92899671052629,-17.08873008208593
flesch_kincaid_grade,20.39762360446571,19.28655694879833,21.472598684210528,19.918435538387254
smog,17.485936625619757,17.5058628484301,19.53771442962202,18.243605946275583
gunning_fog,21.49282296650718,21.383559735283875,24.421749226006195,23.153323676162884
automated_readability_index,19.482028708133974,18.511205154998258,21.779570433436533,19.367464992757114
coleman_liau_index,22.729212121212118,21.330407523510967,24.075789473684214,22.669113149847096
lix,59.18660287081339,58.161093695576454,68.48471362229103,61.2472235634959
rix,7.2631578947368425,7.166666666666667,9.75,7.578947368421052
first_order_coherence,0.49179081784354317,0.6498876862666186,0.5939799338579178,0.4671807096650203
second_order_coherence,0.4768249041893903,0.646407350897789,0.5679146157843726,0.5180986060158295
entropy,5.072342204454473,6.1059657330163635,5.668264590211535,6.357354923290934
perplexity,159.54758311186254,448.52558833552416,289.53164211006373,576.7188714723003
per_word_perplexity,0.41120511111304775,1.2188195335204461,0.8110130031094223,1.5503195469685491
dependency_distance_mean,3.115501060456799,3.391419912780219,3.3149431533950655,2.8356550657894966
dependency_distance_std,1.363345716055391,0.9132121927264609,0.9962313839097663,1.1668368655055628
prop_adjacent_dependency_relation_mean,0.4083214506085757,0.4409373919552666,0.4563131241081441,0.47871920630923404
prop_adjacent_dependency_relation_std,0.1231516209521532,0.10110093430828312,0.0522945560192991,0.06746417397507094
passed_quality_check,True,True,,True
n_stop_words,132.0,149.0,149.0,151.0
alpha_ratio,0.8247422680412371,0.8559782608695652,0.8991596638655462,0.8709677419354839
mean_word_length,5.969072164948454,5.853260869565218,6.456582633053221,6.129032258064516
doc_length,388.0,368.0,357.0,372.0
duplicate_ngram_chr_fraction_5,0.0582891748675246,0.0186084142394822,0.2478111914731633,0.024558710667689946
duplicate_ngram_chr_fraction_6,0.04844814534443603,,0.1773886562618957,
duplicate_ngram_chr_fraction_7,0.04844814534443603,,0.1339931480776551,
top_ngram_chr_fraction_2,0.012112036336109008,0.012135922330097087,0.07993909402360107,0.007674597083653108
top_ngram_chr_fraction_3,0.01514004542013626,0.010922330097087379,0.038827559954320516,0.011511895625479662
top_ngram_chr_fraction_4,0.018168054504163512,,0.06661591168633423,0.016116653875671526
oov_ratio,0.06958762886597938,0.04891304347826087,0.03081232492997199,0.026881720430107527
pos_prop_DET,0.11855670103092783,0.13043478260869565,0.13165266106442577,0.13440860215053763
pos_prop_NOUN,0.20876288659793815,0.1956521739130435,0.23249299719887956,0.22043010752688172
pos_prop_PUNCT,0.13144329896907217,0.13043478260869565,0.09523809523809523,0.12096774193548387
pos_prop_ADV,0.05670103092783505,0.06521739130434782,0.056022408963585436,0.0456989247311828
pos_prop_VERB,0.06958762886597938,0.08152173913043478,0.06442577030812324,0.07258064516129033
pos_prop_ADJ,0.10309278350515463,0.09782608695652174,0.12324929971988796,0.10483870967741936
pos_prop_PROPN,0.07989690721649484,0.0625,0.03361344537815126,0.05913978494623656
pos_prop_ADP,0.11597938144329897,0.08967391304347826,0.12324929971988796,0.09408602150537634
pos_prop_PRON,0.023195876288659795,0.029891304347826088,0.04201680672268908,0.021505376344086023
pos_prop_AUX,0.020618556701030927,0.04076086956521739,0.04481792717086835,0.04838709677419355
pos_prop_NUM,0.02577319587628866,0.010869565217391304,0.0028011204481792717,
pos_prop_CCONJ,0.02577319587628866,0.035326086956521736,0.025210084033613446,0.04032258064516129
pos_prop_SCONJ,0.010309278350515464,0.019021739130434784,0.01680672268907563,0.021505376344086023
pos_prop_PART,0.002577319587628866,0.002717391304347826,0.0056022408963585435,0.016129032258064516
pos_prop_X,0.007731958762886598,0.008152173913043478,0.0028011204481792717,
connectives,7,15,13.0,9
duplicate_ngram_chr_fraction_8,,,0.09440426341834793,
duplicate_ngram_chr_fraction_9,,,0.09440426341834793,
duplicate_ngram_chr_fraction_10,,,0.09440426341834793,
