,explain,human,create,continue
entropy,7.9321784198506435,7.512524671680513,7.623953297335747,7.691257204893054
perplexity,2785.4881627358654,1830.829957444293,2046.6371229654965,2189.125011602856
per_word_perplexity,6.523391481817015,3.9372687256866516,4.5279582366493285,4.8755568187146014
token_length_mean,6.943589743589744,6.935483870967742,7.643734643734644,7.093596059113301
token_length_median,6.0,6.0,6.0,6.0
token_length_std,4.576069014619587,4.436013954338932,5.033875789365047,4.628686348702434
sentence_length_mean,21.666666666666668,28.785714285714285,18.5,19.333333333333332
sentence_length_median,20.5,25.0,18.5,18.0
sentence_length_std,5.228129047119374,16.213656375451666,6.597175704248544,5.841830545897761
syllables_per_token_mean,2.4256410256410255,2.43424317617866,2.57985257985258,2.413793103448276
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.683512498520837,1.6438527070583495,1.7278999703413476,1.668664223913603
n_tokens,390,403,407,406
n_unique_tokens,213,240,211,223
proportion_unique_tokens,0.5461538461538461,0.5955334987593052,0.5184275184275184,0.5492610837438424
n_characters,2745,2857,3156,2923
n_sentences,18,14,22,21
pos_prop_DET,0.11943793911007025,0.10752688172043011,0.11283185840707964,0.12694877505567928
pos_prop_NOUN,0.25995316159250587,0.25161290322580643,0.25663716814159293,0.22939866369710468
pos_prop_VERB,0.07962529274004684,0.05591397849462366,0.07743362831858407,0.09131403118040089
pos_prop_PRON,0.03044496487119438,0.01935483870967742,0.024336283185840708,0.028953229398663696
pos_prop_ADP,0.11943793911007025,0.1010752688172043,0.10619469026548672,0.08240534521158129
pos_prop_ADJ,0.07728337236533958,0.08172043010752689,0.1084070796460177,0.07126948775055679
pos_prop_PUNCT,0.08665105386416862,0.12043010752688173,0.09955752212389381,0.0957683741648107
pos_prop_AUX,0.04449648711943794,0.03870967741935484,0.05309734513274336,0.062360801781737196
pos_prop_ADV,0.0585480093676815,0.08172043010752689,0.06858407079646017,0.10690423162583519
pos_prop_SCONJ,0.0234192037470726,0.01935483870967742,0.017699115044247787,0.013363028953229399
pos_prop_NUM,0.00234192037470726,,,
pos_prop_CCONJ,0.0702576112412178,0.07956989247311828,0.05088495575221239,0.053452115812917596
pos_prop_PART,0.02107728337236534,0.010752688172043012,0.024336283185840708,0.031180400890868598
pos_prop_X,0.00468384074941452,0.004301075268817204,,0.0066815144766146995
pos_prop_PROPN,0.00234192037470726,0.02795698924731183,,
flesch_reading_ease,-20.36589743589741,-28.319472704714627,-30.198028255528243,-16.995229885057455
flesch_kincaid_grade,21.4825641025641,24.360498050336762,22.067260442260444,20.432758620689658
smog,19.6203779977781,22.076135915942103,19.287186520377343,18.140434051309363
gunning_fog,24.051282051282058,26.799645515774547,24.697297297297297,22.019047619047623
automated_readability_index,22.10764102564103,25.62898617511521,23.821990171990173,21.647504105090313
coleman_liau_index,23.66215384615384,23.95235732009925,27.5451597051597,24.379310344827584
lix,66.02564102564102,73.69886565047855,66.65724815724815,63.42200328407225
rix,9.61111111111111,12.928571428571429,8.909090909090908,8.523809523809524
passed_quality_check,True,True,True,True
n_stop_words,201.0,189.0,196.0,209.0
alpha_ratio,0.9133489461358314,0.8666666666666667,0.8982300884955752,0.9042316258351893
mean_word_length,6.428571428571429,6.144086021505377,6.982300884955753,6.510022271714922
doc_length,427.0,465.0,452.0,449.0
duplicate_ngram_chr_fraction_5,0.016602809706257982,0.017791411042944787,0.05614823133071308,0.013817963352358065
duplicate_ngram_chr_fraction_6,0.016602809706257982,0.017791411042944787,0.037619314991577765,
top_ngram_chr_fraction_2,0.011174968071519796,0.0098159509202454,0.021055586749017405,0.02883748873535596
top_ngram_chr_fraction_3,0.008620689655172414,0.012269938650306749,0.033688938798427846,0.04205467107239411
oov_ratio,0.01873536299765808,0.030107526881720432,0.008849557522123894,0.011135857461024499
dependency_distance_mean,3.0892328011573533,3.773463574930471,3.122143760402666,3.2382280487543644
dependency_distance_std,0.6008178469793721,1.2047380003573074,0.8069309390487097,0.7974056806913367
prop_adjacent_dependency_relation_mean,0.4962574272592987,0.48042655771610443,0.4775274553230045,0.47757708909024693
prop_adjacent_dependency_relation_std,0.08006994396552593,0.05345485736130397,0.0964156862123616,0.05014663793437292
first_order_coherence,0.7426860157181235,0.6374351680278778,0.7109601059485049,0.7315341269597411
second_order_coherence,0.747268944978714,0.6082710099096099,0.7425097644329071,0.7195978405836382
connectives,16,22,15,17
connectives_cap,4,3,3,3
duplicate_ngram_chr_fraction_7,,0.017791411042944787,0.037619314991577765,
top_ngram_chr_fraction_4,,0.007361963190184049,0.03705783267827063,
duplicate_ngram_chr_fraction_8,,,0.037619314991577765,
