,continue,human,create,explain
dependency_distance_mean,3.4125427384042673,3.898727931408036,3.2428648563995326,3.632414187638241
dependency_distance_std,1.0101257211897798,1.20489059642614,0.9661462780818294,0.8096702036440183
prop_adjacent_dependency_relation_mean,0.44850289817395084,0.47643821277639864,0.42309965245372816,0.5054381938621622
prop_adjacent_dependency_relation_std,0.09744658646304308,0.05135200279220081,0.1256007891404914,0.07295169082183309
first_order_coherence,0.7825290620326996,0.6243843517520211,0.7752600528299809,0.8329254303659711
second_order_coherence,0.7878294806731375,0.5895786620676517,0.7779879522951025,0.8233887507365301
flesch_reading_ease,-26.589319186560544,-30.85655,-27.858809523809498,-34.15766666666667
flesch_kincaid_grade,21.427874194770748,25.32656666666667,21.616772486772486,24.25089361702128
smog,18.699421769314853,22.849800228440166,18.848423458724294,21.493009986710348
gunning_fog,23.732676518883416,27.75333333333333,24.025396825396825,26.516028368794327
automated_readability_index,22.527622836933183,26.800759999999997,22.471349206349203,25.188200354609926
coleman_liau_index,26.222281167108758,23.958079999999992,26.12666666666666,25.57095744680851
lix,64.37147909561703,75.78333333333333,64.82539682539682,70.8113475177305
rix,8.333333333333334,13.916666666666666,8.428571428571429,11.466666666666667
entropy,8.778622033707183,7.149373467437956,8.309688425923444,7.960554113305066
perplexity,6493.922598763553,1273.3079363235447,4063.046846398885,2865.6604132120547
per_word_perplexity,15.916476957753806,2.933889254201716,9.934099868945928,6.955486439835084
token_length_mean,7.427055702917772,6.922666666666666,7.41005291005291,7.236702127659575
token_length_median,6.0,6.0,6.0,6.0
token_length_std,5.044166742046264,4.443049203218688,5.006726110584329,4.78304116029324
sentence_length_mean,17.952380952380953,31.25,18.0,25.066666666666666
sentence_length_median,19.0,28.0,18.0,23.0
sentence_length_std,6.168091396365889,16.156139184017118,6.4660284417503,6.169458827338279
syllables_per_token_mean,2.543766578249337,2.4346666666666668,2.558201058201058,2.547872340425532
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.779285353707344,1.6542062211895536,1.72533224828814,1.763352025740112
n_tokens,377,375,378,376
n_unique_tokens,200,226,186,211
proportion_unique_tokens,0.5305039787798409,0.6026666666666667,0.49206349206349204,0.5611702127659575
n_characters,2831,2655,2832,2757
n_sentences,21,12,21,15
pos_prop_DET,0.1568627450980392,0.11059907834101383,0.15647921760391198,0.13106796116504854
pos_prop_NOUN,0.25980392156862747,0.2557603686635945,0.2713936430317848,0.2621359223300971
pos_prop_AUX,0.049019607843137254,0.03917050691244239,0.044009779951100246,0.04854368932038835
pos_prop_ADP,0.1053921568627451,0.10368663594470046,0.10268948655256724,0.10194174757281553
pos_prop_ADJ,0.09068627450980392,0.08064516129032258,0.09046454767726161,0.09223300970873786
pos_prop_ADV,0.07598039215686274,0.07603686635944701,0.05623471882640587,0.04611650485436893
pos_prop_VERB,0.07352941176470588,0.052995391705069124,0.08557457212713937,0.07524271844660194
pos_prop_CCONJ,0.061274509803921566,0.08294930875576037,0.05867970660146699,0.08009708737864078
pos_prop_PRON,0.024509803921568627,0.016129032258064516,0.017114914425427872,0.01699029126213592
pos_prop_PUNCT,0.07598039215686274,0.12211981566820276,0.07579462102689487,0.08737864077669903
pos_prop_PROPN,0.0024509803921568627,0.029953917050691243,,
pos_prop_X,0.0024509803921568627,0.004608294930875576,0.0024449877750611247,0.012135922330097087
pos_prop_PART,0.014705882352941176,0.0069124423963133645,0.022004889975550123,0.024271844660194174
pos_prop_SCONJ,0.007352941176470588,0.018433179723502304,0.017114914425427872,0.021844660194174758
passed_quality_check,True,True,True,True
n_stop_words,189.0,176.0,187.0,187.0
alpha_ratio,0.9240196078431373,0.8640552995391705,0.9242053789731052,0.912621359223301
mean_word_length,6.938725490196078,6.117511520737327,6.924205378973105,6.691747572815534
doc_length,408.0,434.0,409.0,412.0
top_ngram_chr_fraction_2,0.037418147801683815,0.010561056105610561,0.05983172327827984,0.03065134099616858
top_ngram_chr_fraction_3,0.0545681322107889,0.013201320132013201,0.08725459644749144,0.033524904214559385
top_ngram_chr_fraction_4,0.03648269410664172,0.007920792079207921,0.08507323153630414,
oov_ratio,0.012254901960784314,0.03225806451612903,0.009779951100244499,0.02912621359223301
connectives,14,21,12,16
connectives_cap,5,3,3,3
duplicate_ngram_chr_fraction_5,,0.01914191419141914,0.14770956684325334,0.04533844189016603
duplicate_ngram_chr_fraction_6,,0.01914191419141914,0.07073854783421626,0.04533844189016603
duplicate_ngram_chr_fraction_7,,0.01914191419141914,0.054222499220941106,
duplicate_ngram_chr_fraction_8,,,0.054222499220941106,
duplicate_ngram_chr_fraction_9,,,0.054222499220941106,
