,human,create,explain,continue
first_order_coherence,0.5487285777926445,0.7709873685469995,0.6894777994602919,0.7289353196437542
second_order_coherence,0.5951069685129019,0.7468886226415634,0.6976374745368957,0.7882280995448431
passed_quality_check,True,True,True,True
n_stop_words,163.0,123.0,157.0,102.0
alpha_ratio,0.839572192513369,0.9097222222222222,0.9,0.8945147679324894
mean_word_length,6.072192513368984,7.333333333333333,6.802777777777778,7.236286919831223
doc_length,374.0,288.0,360.0,237.0
duplicate_ngram_chr_fraction_5,0.027777777777777776,,,0.058151609553478714
top_ngram_chr_fraction_2,0.009259259259259259,,0.006493506493506494,0.006230529595015576
top_ngram_chr_fraction_3,0.011574074074074073,,0.023809523809523808,0.012461059190031152
top_ngram_chr_fraction_4,0.011574074074074073,,,
oov_ratio,0.040106951871657755,0.020833333333333332,0.041666666666666664,0.029535864978902954
dependency_distance_mean,3.6021128109083955,3.1922592113768586,3.2630230678521164,2.8802683792815365
dependency_distance_std,1.3680988729800012,1.0802672876315442,0.7633233566644856,0.7705171292087795
prop_adjacent_dependency_relation_mean,0.45596493640179714,0.42077831132452986,0.4523977609638533,0.46795492519176723
prop_adjacent_dependency_relation_std,0.06945713437344182,0.124148214501036,0.062142326456359774,0.06727157725995452
entropy,6.440687875407093,4.779706850755451,5.963978574945081,3.96492262218402
perplexity,626.8378378771613,119.06943981177993,389.1553319906961,52.71619016816672
per_word_perplexity,1.6760369996715543,0.41343555490201367,1.0809870333074891,0.22243118214416338
flesch_reading_ease,-14.685833333333306,-53.36687022900762,-32.8874836601307,-58.344433962264134
flesch_kincaid_grade,20.607500000000005,25.35208287895311,22.581212781408862,25.159110512129377
smog,18.669449996058646,19.502159426997753,18.86586031761676,17.931933174767593
gunning_fog,22.40833333333333,25.042966194111234,23.54945533769063,23.792991913746633
automated_readability_index,21.86813541666666,25.42737186477644,23.177282135076254,23.688126684636117
coleman_liau_index,23.549874999999997,29.43389312977099,26.438395061728396,29.118867924528306
lix,64.14583333333333,67.18756815703381,64.12055192447349,61.36927223719677
rix,9.133333333333333,9.071428571428571,8.588235294117647,7.0
token_length_mean,6.928125,7.961832061068702,7.447530864197531,7.971698113207547
token_length_median,5.0,6.0,6.0,6.0
token_length_std,5.128153564819895,5.506283128886548,5.313652351328209,5.7927370712633675
sentence_length_mean,21.333333333333332,18.714285714285715,19.058823529411764,15.142857142857142
sentence_length_median,19.0,18.5,18.0,16.0
sentence_length_std,13.424687043734846,7.477858473315657,7.231227934413793,4.015276949301485
syllables_per_token_mean,2.3625,2.851145038167939,2.6049382716049383,2.952830188679245
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.8907257204576238,2.123293797731019,2.058880268289676,2.2938888273619953
n_tokens,320,262,324,212
n_unique_tokens,196,178,200,135
proportion_unique_tokens,0.6125,0.6793893129770993,0.6172839506172839,0.6367924528301887
n_characters,2271,2112,2449,1715
n_sentences,15,14,17,14
pos_prop_DET,0.12032085561497326,0.13194444444444445,0.13333333333333333,0.12658227848101267
pos_prop_NOUN,0.23529411764705882,0.2569444444444444,0.2222222222222222,0.24472573839662448
pos_prop_PUNCT,0.12566844919786097,0.09027777777777778,0.1,0.10548523206751055
pos_prop_ADJ,0.06149732620320856,0.09722222222222222,0.09722222222222222,0.08860759493670886
pos_prop_ADP,0.11229946524064172,0.09722222222222222,0.11388888888888889,0.08860759493670886
pos_prop_X,0.0106951871657754,0.006944444444444444,0.011111111111111112,0.016877637130801686
pos_prop_NUM,0.016042780748663103,,,
pos_prop_AUX,0.045454545454545456,0.04861111111111111,0.04722222222222222,0.04219409282700422
pos_prop_VERB,0.0427807486631016,0.08333333333333333,0.075,0.08016877637130802
pos_prop_PROPN,0.034759358288770054,,0.03333333333333333,
pos_prop_CCONJ,0.045454545454545456,0.05555555555555555,0.04722222222222222,0.05907172995780591
pos_prop_ADV,0.10427807486631016,0.07291666666666667,0.058333333333333334,0.07172995780590717
pos_prop_PART,0.0106951871657754,0.024305555555555556,0.008333333333333333,0.012658227848101266
pos_prop_PRON,0.03208556149732621,0.020833333333333332,0.044444444444444446,0.0379746835443038
pos_prop_SCONJ,0.00267379679144385,0.013888888888888888,0.008333333333333333,0.02531645569620253
connectives,23,8,16,7
duplicate_ngram_chr_fraction_6,,,,0.058151609553478714
duplicate_ngram_chr_fraction_7,,,,0.058151609553478714
duplicate_ngram_chr_fraction_8,,,,0.058151609553478714
duplicate_ngram_chr_fraction_9,,,,0.058151609553478714
duplicate_ngram_chr_fraction_10,,,,0.058151609553478714
