,explain,human,create,continue
dependency_distance_mean,3.142680160423367,3.422927034339688,2.756896246076277,2.7468728276094936
dependency_distance_std,0.8959646775507417,1.0034114222697088,0.3928985164723704,0.47365271745885534
prop_adjacent_dependency_relation_mean,0.4755195917151258,0.4378829375409244,0.47281951383191234,0.4498425517603482
prop_adjacent_dependency_relation_std,0.06232089110661141,0.05022660245318772,0.035859760757096945,0.06028583957433264
entropy,12.37550131248771,14.199755824501388,12.712006493418743,14.265017979724584
perplexity,236925.56818220764,1468505.5727926998,331706.7231241434,1567539.8592657181
per_word_perplexity,471.02498644574086,2455.6949377804344,615.4113601561102,2578.190558002826
passed_quality_check,True,True,True,True
n_stop_words,176.0,203.0,167.0,188.0
alpha_ratio,0.8846918489065606,0.8662207357859532,0.8905380333951762,0.8717105263157895
mean_word_length,5.242544731610338,5.0602006688963215,5.512059369202226,5.396381578947368
doc_length,503.0,598.0,539.0,608.0
duplicate_ngram_chr_fraction_5,0.05369345916042955,0.013023782559456399,0.05168408826945412,0.06483921982076964
top_ngram_chr_fraction_2,0.01464367068011715,0.007078142695356738,0.007259001161440186,0.006589351607801793
top_ngram_chr_fraction_3,0.016270745200130166,0.014156285390713477,0.014518002322880372,0.013178703215603585
top_ngram_chr_fraction_4,0.019524894240156198,0.01698754246885617,0.023228803716608595,
oov_ratio,0.0019880715705765406,0.005016722408026756,,0.004934210526315789
first_order_coherence,0.8357697625954946,0.8639184633890787,0.8397194868639896,0.8370983963427336
second_order_coherence,0.8462326140964732,0.8381601870059967,0.8551017906930711,0.8420763611793518
flesch_reading_ease,31.829389898513114,28.020625000000024,24.757732365145245,27.5395927318296
flesch_kincaid_grade,14.651283927307059,17.455972222222226,15.79323236514523,14.924924812030074
smog,16.937063320223285,18.243605946275583,16.827784334635936,15.956303952927545
gunning_fog,19.344630634883174,21.6323754789272,19.183568464730293,17.964411027568925
automated_readability_index,17.542469907953738,21.500316091954026,19.094979253112037,18.02842731829574
coleman_liau_index,16.940179372197303,16.522605363984677,18.520165975103733,18.288345864661647
lix,61.81449138541421,69.21503831417624,64.76390041493775,64.64786967418547
rix,9.0,11.9375,9.8,9.416666666666666
pos_prop_DET,0.0874751491053678,0.06856187290969899,0.06307977736549165,0.06414473684210527
pos_prop_NOUN,0.23856858846918488,0.24247491638795987,0.24675324675324675,0.24013157894736842
pos_prop_VERB,0.12127236580516898,0.09531772575250837,0.12987012987012986,0.11677631578947369
pos_prop_ADP,0.10337972166998012,0.11204013377926421,0.10575139146567718,0.10526315789473684
pos_prop_ADJ,0.10337972166998012,0.13043478260869565,0.14842300556586271,0.17927631578947367
pos_prop_PROPN,0.073558648111332,0.06521739130434782,0.04267161410018553,0.03782894736842105
pos_prop_PUNCT,0.10934393638170974,0.11705685618729098,0.10204081632653061,0.11348684210526316
pos_prop_ADV,0.02385685884691849,0.033444816053511704,0.03710575139146568,0.019736842105263157
pos_prop_PRON,0.019880715705765408,0.016722408026755852,0.01855287569573284,0.01644736842105263
pos_prop_SCONJ,0.019880715705765408,0.010033444816053512,0.011131725417439703,0.013157894736842105
pos_prop_CCONJ,0.041749502982107355,0.04013377926421405,0.03339517625231911,0.03782894736842105
pos_prop_NUM,0.007952286282306162,0.010033444816053512,0.0055658627087198514,0.003289473684210526
pos_prop_AUX,0.03180914512922465,0.038461538461538464,0.03710575139146568,0.04111842105263158
pos_prop_PART,0.017892644135188866,0.011705685618729096,0.01855287569573284,0.011513157894736841
token_length_mean,5.7825112107623315,5.6513409961685825,6.045643153526971,6.024436090225564
token_length_median,5.0,5.0,5.0,6.0
token_length_std,3.143754427447941,3.18898489154635,3.2924520275910467,3.222536458034129
sentence_length_mean,23.473684210526315,32.625,24.1,22.166666666666668
sentence_length_median,22.0,27.5,24.5,22.5
sentence_length_std,8.616803785582237,18.486058936398532,5.166236541235795,6.656241849238619
syllables_per_token_mean,1.7869955156950672,1.7222222222222223,1.8630705394190872,1.8533834586466165
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,1.0701458074987937,1.0158911892873617,1.129538017046638,1.1092264372298797
n_tokens,446,522,482,532
n_unique_tokens,223,267,255,264
proportion_unique_tokens,0.5,0.5114942528735632,0.529045643153527,0.49624060150375937
n_characters,2637,3026,2971,3281
n_sentences,19,16,20,24
connectives,15,20,16,17
connectives_cap,0,3,6,5
pos_prop_X,,0.008361204013377926,,
duplicate_ngram_chr_fraction_6,,,0.0156794425087108,0.045861887190300474
duplicate_ngram_chr_fraction_7,,,,0.02635740643120717
duplicate_ngram_chr_fraction_8,,,,0.02635740643120717
duplicate_ngram_chr_fraction_9,,,,0.02635740643120717
duplicate_ngram_chr_fraction_10,,,,0.02635740643120717
