,human-full,continue,human-cont,explain,create
entropy,16.741319459148563,5.713724794720627,14.870699719012869,7.16831518560895,4.602421986788414
perplexity,18649305.39544709,302.9975727407333,2872518.4711186034,1297.656449744584,99.72555736427778
per_word_perplexity,15286.31589790745,0.8463619350299812,2590.1879811709678,2.858274118380141,0.34036026404190367
first_order_coherence,0.49778157594645844,0.7487924732267857,0.49383165026610754,0.6196827060458335,0.662663673715932
second_order_coherence,0.4608801896765567,0.7738695542017618,0.44918923602940947,0.5931982743509469,0.7047068387843095
flesch_reading_ease,-14.367399920859953,-14.340149833518268,-14.739800508663137,-8.891636302671287,-17.550155216284963
flesch_kincaid_grade,19.59183011277452,19.90655197928228,19.602913686218404,18.701202637755674,20.046427480916034
smog,17.2600881082412,18.495531730159318,17.165536196952242,17.52230283418833,17.80541091248751
gunning_fog,21.01618413242762,22.95405105438402,20.895120012716582,21.77807086174137,22.101170483460564
automated_readability_index,18.895677636351643,20.19680910099889,18.810198299157527,18.28929808874483,19.35650127226463
coleman_liau_index,21.968093385214008,22.908553459119492,21.947854077253222,21.478560411311054,22.52076335877862
lix,58.37703620655543,62.10210876803552,58.246383722778575,60.87191237286241,59.833078880407115
rix,7.135593220338983,8.117647058823529,7.074074074074074,7.434782608695652,7.4
dependency_distance_mean,3.3510526821480844,3.380160044190486,3.37651132974401,3.0570662325347486,3.095823302502786
dependency_distance_std,1.258733212810062,0.6596772376589022,1.2251098085225338,0.8564016795353224,1.0171996073341634
prop_adjacent_dependency_relation_mean,0.4281862081543088,0.4600375262639287,0.4235863059510907,0.468142600310398,0.4296706855040482
prop_adjacent_dependency_relation_std,0.09726069046118409,0.061338237728772976,0.09689666193242959,0.06836144045858858,0.13907233635838906
passed_quality_check,True,True,True,True,True
n_stop_words,436.0,155.0,388.0,182.0,127.0
alpha_ratio,0.819672131147541,0.888268156424581,0.8151487826871056,0.8546255506607929,0.8873720136518771
mean_word_length,5.81311475409836,6.198324022346369,5.799819657348963,5.830396475770925,6.191126279863481
doc_length,1220.0,358.0,1109.0,454.0,293.0
duplicate_ngram_chr_fraction_5,0.0404289412054727,0.02365930599369085,0.036160957041870584,0.11323238973008558,
duplicate_ngram_chr_fraction_6,0.01577714778750154,0.02365930599369085,0.017400761283306143,0.07504937458854509,
duplicate_ngram_chr_fraction_7,0.01577714778750154,,0.017400761283306143,0.038841342988808425,
top_ngram_chr_fraction_2,0.010353753235547885,0.00946372239747634,0.011419249592169658,0.018433179723502304,0.016867469879518072
top_ngram_chr_fraction_3,0.012942191544434857,,0.014274061990212071,0.010862409479921,0.015903614457831325
top_ngram_chr_fraction_4,0.01257241464316529,,0.013866231647634585,,
oov_ratio,0.07868852459016394,0.0335195530726257,0.0811541929666366,0.05726872246696035,0.05802047781569966
token_length_mean,6.712062256809339,6.852201257861635,6.71137339055794,6.637532133676093,6.805343511450381
token_length_median,5.0,6.0,5.0,6.0,6.0
token_length_std,4.8801562004582575,4.406988967337837,4.867709078820358,4.153820068201455,4.375099789083974
sentence_length_mean,17.423728813559322,18.705882352941178,17.25925925925926,16.91304347826087,17.466666666666665
sentence_length_median,17.0,19.0,17.0,16.0,16.0
sentence_length_std,8.33657123728062,3.8617994263929063,7.846171949818457,6.365074838033078,6.206090198793082
syllables_per_token_mean,2.4056420233463034,2.389937106918239,2.412017167381974,2.347043701799486,2.4427480916030535
syllables_per_token_median,2.0,2.0,2.0,2.0,2.0
syllables_per_token_std,1.9432231028615163,1.6365016748825882,1.9510604048998437,1.6893352918136983,1.7589913198363762
n_tokens,1028,318,932,389,262
n_unique_tokens,521,192,489,208,168
proportion_unique_tokens,0.5068093385214008,0.6037735849056604,0.5246781115879828,0.5347043701799485,0.6412213740458015
n_characters,7092,2219,6432,2647,1814
n_sentences,59,17,54,23,15
pos_prop_PROPN,0.0860655737704918,0.0335195530726257,0.08836789900811542,0.07048458149779736,0.04436860068259386
pos_prop_ADP,0.11147540983606558,0.11173184357541899,0.1109107303877367,0.08149779735682819,0.10580204778156997
pos_prop_ADJ,0.0959016393442623,0.08100558659217877,0.09828674481514878,0.08370044052863436,0.08532423208191127
pos_prop_NOUN,0.20491803278688525,0.2430167597765363,0.20559062218214608,0.20704845814977973,0.2354948805460751
pos_prop_PUNCT,0.1418032786885246,0.11173184357541899,0.14156898106402163,0.13876651982378854,0.10238907849829351
pos_prop_DET,0.12131147540983607,0.13966480446927373,0.12173128944995491,0.14317180616740088,0.12286689419795221
pos_prop_X,0.005737704918032787,,0.005410279531109108,,0.0034129692832764505
pos_prop_ADV,0.05245901639344262,0.06424581005586592,0.05139765554553652,0.07268722466960352,0.06143344709897611
pos_prop_NUM,0.020491803278688523,,0.023444544634806132,0.0022026431718061676,0.006825938566552901
pos_prop_AUX,0.028688524590163935,0.05027932960893855,0.027953110910730387,0.04185022026431718,0.05802047781569966
