,human-full,create,explain,continue,human-cont
dependency_distance_mean,3.555313388660736,2.8304112916691997,3.0384628039249892,2.8802683792815365,3.763470155620677
dependency_distance_std,1.5479940191586614,1.049293547749765,0.9663070148455783,0.7705171292087795,1.5584760600568694
prop_adjacent_dependency_relation_mean,0.4613202583160079,0.43181587782005065,0.4982724729363384,0.46795492519176723,0.45309783158921635
prop_adjacent_dependency_relation_std,0.06939949248665805,0.12972133100137181,0.04859600417475853,0.06727157725995452,0.05991896757003925
entropy,14.580367437282586,5.351371536167867,5.093591865179978,3.96492262218402,11.068793461082414
perplexity,2148686.8311238205,210.89735294388586,162.97419333594527,52.71619016816672,64138.07504864024
per_word_perplexity,2384.780056741199,0.6509177559996477,0.567854332180994,0.22243118214416338,92.68507955005815
passed_quality_check,True,True,True,True,True
n_stop_words,361.0,138.0,122.0,102.0,281.0
alpha_ratio,0.8601553829078802,0.9104938271604939,0.9024390243902439,0.8945147679324894,0.8482658959537572
mean_word_length,6.690344062153163,7.179012345679013,7.076655052264808,7.236286919831223,6.30635838150289
doc_length,901.0,324.0,287.0,237.0,692.0
duplicate_ngram_chr_fraction_5,0.028479154433352905,,0.0690257754477938,0.058151609553478714,0.018145161290322582
duplicate_ngram_chr_fraction_6,0.01849677040516735,,0.0690257754477938,0.058151609553478714,
duplicate_ngram_chr_fraction_7,0.01849677040516735,,,0.058151609553478714,
duplicate_ngram_chr_fraction_8,0.01849677040516735,,,0.058151609553478714,
duplicate_ngram_chr_fraction_9,0.01849677040516735,,,0.058151609553478714,
top_ngram_chr_fraction_2,0.008220786846741044,0.007633587786259542,0.00873743993010048,0.006230529595015576,0.01129032258064516
top_ngram_chr_fraction_3,0.010275983558426306,,0.01703800786369594,0.012461059190031152,0.014112903225806451
top_ngram_chr_fraction_4,0.008807985907222548,,,,0.012096774193548387
oov_ratio,0.04550499445061043,0.040123456790123455,0.027874564459930314,0.029535864978902954,0.03757225433526012
pos_prop_NOUN,0.24528301886792453,0.25308641975308643,0.2682926829268293,0.24472573839662448,0.22832369942196531
pos_prop_ADJ,0.08990011098779134,0.09567901234567901,0.07665505226480836,0.08860759493670886,0.0838150289017341
pos_prop_PUNCT,0.11764705882352941,0.08950617283950617,0.0975609756097561,0.10548523206751055,0.12427745664739884
pos_prop_DET,0.12319644839067703,0.14506172839506173,0.15331010452961671,0.12658227848101267,0.12283236994219653
pos_prop_ADP,0.1120976692563818,0.08950617283950617,0.10801393728222997,0.08860759493670886,0.11127167630057803
pos_prop_PROPN,0.048834628190899,0.033950617283950615,0.017421602787456445,,0.06069364161849711
pos_prop_VERB,0.049944506104328525,0.08024691358024691,0.08362369337979095,0.08016877637130802,0.0476878612716763
pos_prop_PRON,0.025527192008879023,0.030864197530864196,0.020905923344947737,0.0379746835443038,0.02601156069364162
pos_prop_ADV,0.07214206437291898,0.06172839506172839,0.07665505226480836,0.07172995780590717,0.07803468208092486
pos_prop_AUX,0.03440621531631521,0.046296296296296294,0.024390243902439025,0.04219409282700422,0.04046242774566474
pos_prop_CCONJ,0.05327413984461709,0.05864197530864197,0.05226480836236934,0.05907172995780591,0.046242774566473986
pos_prop_SCONJ,0.004439511653718091,0.0030864197530864196,0.013937282229965157,0.02531645569620253,0.004335260115606936
pos_prop_X,0.008879023307436182,0.0030864197530864196,0.006968641114982578,0.016877637130801686,0.0072254335260115606
pos_prop_NUM,0.00776914539400666,,,,0.010115606936416185
pos_prop_PART,0.006659267480577136,0.009259259259259259,,0.012658227848101266,0.008670520231213872
first_order_coherence,0.5753927565289333,0.7076428104192019,0.7337565467907832,0.7289353196437542,0.567465031092676
second_order_coherence,0.5490258456856916,0.7224539160728455,0.6929147988557816,0.7882280995448431,0.5976861708838007
token_length_mean,7.556265984654732,7.786440677966102,7.7335907335907335,7.971698113207547,7.192242833052276
token_length_median,6.0,6.0,6.0,6.0,5.0
token_length_std,5.452776140903563,5.572190562984158,5.631069958959314,5.7927370712633675,5.130684124975271
sentence_length_mean,22.34285714285714,17.352941176470587,18.5,15.142857142857142,23.72
sentence_length_median,21.0,18.0,17.5,16.0,21.0
sentence_length_std,12.821729005632491,6.588235294117648,7.098792653885388,4.015276949301485,13.4566563454671
syllables_per_token_mean,2.635549872122762,2.776271186440678,2.7837837837837838,2.952830188679245,2.475548060708263
syllables_per_token_median,2.0,2.0,2.0,2.0,2.0
syllables_per_token_std,2.065157212903883,2.160691899781167,2.255745039444901,2.2938888273619953,1.9365550012806962
n_tokens,782,295,259,212,593
n_unique_tokens,410,191,161,135,330
proportion_unique_tokens,0.5242966751918159,0.6474576271186441,0.6216216216216216,0.6367924528301887,0.5564924114671164
n_characters,6028,2326,2031,1715,4364
n_sentences,35,17,14,14,25
flesch_reading_ease,-38.81051918158565,-45.65077766699895,-47.4506081081081,-58.344433962264134,-26.672165935919026
flesch_kincaid_grade,24.22320277676288,23.937647058823533,24.473648648648652,25.159110512129377,22.87226711635751
smog,20.18553292133499,18.681798309485796,19.142268018852484,17.931933174767593,19.99863758702354
gunning_fog,24.896222141030325,24.0259222333001,24.38841698841699,23.792991913746633,24.19289038785835
automated_readability_index,25.331441359152358,23.920606181455632,24.245212355212352,23.688126684636117,24.30546374367622
coleman_liau_index,27.306035805626596,28.278508474576267,28.073513513513507,29.118867924528306,25.242495784148392
lix,68.76229448301059,63.79361914257228,64.44594594594595,61.36927223719677,68.40802698145025
rix,10.371428571428572,8.058823529411764,8.5,7.0,10.6
connectives,34,12,12,7,30
duplicate_ngram_chr_fraction_10,,,,0.058151609553478714,
