,human-full,continue,human-cont,create,explain
flesch_reading_ease,-14.367399920859953,-12.603324867491153,-14.739800508663137,-14.3434539949385,-23.03011775700932
flesch_kincaid_grade,19.59183011277452,19.41130521201414,19.602913686218404,20.031835683297178,20.724650467289724
smog,17.2600881082412,17.833180683606166,17.165536196952242,18.68694054745388,17.80541091248751
gunning_fog,21.01618413242762,22.05733215547703,20.895120012716582,23.128018799710777,22.268560747663557
automated_readability_index,18.895677636351643,18.569651060070676,18.810198299157527,20.275728488792474,20.000957943925236
coleman_liau_index,21.968093385214008,21.4217667844523,21.947854077253222,22.73483731019523,23.507383177570087
lix,58.37703620655543,58.67689929328622,58.246383722778575,63.89379971077368,62.213457943925235
rix,7.135593220338983,7.25,7.074074074074074,8.583333333333334,7.72
entropy,16.741319459148563,5.554860235732092,14.870699719012869,9.613256193075586,8.361798098445753
perplexity,18649305.39544709,258.49083421356494,2872518.4711186034,14961.809394958182,4280.384403504574
per_word_perplexity,15286.31589790745,0.8002812204754333,2590.1879811709678,28.01836965347974,8.106788643001087
passed_quality_check,True,True,True,True,True
n_stop_words,436.0,142.0,388.0,217.0,189.0
alpha_ratio,0.819672131147541,0.8761609907120743,0.8151487826871056,0.8614232209737828,0.8068181818181818
mean_word_length,5.81311475409836,5.919504643962848,5.799819657348963,6.020599250936329,5.846590909090909
doc_length,1220.0,323.0,1109.0,534.0,528.0
duplicate_ngram_chr_fraction_5,0.0404289412054727,0.03372835004557885,0.036160957041870584,,0.009103840682788052
duplicate_ngram_chr_fraction_6,0.01577714778750154,,0.017400761283306143,,0.009103840682788052
duplicate_ngram_chr_fraction_7,0.01577714778750154,,0.017400761283306143,,
top_ngram_chr_fraction_2,0.010353753235547885,0.007292616226071103,0.011419249592169658,0.015238095238095238,0.015362731152204837
top_ngram_chr_fraction_3,0.012942191544434857,,0.014274061990212071,0.009795918367346938,0.005689900426742532
top_ngram_chr_fraction_4,0.01257241464316529,,0.013866231647634585,,0.0068278805120910386
oov_ratio,0.07868852459016394,0.034055727554179564,0.0811541929666366,0.052434456928838954,0.08143939393939394
pos_prop_PROPN,0.0860655737704918,0.04643962848297214,0.08836789900811542,0.06554307116104868,0.056818181818181816
pos_prop_ADP,0.11147540983606558,0.09597523219814241,0.1109107303877367,0.08426966292134831,0.10037878787878787
pos_prop_ADJ,0.0959016393442623,0.06501547987616099,0.09828674481514878,0.09550561797752809,0.07765151515151515
pos_prop_NOUN,0.20491803278688525,0.21362229102167182,0.20559062218214608,0.20786516853932585,0.2159090909090909
pos_prop_PUNCT,0.1418032786885246,0.1238390092879257,0.14156898106402163,0.13670411985018727,0.1875
pos_prop_DET,0.12131147540983607,0.14241486068111456,0.12173128944995491,0.13857677902621723,0.12878787878787878
pos_prop_X,0.005737704918032787,,0.005410279531109108,0.003745318352059925,0.007575757575757576
pos_prop_ADV,0.05245901639344262,0.07739938080495357,0.05139765554553652,0.054307116104868915,0.04734848484848485
pos_prop_NUM,0.020491803278688523,,0.023444544634806132,0.0018726591760299626,0.003787878787878788
pos_prop_AUX,0.028688524590163935,0.04953560371517028,0.027953110910730387,0.03932584269662921,0.028409090909090908
pos_prop_CCONJ,0.020491803278688523,0.02786377708978328,0.02164111812443643,0.0299625468164794,0.01893939393939394
pos_prop_VERB,0.06967213114754098,0.07739938080495357,0.06943192064923355,0.08052434456928839,0.07386363636363637
pos_prop_SCONJ,0.013114754098360656,0.02476780185758514,0.009017132551848512,0.02247191011235955,0.020833333333333332
pos_prop_PART,0.002459016393442623,0.015479876160990712,0.0018034265103697023,0.0056179775280898875,0.001893939393939394
pos_prop_PRON,0.02540983606557377,0.04024767801857585,0.023444544634806132,0.033707865168539325,0.030303030303030304
first_order_coherence,0.49778157594645844,0.6868984202543894,0.49383165026610754,0.7294427247151084,0.5439613328975005
second_order_coherence,0.4608801896765567,0.6980321194444384,0.44918923602940947,0.7350105575539849,0.5467219483917174
dependency_distance_mean,3.3510526821480844,3.3393913871920105,3.37651132974401,3.3894195212397613,3.282186399325898
dependency_distance_std,1.258733212810062,0.8611828650941176,1.2251098085225338,0.8447047117053949,1.1761672163607249
prop_adjacent_dependency_relation_mean,0.4281862081543088,0.47038768810178966,0.4235863059510907,0.43613216431136786,0.4415146817650763
prop_adjacent_dependency_relation_std,0.09726069046118409,0.04971134199012993,0.09689666193242959,0.06047374366445528,0.08828034063812971
token_length_mean,6.712062256809339,6.614840989399293,6.71137339055794,6.815618221258134,6.978971962616822
token_length_median,5.0,6.0,5.0,5.0,6.0
token_length_std,4.8801562004582575,4.264661954069687,4.867709078820358,4.4040327478649255,4.695596154079326
sentence_length_mean,17.423728813559322,17.6875,17.25925925925926,19.208333333333332,17.12
sentence_length_median,17.0,18.5,17.0,19.0,17.0
sentence_length_std,8.33657123728062,4.282504378281475,7.846171949818457,5.908885728761013,8.918834004509783
syllables_per_token_mean,2.4056420233463034,2.381625441696113,2.412017167381974,2.3839479392624727,2.5116822429906542
syllables_per_token_median,2.0,2.0,2.0,2.0,2.0
syllables_per_token_std,1.9432231028615163,1.6821495295954196,1.9510604048998437,1.7320766157793346,1.9675768987009152
n_tokens,1028,283,932,461,428
n_unique_tokens,521,171,489,241,256
proportion_unique_tokens,0.5068093385214008,0.6042402826855123,0.5246781115879828,0.5227765726681128,0.5981308411214953
n_characters,7092,1912,6432,3215,3087
n_sentences,59,16,54,24,25
connectives,24,10,22,19,11
