,continue,human-full,human-cont,create,explain
entropy,4.303694028901452,15.316626370330388,11.48483861008188,7.314959943742037,5.551847340667293
perplexity,73.97254633545134,4486692.585396684,97230.39137858487,1502.6116058371845,257.7132005074945
per_word_perplexity,0.279141684284722,4437.8759499472635,124.4947392811586,3.5107747799934215,0.8449613131393262
first_order_coherence,0.6281919553875923,0.5086687259714712,0.5006224475800991,0.7911966368556023,0.7353343584320762
second_order_coherence,0.692285567522049,0.46562896586608055,0.4375215088666389,0.7617608785629273,0.7454057455062866
flesch_reading_ease,-42.48530100334446,-39.48914434060228,-32.23271428571425,-43.733413617415465,-46.30249999999998
flesch_kincaid_grade,23.580434782608695,23.492919003115265,22.425586626139822,24.926966188050027,25.307222222222226
smog,18.8141640860857,19.12932285261469,18.818736324657113,20.764202261248894,20.425298281703412
gunning_fog,24.120401337792643,24.104215991692627,23.56863221884499,25.972579898100975,25.296296296296298
automated_readability_index,23.232632107023413,23.21352933541018,22.19981762917933,25.08233904585456,24.62166666666667
coleman_liau_index,27.240521739130426,26.503504672897197,25.358297872340426,26.956115485564307,26.33111111111111
lix,65.08361204013377,65.86801661474559,64.6966565349544,69.91832638567237,68.05555555555556
rix,8.384615384615385,8.911111111111111,8.628571428571428,10.647058823529411,10.25
dependency_distance_mean,3.2585185479576873,3.0644137052460185,3.031131687875971,3.421566524102392,3.3252216652531295
dependency_distance_std,1.0027508457116046,1.356017630251172,1.3754846158529224,0.6058813167197662,0.8526244798432895
prop_adjacent_dependency_relation_mean,0.49941664780548034,0.46877156646437673,0.47535039429529785,0.49347170763239634,0.5049732351934869
prop_adjacent_dependency_relation_std,0.08385911041113712,0.11112190045695494,0.11511917578270518,0.054749150697311975,0.08211855288162236
passed_quality_check,True,True,True,True,True
n_stop_words,103.0,369.0,281.0,179.0,132.0
alpha_ratio,0.8679245283018868,0.8456973293768546,0.8425096030729834,0.8901869158878505,0.8852459016393442
mean_word_length,6.7320754716981135,6.468842729970326,6.280409731113957,6.7827102803738315,6.655737704918033
doc_length,265.0,1011.0,781.0,428.0,305.0
top_ngram_chr_fraction_2,0.014903129657228018,0.007034632034632035,0.009355883411299028,0.003655193420651843,0.006959547629404089
oov_ratio,0.0830188679245283,0.0722057368941642,0.06145966709346991,0.04906542056074766,0.07540983606557378
token_length_mean,7.604347826086957,7.45911214953271,7.267477203647417,7.496062992125984,7.388888888888889
token_length_median,6.0,6.0,6.0,6.0,6.0
token_length_std,5.096032409021711,5.216635070111019,5.020160572783703,5.132686693043457,5.2493973787003565
sentence_length_mean,17.692307692307693,19.022222222222222,18.8,22.41176470588235,22.5
sentence_length_median,19.0,19.0,19.0,23.0,20.5
sentence_length_std,4.3035694555998045,10.756886969934685,11.303096920755834,5.456338176614226,4.51848057057532
syllables_per_token_mean,2.734782608695652,2.683411214953271,2.6003039513677813,2.6929133858267718,2.7222222222222223
syllables_per_token_median,2.0,2.0,2.0,2.0,2.0
syllables_per_token_std,2.1067404651555037,2.176017443637438,2.0442966623716283,2.1117536754256725,2.259274438321808
n_tokens,230,856,658,381,270
n_unique_tokens,157,462,390,238,168
proportion_unique_tokens,0.6826086956521739,0.5397196261682243,0.5927051671732523,0.6246719160104987,0.6222222222222222
n_characters,1784,6540,4905,2903,2030
n_sentences,13,45,35,17,12
pos_prop_DET,0.1018867924528302,0.09198813056379822,0.08706786171574904,0.10981308411214953,0.12786885245901639
pos_prop_X,0.011320754716981131,0.005934718100890208,0.005121638924455826,0.002336448598130841,0.006557377049180328
pos_prop_AUX,0.045283018867924525,0.03066271018793274,0.029449423815621,0.04205607476635514,0.036065573770491806
pos_prop_NOUN,0.2339622641509434,0.22551928783382788,0.2176696542893726,0.2383177570093458,0.24918032786885247
pos_prop_ADP,0.10566037735849057,0.10583580613254204,0.10499359795134443,0.10514018691588785,0.10819672131147541
pos_prop_ADJ,0.07547169811320754,0.09099901088031652,0.08578745198463508,0.08644859813084112,0.07540983606557378
pos_prop_CCONJ,0.052830188679245285,0.043521266073194856,0.04225352112676056,0.04439252336448598,0.06229508196721312
pos_prop_ADV,0.052830188679245285,0.0722057368941642,0.07682458386683738,0.07242990654205607,0.036065573770491806
pos_prop_VERB,0.07547169811320754,0.05539070227497527,0.058898847631242,0.07710280373831775,0.07868852459016394
pos_prop_PUNCT,0.1320754716981132,0.1394658753709199,0.13956466069142126,0.10981308411214953,0.11475409836065574
pos_prop_PROPN,0.06037735849056604,0.08110781404549951,0.088348271446863,0.035046728971962614,0.04590163934426229
pos_prop_SCONJ,0.007547169811320755,0.013847675568743818,0.015364916773367477,0.02336448598130841,0.019672131147540985
pos_prop_PRON,0.022641509433962263,0.02274975272007913,0.02560819462227913,0.02570093457943925,0.019672131147540985
pos_prop_PART,0.022641509433962263,0.020771513353115726,0.023047375160051217,0.028037383177570093,0.019672131147540985
connectives,6,24,20,9,6
duplicate_ngram_chr_fraction_5,,0.059794372294372296,0.007556675062972292,,
duplicate_ngram_chr_fraction_6,,0.05654761904761905,0.0032385750269881253,,
duplicate_ngram_chr_fraction_7,,0.05411255411255411,,,
duplicate_ngram_chr_fraction_8,,0.02462121212121212,,,
duplicate_ngram_chr_fraction_9,,0.02462121212121212,,,
top_ngram_chr_fraction_3,,0.008793290043290044,0.011694854264123786,,
top_ngram_chr_fraction_4,,0.004734848484848485,0.006297229219143577,,
