,human-full,continue,human-cont,create,explain
dependency_distance_mean,3.3510526821480844,3.4282808909004214,3.37651132974401,3.141975331743134,3.1242063492063497
dependency_distance_std,1.258733212810062,0.6527172665625766,1.2251098085225338,1.0035617563450856,0.9782288403779253
prop_adjacent_dependency_relation_mean,0.4281862081543088,0.4656411530129293,0.4235863059510907,0.4278291153112167,0.44208333333333333
prop_adjacent_dependency_relation_std,0.09726069046118409,0.06948824734549024,0.09689666193242959,0.12840890160040483,0.05108034248993333
entropy,16.741319459148563,5.345153943873438,14.870699719012869,5.225586586888109,3.0700201111517322
perplexity,18649305.39544709,209.5901472345891,2872518.4711186034,185.9702262337902,21.542335911832147
per_word_perplexity,15286.31589790745,0.5971229265942709,2590.1879811709678,0.6097384466681647,0.09881805464143187
passed_quality_check,True,True,True,True,True
n_stop_words,436.0,154.0,388.0,119.0,89.0
alpha_ratio,0.819672131147541,0.8917378917378918,0.8151487826871056,0.8819672131147541,0.8577981651376146
mean_word_length,5.81311475409836,5.703703703703703,5.799819657348963,6.0426229508196725,5.8807339449541285
doc_length,1220.0,351.0,1109.0,305.0,218.0
duplicate_ngram_chr_fraction_5,0.0404289412054727,,0.036160957041870584,,
duplicate_ngram_chr_fraction_6,0.01577714778750154,,0.017400761283306143,,
duplicate_ngram_chr_fraction_7,0.01577714778750154,,0.017400761283306143,,
top_ngram_chr_fraction_2,0.010353753235547885,0.010367170626349892,0.011419249592169658,0.01705352913311227,0.01634877384196185
top_ngram_chr_fraction_3,0.012942191544434857,,0.014274061990212071,,
top_ngram_chr_fraction_4,0.01257241464316529,,0.013866231647634585,,
oov_ratio,0.07868852459016394,0.022792022792022793,0.0811541929666366,0.036065573770491806,0.05963302752293578
pos_prop_PROPN,0.0860655737704918,0.06837606837606838,0.08836789900811542,0.05573770491803279,0.05963302752293578
pos_prop_ADP,0.11147540983606558,0.09971509971509972,0.1109107303877367,0.07213114754098361,0.11009174311926606
pos_prop_ADJ,0.0959016393442623,0.07977207977207977,0.09828674481514878,0.08852459016393442,0.0963302752293578
pos_prop_NOUN,0.20491803278688525,0.18803418803418803,0.20559062218214608,0.21967213114754097,0.21559633027522937
pos_prop_PUNCT,0.1418032786885246,0.10541310541310542,0.14156898106402163,0.1180327868852459,0.14220183486238533
pos_prop_DET,0.12131147540983607,0.1225071225071225,0.12173128944995491,0.15081967213114755,0.11009174311926606
pos_prop_X,0.005737704918032787,0.002849002849002849,0.005410279531109108,0.006557377049180328,
pos_prop_ADV,0.05245901639344262,0.09686609686609686,0.05139765554553652,0.04918032786885246,0.06422018348623854
pos_prop_NUM,0.020491803278688523,0.002849002849002849,0.023444544634806132,,
pos_prop_AUX,0.028688524590163935,0.05128205128205128,0.027953110910730387,0.04590163934426229,0.05045871559633028
pos_prop_CCONJ,0.020491803278688523,0.042735042735042736,0.02164111812443643,0.04918032786885246,0.022935779816513763
pos_prop_VERB,0.06967213114754098,0.07692307692307693,0.06943192064923355,0.08196721311475409,0.06880733944954129
pos_prop_SCONJ,0.013114754098360656,0.019943019943019943,0.009017132551848512,0.019672131147540985,0.022935779816513763
pos_prop_PART,0.002459016393442623,0.014245014245014245,0.0018034265103697023,0.013114754098360656,0.009174311926605505
pos_prop_PRON,0.02540983606557377,0.02849002849002849,0.023444544634806132,0.029508196721311476,0.027522935779816515
first_order_coherence,0.49778157594645844,0.6531336124126728,0.49383165026610754,0.7023501058419546,0.6157804656435143
second_order_coherence,0.4608801896765567,0.6856576651334763,0.44918923602940947,0.6873925860439029,0.6123390093445777
token_length_mean,6.712062256809339,6.25796178343949,6.71137339055794,6.717472118959108,6.689839572192513
token_length_median,5.0,5.0,5.0,6.0,6.0
token_length_std,4.8801562004582575,3.813362816866733,4.867709078820358,4.119284541517011,4.342311845869236
sentence_length_mean,17.423728813559322,22.428571428571427,17.25925925925926,16.8125,15.583333333333334
sentence_length_median,17.0,23.0,17.0,17.5,14.0
sentence_length_std,8.33657123728062,6.5105879229176224,7.846171949818457,5.077139327416572,8.420791068671768
syllables_per_token_mean,2.4056420233463034,2.1974522292993632,2.412017167381974,2.3977695167286246,2.406417112299465
syllables_per_token_median,2.0,2.0,2.0,2.0,2.0
syllables_per_token_std,1.9432231028615163,1.4842677769544217,1.9510604048998437,1.6251264311239557,1.7167191372122599
n_tokens,1028,314,932,269,187
n_unique_tokens,521,207,489,173,131
proportion_unique_tokens,0.5068093385214008,0.6592356687898089,0.5246781115879828,0.6431226765799256,0.7005347593582888
n_characters,7092,2002,6432,1843,1282
n_sentences,59,14,54,16,12
flesch_reading_ease,-14.367399920859953,-1.834458598726087,-14.739800508663137,-13.080988615241608,-12.564971033868062
flesch_kincaid_grade,19.59183011277452,19.087079162875344,19.602913686218404,19.26055529739777,18.883221925133686
smog,17.2600881082412,18.699421769314853,17.165536196952242,17.833180683606166,17.02489783603662
gunning_fog,21.01618413242762,22.219836214740674,20.895120012716582,22.487081784386618,21.420499108734404
automated_readability_index,18.895677636351643,19.25928571428571,18.810198299157527,18.6155436802974,17.8708110516934
coleman_liau_index,21.968093385214008,19.677070063694263,21.947854077253222,21.93814126394052,21.636791443850267
lix,58.37703620655543,59.68971792538672,58.246383722778575,61.42216542750929,57.2945632798574
rix,7.135593220338983,8.357142857142858,7.074074074074074,7.5,6.5
connectives,24,15,22,12,8
