,human-full,continue,explain,human-cont,create
pos_prop_NOUN,0.24528301886792453,0.2577777777777778,0.25675675675675674,0.22832369942196531,0.2744360902255639
pos_prop_ADJ,0.08990011098779134,0.08888888888888889,0.08445945945945946,0.0838150289017341,0.09022556390977443
pos_prop_PUNCT,0.11764705882352941,0.10666666666666667,0.10472972972972973,0.12427745664739884,0.09022556390977443
pos_prop_DET,0.12319644839067703,0.13333333333333333,0.1554054054054054,0.12283236994219653,0.14661654135338345
pos_prop_ADP,0.1120976692563818,0.08,0.08783783783783784,0.11127167630057803,0.10526315789473684
pos_prop_PROPN,0.048834628190899,0.0044444444444444444,0.016891891891891893,0.06069364161849711,0.011278195488721804
pos_prop_VERB,0.049944506104328525,0.09333333333333334,0.06418918918918919,0.0476878612716763,0.06766917293233082
pos_prop_PRON,0.025527192008879023,0.008888888888888889,0.037162162162162164,0.02601156069364162,0.015037593984962405
pos_prop_ADV,0.07214206437291898,0.07111111111111111,0.0777027027027027,0.07803468208092486,0.07894736842105263
pos_prop_AUX,0.03440621531631521,0.035555555555555556,0.0472972972972973,0.04046242774566474,0.03383458646616541
pos_prop_CCONJ,0.05327413984461709,0.06222222222222222,0.05405405405405406,0.046242774566473986,0.06766917293233082
pos_prop_SCONJ,0.004439511653718091,0.017777777777777778,0.006756756756756757,0.004335260115606936,
pos_prop_X,0.008879023307436182,0.017777777777777778,0.006756756756756757,0.0072254335260115606,0.015037593984962405
pos_prop_NUM,0.00776914539400666,,,0.010115606936416185,
pos_prop_PART,0.006659267480577136,0.022222222222222223,,0.008670520231213872,0.0037593984962406013
flesch_reading_ease,-38.81051918158565,-44.280783582089526,-50.017247502774666,-26.672165935919026,-55.9990110192837
flesch_kincaid_grade,24.22320277676288,23.002320540156358,24.108279689234184,22.87226711635751,25.07803305785124
smog,20.18553292133499,17.370101895934148,17.987409321129135,19.99863758702354,18.808828122642943
gunning_fog,24.896222141030325,23.056289978678038,23.593784683684795,24.19289038785835,25.131019283746557
automated_readability_index,25.331441359152358,21.92886993603412,23.973023307436186,24.30546374367622,23.830096418732786
coleman_liau_index,27.306035805626596,27.306069651741293,29.252377358490566,25.242495784148392,28.797851239669416
lix,68.76229448301059,61.12331201137171,63.89012208657048,68.40802698145025,66.13333333333333
rix,10.371428571428572,6.714285714285714,7.529411764705882,10.6,8.066666666666666
first_order_coherence,0.5753927565289333,0.7664890312231504,0.6702383551746607,0.567465031092676,0.7139468852962766
second_order_coherence,0.5490258456856916,0.7813630774617195,0.7066730856895447,0.5976861708838007,0.70922512618395
entropy,14.580367437282586,3.619794877592026,5.171640474653175,11.068793461082414,4.8411253956216145
perplexity,2148686.8311238205,37.32990983567325,176.2036581527966,64138.07504864024,126.61175990255697
per_word_perplexity,2384.780056741199,0.16591071038077,0.5952826288945832,92.68507955005815,0.47598405978404873
token_length_mean,7.556265984654732,7.681592039800995,7.9849056603773585,7.192242833052276,7.896694214876033
token_length_median,6.0,6.0,6.0,5.0,6.5
token_length_std,5.452776140903563,5.249791225674643,5.706646116306882,5.130684124975271,5.348367077351625
sentence_length_mean,22.34285714285714,14.357142857142858,15.588235294117647,23.72,16.133333333333333
sentence_length_median,21.0,14.0,15.0,21.0,15.0
sentence_length_std,12.821729005632491,4.401414429429685,4.116806636922987,13.4566563454671,7.144850515503379
syllables_per_token_mean,2.635549872122762,2.7960199004975124,2.849056603773585,2.475548060708263,2.9132231404958677
syllables_per_token_median,2.0,2.0,2.0,2.0,2.0
syllables_per_token_std,2.065157212903883,2.0883910538100428,2.223342939581002,1.9365550012806962,2.2204698389260367
n_tokens,782,201,265,593,242
n_unique_tokens,410,141,163,330,156
proportion_unique_tokens,0.5242966751918159,0.7014925373134329,0.6150943396226415,0.5564924114671164,0.6446280991735537
n_characters,6028,1568,2147,4364,1935
n_sentences,35,14,17,25,15
dependency_distance_mean,3.555313388660736,2.8796886368817316,2.7722069769956046,3.763470155620677,2.653102197086068
dependency_distance_std,1.5479940191586614,0.8041054464896082,0.49675601758086635,1.5584760600568694,0.9701484578208954
prop_adjacent_dependency_relation_mean,0.4613202583160079,0.47360975909569264,0.4799476719861837,0.45309783158921635,0.46673560250979607
prop_adjacent_dependency_relation_std,0.06939949248665805,0.04659632855574832,0.08670399542725336,0.05991896757003925,0.1361440323047973
passed_quality_check,True,True,True,True,True
n_stop_words,361.0,90.0,127.0,281.0,112.0
alpha_ratio,0.8601553829078802,0.8933333333333333,0.8952702702702703,0.8482658959537572,0.9097744360902256
mean_word_length,6.690344062153163,6.9688888888888885,7.253378378378378,6.30635838150289,7.274436090225564
doc_length,901.0,225.0,296.0,692.0,266.0
duplicate_ngram_chr_fraction_5,0.028479154433352905,,,0.018145161290322582,
duplicate_ngram_chr_fraction_6,0.01849677040516735,,,,
duplicate_ngram_chr_fraction_7,0.01849677040516735,,,,
duplicate_ngram_chr_fraction_8,0.01849677040516735,,,,
duplicate_ngram_chr_fraction_9,0.01849677040516735,,,,
top_ngram_chr_fraction_2,0.008220786846741044,0.011312217194570135,0.013687266694317711,0.01129032258064516,0.015165441176470588
top_ngram_chr_fraction_3,0.010275983558426306,,,0.014112903225806451,
top_ngram_chr_fraction_4,0.008807985907222548,,,0.012096774193548387,
oov_ratio,0.04550499445061043,0.03111111111111111,0.04054054054054054,0.03757225433526012,0.03383458646616541
connectives,34,8,11,30,5
