,human-full,explain,create,human-cont,continue
entropy,14.580367437282586,6.034346084521404,4.962106254162313,11.068793461082414,3.5838942701284067
perplexity,2148686.8311238205,417.5256938368255,142.89445119019857,64138.07504864024,36.01351447624951
per_word_perplexity,2384.780056741199,1.3296996619007182,0.48769437266279375,92.68507955005815,0.17314189652043036
first_order_coherence,0.5753927565289333,0.700398115011362,0.7526453087727228,0.567465031092676,0.7110861837863922
second_order_coherence,0.5490258456856916,0.68350400775671,0.7549096183343367,0.5976861708838007,0.775844232602553
flesch_reading_ease,-38.81051918158565,-52.909790209790145,-66.12955079271873,-26.672165935919026,-48.44172064777325
flesch_kincaid_grade,24.22320277676288,25.7142057942058,27.489847328244277,22.87226711635751,23.646842105263165
smog,20.18553292133499,19.92385230540778,20.485669139887417,19.99863758702354,17.822506213463445
gunning_fog,24.896222141030325,25.094505494505498,26.38214914856136,24.19289038785835,23.951417004048583
automated_readability_index,25.331441359152358,25.59145354645355,27.028029947152085,24.30546374367622,23.037113360323886
coleman_liau_index,27.306035805626596,28.701398601398598,30.64656488549618,25.242495784148392,28.564842105263157
lix,68.76229448301059,66.23276723276723,69.3904873752202,68.40802698145025,61.98380566801619
rix,10.371428571428572,9.357142857142858,9.923076923076923,10.6,6.923076923076923
dependency_distance_mean,3.555313388660736,2.8741570902990077,3.143632095185844,3.763470155620677,2.8884633079471134
dependency_distance_std,1.5479940191586614,0.6855703573984098,0.7593570308663217,1.5584760600568694,0.7104615630119565
prop_adjacent_dependency_relation_mean,0.4613202583160079,0.5053238157904716,0.5041883741293739,0.45309783158921635,0.4825457661996123
prop_adjacent_dependency_relation_std,0.06939949248665805,0.05710326600068933,0.0762809525230558,0.05991896757003925,0.08876868089938786
passed_quality_check,True,True,True,True,True
n_stop_words,361.0,137.0,122.0,281.0,91.0
alpha_ratio,0.8601553829078802,0.910828025477707,0.89419795221843,0.8482658959537572,0.9134615384615384
mean_word_length,6.690344062153163,7.207006369426751,7.392491467576792,6.30635838150289,7.293269230769231
doc_length,901.0,314.0,293.0,692.0,208.0
duplicate_ngram_chr_fraction_5,0.028479154433352905,0.08634222919937205,0.03955500618046971,0.018145161290322582,
duplicate_ngram_chr_fraction_6,0.01849677040516735,,,,
duplicate_ngram_chr_fraction_7,0.01849677040516735,,,,
duplicate_ngram_chr_fraction_8,0.01849677040516735,,,,
duplicate_ngram_chr_fraction_9,0.01849677040516735,,,,
top_ngram_chr_fraction_2,0.008220786846741044,0.007849293563579277,0.008240626287597858,0.01129032258064516,
top_ngram_chr_fraction_3,0.010275983558426306,,,0.014112903225806451,
top_ngram_chr_fraction_4,0.008807985907222548,,,0.012096774193548387,
oov_ratio,0.04550499445061043,0.044585987261146494,0.030716723549488054,0.03757225433526012,0.019230769230769232
token_length_mean,7.556265984654732,7.814685314685315,8.148854961832061,7.192242833052276,7.889473684210526
token_length_median,6.0,5.0,6.0,5.0,6.0
token_length_std,5.452776140903563,5.895707316439056,5.7509357540896096,5.130684124975271,5.616085426029893
sentence_length_mean,22.34285714285714,20.428571428571427,20.153846153846153,23.72,14.615384615384615
sentence_length_median,21.0,20.0,18.0,21.0,15.0
sentence_length_std,12.821729005632491,6.715805299167519,5.544868089520031,13.4566563454671,3.498097538739099
syllables_per_token_mean,2.635549872122762,2.825174825174825,2.984732824427481,2.475548060708263,2.8421052631578947
syllables_per_token_median,2.0,2.0,2.0,2.0,2.0
syllables_per_token_std,2.065157212903883,2.361742527592489,2.3049390474775424,1.9365550012806962,2.1560968119738684
n_tokens,782,286,262,593,190
n_unique_tokens,410,171,169,330,130
proportion_unique_tokens,0.5242966751918159,0.5979020979020979,0.6450381679389313,0.5564924114671164,0.6842105263157895
n_characters,6028,2263,2166,4364,1517
n_sentences,35,14,13,25,13
pos_prop_NOUN,0.24528301886792453,0.2770700636942675,0.27986348122866894,0.22832369942196531,0.27403846153846156
pos_prop_ADJ,0.08990011098779134,0.08280254777070063,0.09897610921501707,0.0838150289017341,0.09134615384615384
pos_prop_PUNCT,0.11764705882352941,0.08917197452229299,0.10580204778156997,0.12427745664739884,0.08653846153846154
pos_prop_DET,0.12319644839067703,0.17197452229299362,0.10921501706484642,0.12283236994219653,0.1346153846153846
pos_prop_ADP,0.1120976692563818,0.1178343949044586,0.12627986348122866,0.11127167630057803,0.12980769230769232
pos_prop_PROPN,0.048834628190899,0.028662420382165606,0.0034129692832764505,0.06069364161849711,
pos_prop_VERB,0.049944506104328525,0.06050955414012739,0.07167235494880546,0.0476878612716763,0.07211538461538461
pos_prop_PRON,0.025527192008879023,0.03184713375796178,0.023890784982935155,0.02601156069364162,0.028846153846153848
pos_prop_ADV,0.07214206437291898,0.054140127388535034,0.06825938566552901,0.07803468208092486,0.07211538461538461
pos_prop_AUX,0.03440621531631521,0.025477707006369428,0.027303754266211604,0.04046242774566474,0.038461538461538464
pos_prop_CCONJ,0.05327413984461709,0.04777070063694268,0.05802047781569966,0.046242774566473986,0.052884615384615384
pos_prop_SCONJ,0.004439511653718091,0.006369426751592357,,0.004335260115606936,0.009615384615384616
pos_prop_X,0.008879023307436182,0.006369426751592357,0.006825938566552901,0.0072254335260115606,0.004807692307692308
pos_prop_NUM,0.00776914539400666,,,0.010115606936416185,
pos_prop_PART,0.006659267480577136,,0.020477815699658702,0.008670520231213872,0.004807692307692308
connectives,34,12,6,30,6
