feature,human,continue,explain,create
first_order_coherence,0.4775360313120151,0.6593811043070821,0.6536212848636729,0.5312454852803031
second_order_coherence,0.45870960336043437,0.658135186022086,0.644013596480566,0.5351680217198289
pos_prop_ADV,0.05455513893876736,0.06569277508271534,0.06274669519321206,0.05281879903318644
pos_prop_AUX,0.03552764745311366,0.05462272923567721,0.053291678635416284,0.03763955786880477
pos_prop_VERB,0.05060739632431763,0.07909824440674111,0.07727152422105299,0.08337676828943837
pos_prop_PUNCT,0.14795040165905526,0.10082148901052239,0.10528639290979669,0.10540759697633949
pos_prop_SCONJ,0.008021145553432285,0.016511355397422767,0.02008780421693599,0.015586025941984372
pos_prop_ADP,0.11154984472177722,0.1026252597880989,0.11379003634731907,0.10192899748290313
pos_prop_ADJ,0.07804489368062337,0.09405160474959924,0.08967806022362691,0.09397052921899117
pos_prop_NOUN,0.2167339621973299,0.23607605115479877,0.23509271931138415,0.2452792436282177
pos_prop_DET,0.10882237277603568,0.1330262666278973,0.12360048007435703,0.1349041379288012
pos_prop_PROPN,0.07760867962743612,0.019680962049697825,0.02122499932368051,0.026643676246511882
pos_prop_CCONJ,0.030053857523849512,0.04167903744007104,0.037296022834219844,0.037042115568696195
pos_prop_PART,0.007730388395681101,0.01577871224517806,0.010467268987125215,0.012722294982058197
pos_prop_NUM,0.034437758481277954,0.008468587771107703,0.012759912581755675,0.007864063228747054
pos_prop_X,0.011746192298479655,0.003723887767124057,0.004456249828478792,0.003595325433186776
pos_prop_PRON,0.014596588828027206,0.02516258165554046,0.026580693224284614,0.02919401328450488
dependency_distance_mean,3.273956559578657,3.012533399645619,3.1982922002021805,2.796605169890296
dependency_distance_std,1.3819502586590482,0.8377976262513694,0.8823717461583048,0.8607235783901668
prop_adjacent_dependency_relation_mean,0.45544264222970376,0.46134277130692214,0.4713597033628464,0.462501023074833
prop_adjacent_dependency_relation_std,0.09539305478294771,0.08361734628079183,0.08064315074937727,0.08532541519936963
token_length_mean,6.580565333603792,6.914603791919927,6.8751308027820555,6.888470699439437
token_length_median,5.07,5.79,5.635,5.685
token_length_std,4.626762619780589,4.432802739070639,4.428572191210835,4.429168486767494
sentence_length_mean,19.556865116980866,17.363336119081875,18.342202363553607,16.40447066130388
sentence_length_median,18.35,16.95,17.79,16.265
sentence_length_std,11.257872921362704,5.857700078758346,6.350911997946815,6.605626035581485
syllables_per_token_mean,2.3556255811903224,2.4440687561453567,2.426510106639683,2.3920509484002412
syllables_per_token_median,1.825,2.0,2.0,1.99
syllables_per_token_std,1.769767001742552,1.7306095170305271,1.6895810785728438,1.6406541207961525
n_tokens,908.17,722.02,690.33,712.25
n_unique_tokens,405.44,327.8,315.66,350.17
proportion_unique_tokens,0.48710280206226836,0.4575870684207311,0.4603994915946194,0.4955317497453471
n_characters,6160.45,5073.83,4836.46,4993.69
n_sentences,49.36,41.77,37.86,43.67
flesch_reading_ease,-12.301142262436843,-17.557002930765247,-17.065090420724033,-12.183047955883806
flesch_kincaid_grade,19.833559253668344,20.021712408957143,20.196278180134165,19.03394474903136
smog,18.038881960280097,17.935778747672458,18.18775839438813,17.290211389581838
gunning_fog,21.89601173268159,22.479407427504025,22.541078152754277,21.6384447010752
automated_readability_index,19.342895279764292,19.819451919483793,20.122967262880287,19.216932325011687
coleman_liau_index,21.330006055511536,23.140281338491608,23.001707602095912,22.87890316922431
lix,59.27807178004685,61.088709726696294,61.34754781658576,59.609314988084215
rix,7.798208859890549,7.591839850518425,7.884673206282682,7.0739604646075485
entropy,14.789599440184311,12.146429809257603,11.361196463253425,10.687180957465465
perplexity,3.781792163726999e+30,763625.9718938908,341645.7603932851,177096.68984392856
per_word_perplexity,6.35595321636429e+26,803.9671466855672,377.9936917030842,186.69263473192564
n_stop_words,377.06,345.38,330.95,317.4
alpha_ratio,0.7739119387652329,0.8829288607710282,0.8718232399814393,0.8740570693327833
mean_word_length,5.591602495680369,6.301001994878012,6.234857837905874,6.262631564599327
doc_length,1103.22,805.64,774.89,796.85
duplicate_ngram_chr_fraction_5,0.07116919592525559,0.08948668693144922,0.09727295042961942,0.05268122993412622
duplicate_ngram_chr_fraction_6,0.05769997509272976,0.06652495479556106,0.07424631141562457,0.03903918893659852
duplicate_ngram_chr_fraction_7,0.048921983449523566,0.055244708120564937,0.062434302915621166,0.036651790653387854
duplicate_ngram_chr_fraction_8,0.04679082996712763,0.051704241005342086,0.05419881736475527,0.03585849628060592
top_ngram_chr_fraction_2,0.015666801328906604,0.0098755800948657,0.01056568032052298,0.014617707795750548
top_ngram_chr_fraction_3,0.018642435626514606,0.015064867572882867,0.013015572440761767,0.01064593737705533
top_ngram_chr_fraction_4,0.01618883977412566,0.016017494057692483,0.01636351033590122,0.012445257098666855
oov_ratio,0.08379622354221454,0.04875429973156123,0.06171818328259327,0.052581342760326215
connectives,22.41,22.97,21.82,18.89
connectives_cap,4.28,5.4,4.48,5.46
pos_prop_SPACE,0.022041738049595572,0.017165898151870414,0.01796788053837003,0.02940722507226021
duplicate_ngram_chr_fraction_9,0.04477230539824939,0.050510120375447554,0.04610866505410699,0.03732735474084417
duplicate_ngram_chr_fraction_10,0.04392221637599577,0.04841158501500796,0.05142932492013934,0.03651044115237082
proportion_bullet_points,0.41002037178507766,0.4588235294117647,0.22167755991285398,0.06643652274895276
duplicate_line_chr_fraction,0.004420964475673532,,,0.002065199393117637
duplicate_paragraph_chr_fraction,,,,0.001523412833862775
