human,continue,create,explain
195.3096930266769,1113.7143589743591,843.6818390804599,1015.571789473684
188.8175868633984,700.6153846153845,865.1720000000004,615.4560957910014
229.7834695330062,603.6713016962074,965.9781870180816,478.0694815512843
155.60698141637369,727.9107964601772,1039.3724444444442,884.3412048192772
223.04365529350972,757.7857142857144,398.359756097561,454.77057899802446
156.45947393848337,709.1004038110834,954.242947368421,402.2267799589804
169.2439808795241,1286.251014492754,1370.904,499.9315735189151
214.1629935748728,857.3253211009174,899.4569230769232,432.6643073721826
161.033058218412,473.6061126680779,573.3482016788469,884.4328509654663
161.11551361052494,718.2960000000002,499.5980482510036,466.022855525321
168.1923028467375,1008.2982608695654,523.9593929712462,341.74939076261813
228.6704979913836,890.9846064926032,776.5800000000002,888.0051063829785
147.3408368260195,396.0949940114529,680.731073055356,242.87833317906023
201.5014058512249,804.2379545454546,1037.4120430107528,592.4646341042884
187.21370294459788,450.60940609655177,1001.0133333333332,371.698848892687
219.11693896868184,1180.4014285714286,618.3661971830986,481.9668242968878
166.41054584866004,674.3971929824562,886.0209360047847,523.5791957348163
119.63714198659356,613.8228121296619,653.5376576576577,601.6891139176369
147.75989681676484,585.3895872521568,1483.710967741936,380.22560593528334
124.17228464419476,619.2542139037432,1104.390358974359,617.5785635681145
151.95990988508282,917.0933333333332,801.4908969804619,584.7535346186492
201.27018491579963,933.8523013100436,427.718169295592,386.3396370714186
137.26030483536903,537.4847510126281,955.5127272727271,433.3561935639004
160.88617139355372,1216.7979617834396,1028.1849504950494,427.3982558139535
204.6464795667159,948.2278651685392,1413.9381395348842,509.792450246266
203.9764054779808,1076.6375675675677,782.171923076923,595.6880065214168
162.69542726361232,707.2568082067489,939.441176470588,311.4616101058876
208.6409210240289,290.1847127827949,504.6208961435309,337.766651263218
148.23903670351342,494.8503977123384,507.8281157533437,410.2271311093977
197.10847701149424,1040.4526829268295,1282.0577777777785,432.3743083970765
149.32864736590875,746.6744355416197,649.4009668000432,570.5858355437665
113.38385826771652,465.0955496438042,614.6273237410072,409.668676910909
237.5745189977173,850.0828000000004,462.5588776010193,364.29940218632
171.88965804655186,413.5966961279462,850.8562376237622,415.6509637705819
172.52020705309195,547.3357527683971,1260.5461728395064,687.3398750640608
183.1499944984321,374.19898429650834,572.6769978318105,278.86584798263027
180.7245612554843,613.0801741531274,867.3280000000003,609.5349299828106
171.75,645.0534929300119,546.5200282873058,440.1128382518249
92.14153393400488,1071.8750000000002,908.6877108433736,485.38625384838815
