,explain,human,create,continue
pos_prop_DET,0.0684931506849315,0.07645875251509054,0.06637168141592921,0.08854166666666667
pos_prop_NOUN,0.273972602739726,0.2052313883299799,0.2831858407079646,0.2552083333333333
pos_prop_VERB,0.1232876712328767,0.096579476861167,0.12168141592920353,0.13541666666666666
pos_prop_ADP,0.14794520547945206,0.14688128772635814,0.14601769911504425,0.11979166666666667
pos_prop_PUNCT,0.09315068493150686,0.13480885311871227,0.07964601769911504,0.09375
pos_prop_ADV,0.030136986301369864,0.03219315895372234,0.01991150442477876,0.036458333333333336
pos_prop_PROPN,0.0410958904109589,0.04225352112676056,0.028761061946902654,0.044270833333333336
pos_prop_PRON,0.03287671232876712,0.04225352112676056,0.030973451327433628,0.044270833333333336
pos_prop_NUM,0.005479452054794521,0.01609657947686117,,0.0026041666666666665
pos_prop_ADJ,0.09041095890410959,0.08651911468812877,0.11946902654867257,0.09375
pos_prop_AUX,0.03287671232876712,0.056338028169014086,0.028761061946902654,0.020833333333333332
pos_prop_CCONJ,0.03287671232876712,0.01006036217303823,0.028761061946902654,0.028645833333333332
pos_prop_SCONJ,0.01643835616438356,0.018108651911468814,0.01991150442477876,0.020833333333333332
pos_prop_PART,0.010958904109589041,0.014084507042253521,0.017699115044247787,0.015625
flesch_reading_ease,38.51552380952384,41.03374039401987,26.63789998554708,36.32692028985508
flesch_kincaid_grade,13.336036474164136,13.688187788179409,15.491530568001156,12.95398550724638
smog,15.6451,16.052598638481125,16.562452216208204,14.944652815392658
gunning_fog,17.527132725430597,18.171915607097947,18.814799826564535,16.594202898550726
automated_readability_index,16.980648429584598,16.27000139723348,18.904740569446453,16.153942028985504
coleman_liau_index,17.11173252279635,14.61149643705463,18.373660933660933,17.611826086956523
lix,64.48652482269503,60.15662987285175,65.95591848533024,61.19565217391305
rix,9.333333333333334,8.764705882352942,10.058823529411764,8.055555555555555
passed_quality_check,True,True,True,True
n_stop_words,139.0,195.0,162.0,139.0
alpha_ratio,0.9041095890410958,0.8410462776659959,0.8982300884955752,0.8984375
mean_word_length,5.353424657534247,4.706237424547283,5.522123893805309,5.442708333333333
doc_length,365.0,497.0,452.0,384.0
duplicate_ngram_chr_fraction_5,0.02456140350877193,0.05527272727272727,0.05837651122625216,0.01809954751131222
top_ngram_chr_fraction_2,0.02368421052631579,0.017454545454545455,0.014507772020725389,0.02221308103661045
top_ngram_chr_fraction_3,0.015789473684210527,0.00909090909090909,0.012435233160621761,0.011517893870835048
first_order_coherence,0.8671965173312596,0.7039163606241345,0.7706368961371481,0.8558907754280988
second_order_coherence,0.8786753370211675,0.6850418105721474,0.7413047264019649,0.8475741930305958
dependency_distance_mean,2.870904443676767,3.0563957393806485,2.68084472579578,2.73029621733176
dependency_distance_std,0.5896915172693553,1.3039635841962407,0.8019939132873783,0.37390186176031015
prop_adjacent_dependency_relation_mean,0.4915712075225866,0.44053314106445157,0.46949822360319965,0.44941410266358733
prop_adjacent_dependency_relation_std,0.059442796480503705,0.06595825756351618,0.0468909108899086,0.06900673386188849
token_length_mean,5.826747720364741,5.375296912114014,6.022113022113022,5.944927536231884
token_length_median,5.0,4.0,5.0,5.0
token_length_std,3.318514251753418,3.3457538899873915,3.4387590552124836,3.425375732352946
sentence_length_mean,21.933333333333334,24.764705882352942,23.941176470588236,19.166666666666668
sentence_length_median,22.0,23.0,26.0,17.5
sentence_length_std,5.591263025669801,15.0314549088969,9.464923406267227,4.13991411612474
syllables_per_token_mean,1.7264437689969605,1.66270783847981,1.8427518427518428,1.7855072463768116
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,1.0245911620103334,1.0270735506949504,1.1280825831202945,1.0876480891766045
n_tokens,329,421,407,345
n_unique_tokens,186,186,220,190
proportion_unique_tokens,0.5653495440729484,0.4418052256532066,0.5405405405405406,0.5507246376811594
n_characters,1954,2339,2496,2090
n_sentences,15,17,17,18
entropy,8.930475224345095,12.871717756921722,10.136813966392392,9.638297389158879
perplexity,7558.856675559797,389149.0678055957,25255.87210784349,15341.201387447529
per_word_perplexity,20.709196371396704,782.9961122849008,55.87582324744135,39.951045279811275
connectives,10,6,7,11
pos_prop_X,,0.022132796780684104,0.008849557522123894,
duplicate_ngram_chr_fraction_6,,0.03272727272727273,0.026252158894645942,
duplicate_ngram_chr_fraction_7,,0.020363636363636365,0.026252158894645942,
top_ngram_chr_fraction_4,,0.014545454545454545,0.029015544041450778,
oov_ratio,,0.002012072434607646,0.004424778761061947,0.013020833333333334
duplicate_ngram_chr_fraction_8,,,0.026252158894645942,
