,human,create,explain,continue
pos_prop_NOUN,0.22350674373795762,0.2850574712643678,0.2807017543859649,0.3006396588486141
pos_prop_AUX,0.02697495183044316,0.0367816091954023,0.038011695906432746,0.03837953091684435
pos_prop_NUM,0.017341040462427744,0.011494252873563218,0.005847953216374269,0.008528784648187633
pos_prop_ADP,0.09633911368015415,0.13333333333333333,0.1111111111111111,0.13859275053304904
pos_prop_DET,0.06936416184971098,0.06666666666666667,0.07017543859649122,0.06609808102345416
pos_prop_ADV,0.05009633911368015,0.029885057471264367,0.02631578947368421,0.019189765458422176
pos_prop_ADJ,0.08477842003853564,0.09195402298850575,0.09649122807017543,0.06823027718550106
pos_prop_X,0.02697495183044316,0.004597701149425287,,
pos_prop_PROPN,0.028901734104046242,,0.0029239766081871343,
pos_prop_PUNCT,0.16955684007707128,0.08275862068965517,0.10526315789473684,0.09808102345415778
pos_prop_VERB,0.10982658959537572,0.15172413793103448,0.13450292397660818,0.14285714285714285
pos_prop_CCONJ,0.028901734104046242,0.029885057471264367,0.029239766081871343,0.02771855010660981
pos_prop_PART,0.023121387283236993,0.02528735632183908,0.029239766081871343,0.023454157782515993
pos_prop_PRON,0.028901734104046242,0.029885057471264367,0.038011695906432746,0.053304904051172705
pos_prop_SCONJ,0.011560693641618497,0.01839080459770115,0.03216374269005848,0.014925373134328358
pos_prop_SYM,0.0038535645472061657,0.0022988505747126436,,
flesch_reading_ease,32.8017307692308,26.030401085061072,31.9884311740891,38.84290042429066
flesch_kincaid_grade,15.143269230769231,17.215214105793454,14.606973684210526,13.624371519490854
smog,16.061879428645646,17.032423316055382,15.299343439825492,14.790194502661404
gunning_fog,18.284615384615385,19.973571013369504,17.117004048582995,16.47101564571732
automated_readability_index,18.23358173076923,21.707719434218177,17.90257085020243,16.985070273137104
coleman_liau_index,16.34855769230769,18.021964735516374,17.440526315789473,16.355990453460617
lix,66.625,76.13040108506104,68.12145748987854,64.32789710952002
rix,10.5625,13.923076923076923,10.461538461538462,9.555555555555555
passed_quality_check,True,True,True,True
n_stop_words,176.0,162.0,124.0,179.0
alpha_ratio,0.789980732177264,0.903448275862069,0.8859649122807017,0.8955223880597015
mean_word_length,4.736030828516378,5.489655172413793,5.3274853801169595,5.1918976545842215
doc_length,519.0,435.0,342.0,469.0
duplicate_ngram_chr_fraction_5,0.05437434646218194,,,0.05960729312762973
duplicate_ngram_chr_fraction_6,0.020216103171836877,,,
top_ngram_chr_fraction_2,0.01533635413035901,0.04527488321954725,0.03297220913801225,0.05890603085553997
top_ngram_chr_fraction_3,0.01917044266294876,0.018325547969816745,,0.029803646563814866
top_ngram_chr_fraction_4,0.01673056814220983,,,
oov_ratio,0.005780346820809248,0.0022988505747126436,,
first_order_coherence,0.7165041536092758,0.8418007480601469,0.8939593831698099,0.8516141632023979
second_order_coherence,0.7221038531112883,0.8409448496320031,0.8993561918085272,0.8546547219157219
dependency_distance_mean,3.9082781485263105,2.757492851042937,3.034557164488552,2.725568375888342
dependency_distance_std,1.7673026140800707,0.7794743176697452,0.5358379148462628,0.5465168185060483
prop_adjacent_dependency_relation_mean,0.4337756045017075,0.49345676156141355,0.4605395762558441,0.4767093867342692
prop_adjacent_dependency_relation_std,0.07160278717830489,0.03781597615594861,0.05553989583202269,0.05753500491097286
token_length_mean,5.6610576923076925,5.916876574307305,5.868421052631579,5.684964200477327
token_length_median,5.0,6.0,6.0,6.0
token_length_std,3.1710867520424744,3.0718749051888192,2.943959494783379,3.0400725695014814
sentence_length_mean,26.0,30.53846153846154,23.384615384615383,23.27777777777778
sentence_length_median,23.0,31.0,23.0,22.0
sentence_length_std,16.140012391568973,11.731714968182382,5.137171648327385,5.096900534808227
syllables_per_token_mean,1.7451923076923077,1.7707808564231737,1.7861842105263157,1.7064439140811456
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,1.0663002001612423,0.9963928113930469,1.02132198529427,0.9757105010903091
n_tokens,416,397,304,419
n_unique_tokens,221,218,174,176
proportion_unique_tokens,0.53125,0.5491183879093199,0.5723684210526315,0.4200477326968974
n_characters,2458,2388,1822,2435
n_sentences,16,13,13,18
entropy,14.554963615096154,9.919431236798125,8.767373660225342,11.263321857263477
perplexity,2094789.4709514137,20321.429259610944,6421.285820682576,77910.95548931329
per_word_perplexity,4036.203219559564,46.715929332438954,18.77568953415958,166.12144027572128
connectives,14,10,7,6
