,create,human,explain,continue
flesch_reading_ease,33.82489503328216,53.63278530767147,55.945229495861554,49.00277419354842
flesch_kincaid_grade,14.531305683563748,12.120848468419627,10.696736536601097,11.045182795698928
smog,15.832023613614833,12.627914446148157,12.20465563037327,13.348371206891418
gunning_fog,17.847209421402972,14.543561940905395,13.223648285499303,14.321720430107531
automated_readability_index,17.76774449564772,15.535857956085657,13.922201440395575,14.091532258064518
coleman_liau_index,16.856866359447,13.25345622119815,13.763069977426635,15.343763440860215
lix,63.51203277009729,55.94415830848469,53.60088143609588,54.08387096774194
rix,9.5,7.764705882352941,6.857142857142857,6.6
dependency_distance_mean,2.8182314733893983,3.4578276420295553,2.963006361325123,3.005195363904707
dependency_distance_std,0.6831220564869775,1.7544713248704529,1.0185902780020766,0.6980655467670268
prop_adjacent_dependency_relation_mean,0.45033305392730205,0.4184905986709387,0.44642994297302074,0.45423760849914874
prop_adjacent_dependency_relation_std,0.07321344772944301,0.06503871196285403,0.057348082644101205,0.06332606171165542
entropy,11.26088789423032,14.441845801514564,13.23545059280003,10.691632163406418
perplexity,77721.55369576043,1870742.1869635575,559864.7931745178,43986.24117390995
per_word_perplexity,159.59251272230068,3470.7647253498285,1070.487176241908,103.74113484412723
token_length_mean,5.7626728110599075,5.138248847926267,5.266365688487585,5.567204301075269
token_length_median,5.0,4.0,5.0,5.0
token_length_std,3.306380962330658,2.9030831652472497,2.8651280994997084,3.143229578644793
sentence_length_mean,24.11111111111111,25.529411764705884,21.095238095238095,18.6
sentence_length_median,24.0,22.0,22.0,19.0
sentence_length_std,7.73799348732451,16.49640833300611,7.5901236698925425,5.276362383309167
syllables_per_token_mean,1.7557603686635945,1.5046082949308757,1.5304740406320543,1.64247311827957
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,1.0229065382012155,0.80105170416288,0.8067696089479622,0.8729029012919046
n_tokens,434,434,443,372
n_unique_tokens,216,208,222,185
proportion_unique_tokens,0.4976958525345622,0.4792626728110599,0.5011286681715575,0.49731182795698925
n_characters,2555,2335,2414,2126
n_sentences,18,17,21,20
passed_quality_check,True,True,True,True
n_stop_words,178.0,188.0,198.0,154.0
alpha_ratio,0.8747433264887063,0.8051948051948052,0.8489483747609943,0.875
mean_word_length,5.246406570841889,4.332096474953618,4.615678776290631,5.014150943396227
doc_length,487.0,539.0,523.0,424.0
duplicate_ngram_chr_fraction_5,0.05423501841312354,0.011602610587382161,0.06223628691983123,0.02491961414790997
duplicate_ngram_chr_fraction_6,0.034147974556411116,,0.02461322081575246,0.02491961414790997
duplicate_ngram_chr_fraction_7,0.034147974556411116,,0.02461322081575246,
duplicate_ngram_chr_fraction_8,0.034147974556411116,,,
top_ngram_chr_fraction_2,0.024104452628054905,0.011602610587382161,0.01230661040787623,0.03657556270096463
top_ngram_chr_fraction_3,0.024104452628054905,0.014503263234227702,0.026371308016877638,0.02532154340836013
top_ngram_chr_fraction_4,0.022095748242383664,0.010877447425670777,0.04746835443037975,
oov_ratio,0.006160164271047228,0.012987012987012988,0.0076481835564053535,0.025943396226415096
first_order_coherence,0.8509191625258502,0.6456555649638176,0.7791170075535774,0.8109291635061565
second_order_coherence,0.8410742841660976,0.700274083018303,0.7744685144800889,0.8048779567082723
pos_prop_X,0.02053388090349076,0.03153988868274583,,0.02122641509433962
pos_prop_PUNCT,0.09856262833675565,0.16697588126159554,0.1491395793499044,0.10613207547169812
pos_prop_NOUN,0.23408624229979466,0.1614100185528757,0.1739961759082218,0.2240566037735849
pos_prop_DET,0.06570841889117043,0.07792207792207792,0.07648183556405354,0.0660377358490566
pos_prop_ADP,0.11498973305954825,0.09090909090909091,0.0994263862332696,0.1179245283018868
pos_prop_CCONJ,0.039014373716632446,0.029684601113172542,0.032504780114722756,0.030660377358490566
pos_prop_PRON,0.055441478439425054,0.016697588126159554,0.0248565965583174,0.04009433962264151
pos_prop_ADJ,0.10472279260780287,0.09090909090909091,0.0841300191204589,0.07075471698113207
pos_prop_AUX,0.028747433264887063,0.05380333951762523,0.04397705544933078,0.030660377358490566
pos_prop_VERB,0.08829568788501027,0.07977736549165121,0.10707456978967496,0.09669811320754718
pos_prop_SCONJ,0.012320328542094456,0.00927643784786642,0.022944550669216062,0.01179245283018868
pos_prop_PROPN,0.07392197125256673,0.13543599257884972,0.11854684512428298,0.11084905660377359
pos_prop_NUM,0.018480492813141684,0.012987012987012988,0.017208413001912046,0.018867924528301886
pos_prop_ADV,0.024640657084188913,0.029684601113172542,0.036328871892925434,0.030660377358490566
pos_prop_PART,0.02053388090349076,0.012987012987012988,0.01338432122370937,0.02358490566037736
connectives,10,9,13,7
connectives_cap,3,2,2,1
