,human-full,continue,explain,human-cont,create
passed_quality_check,True,True,True,True,True
n_stop_words,335.0,152.0,88.0,267.0,144.0
alpha_ratio,0.800498753117207,0.8775981524249422,0.8697183098591549,0.7930327868852459,0.8596112311015118
mean_word_length,4.768911055694098,5.279445727482679,5.23943661971831,4.74077868852459,5.241900647948164
doc_length,1203.0,433.0,284.0,976.0,463.0
duplicate_ngram_chr_fraction_5,0.08579571021448927,0.05559729526671676,0.06470248411322935,0.08451228592702904,0.08211873444720938
duplicate_ngram_chr_fraction_6,0.04889755512224389,,0.06470248411322935,0.04765450483991065,0.019907571987202274
duplicate_ngram_chr_fraction_7,0.04439778011099445,,0.06470248411322935,0.042069992553983616,
duplicate_ngram_chr_fraction_8,0.02129893505324734,,0.06470248411322935,0.02643335815338794,
top_ngram_chr_fraction_2,0.012599370031498426,0.013523666416228399,0.011554015020219527,0.01563663440059568,0.019907571987202274
top_ngram_chr_fraction_3,0.01574921253937303,0.029301277235161533,0.01733102253032929,0.0195457930007446,0.024884464984002843
top_ngram_chr_fraction_4,0.01799910004499775,0.0371900826446281,,0.022338049143708117,0.02239601848560256
oov_ratio,0.06400665004156277,0.050808314087759814,0.045774647887323945,0.06454918032786885,0.06695464362850972
token_length_mean,5.688728024819028,5.876315789473685,5.874493927125506,5.698841698841699,5.934673366834171
token_length_median,4.0,5.0,5.0,4.0,5.0
token_length_std,3.50023003165935,3.566358470818977,3.3007846642519247,3.482541298596998,3.517473077808808
sentence_length_mean,23.585365853658537,20.0,22.454545454545453,24.28125,22.11111111111111
sentence_length_median,23.0,21.0,21.0,24.0,22.5
sentence_length_std,12.658701065710856,4.723959088908816,4.887156383896587,13.210399253523718,6.081747637068448
syllables_per_token_mean,1.7849017580144777,1.8447368421052632,1.8380566801619433,1.7734877734877734,1.8693467336683418
syllables_per_token_median,1.0,1.0,1.0,1.0,1.0
syllables_per_token_std,1.1293121725677224,1.158310332115174,1.078915085615891,1.1150854254108824,1.1768346418457118
n_tokens,967,380,247,777,398
n_unique_tokens,399,180,126,343,195
proportion_unique_tokens,0.4126163391933816,0.47368421052631576,0.5101214574898786,0.44144144144144143,0.4899497487437186
n_characters,5737,2286,1488,4627,2427
n_sentences,41,19,11,32,18
dependency_distance_mean,3.1950334096405646,2.811977196927153,3.234313732340063,3.3226092425403655,2.890737784154051
dependency_distance_std,1.3676503704846141,0.5374840714933828,0.6075562311955723,1.4970565954287318,0.6066977415664988
prop_adjacent_dependency_relation_mean,0.43911668733059644,0.45767020621030596,0.46757737120879417,0.4447203910890953,0.4660044353332662
