,human-full,create,explain,continue,human-cont
pos_prop_DET,0.0457190357439734,0.06818181818181818,0.06859205776173286,0.07333333333333333,0.042008196721311473
pos_prop_ADJ,0.1055694098088113,0.11688311688311688,0.13357400722021662,0.16666666666666666,0.10040983606557377
pos_prop_NOUN,0.22942643391521197,0.2792207792207792,0.2851985559566787,0.26666666666666666,0.22950819672131148
pos_prop_ADP,0.11055694098088113,0.13636363636363635,0.148014440433213,0.11333333333333333,0.10860655737704918
pos_prop_PUNCT,0.15793848711554448,0.14285714285714285,0.09747292418772563,0.13111111111111112,0.15881147540983606
pos_prop_PRON,0.006650041562759767,0.016233766233766232,0.021660649819494584,0.015555555555555555,0.006147540983606557
pos_prop_AUX,0.03657522859517872,0.016233766233766232,0.02527075812274368,0.022222222222222223,0.036885245901639344
pos_prop_VERB,0.0831255195344971,0.09740259740259741,0.09747292418772563,0.10666666666666667,0.08196721311475409
pos_prop_ADV,0.032418952618453865,0.025974025974025976,0.02888086642599278,0.02,0.031762295081967214
pos_prop_PROPN,0.09975062344139651,0.045454545454545456,0.04693140794223827,0.03777777777777778,0.10553278688524591
pos_prop_CCONJ,0.034912718204488775,0.03571428571428571,0.02888086642599278,0.03777777777777778,0.03381147540983607
pos_prop_SCONJ,0.005818786367414797,0.00974025974025974,0.007220216606498195,0.006666666666666667,0.006147540983606557
pos_prop_PART,0.012468827930174564,0.00974025974025974,0.010830324909747292,0.0022222222222222222,0.012295081967213115
pos_prop_X,0.03325020781379884,,,,0.0389344262295082
pos_prop_SYM,0.0024937655860349127,,,,0.0030737704918032786
pos_prop_NUM,0.0033250207813798837,,,,0.004098360655737705
passed_quality_check,True,True,True,True,True
n_stop_words,335.0,95.0,96.0,132.0,267.0
alpha_ratio,0.800498753117207,0.8538961038961039,0.8989169675090253,0.8577777777777778,0.7930327868852459
mean_word_length,4.768911055694098,5.032467532467533,5.483754512635379,5.351111111111111,4.74077868852459
doc_length,1203.0,308.0,277.0,450.0,976.0
duplicate_ngram_chr_fraction_5,0.08579571021448927,,,0.1199281867145422,0.08451228592702904
duplicate_ngram_chr_fraction_6,0.04889755512224389,,,0.06032315978456014,0.04765450483991065
duplicate_ngram_chr_fraction_7,0.04439778011099445,,,0.03734290843806104,0.042069992553983616
duplicate_ngram_chr_fraction_8,0.02129893505324734,,,,0.02643335815338794
top_ngram_chr_fraction_2,0.012599370031498426,0.018282548476454295,0.013605442176870748,0.02872531418312388,0.01563663440059568
top_ngram_chr_fraction_3,0.01574921253937303,0.02326869806094183,,0.020107719928186715,0.0195457930007446
top_ngram_chr_fraction_4,0.01799910004499775,,,,0.022338049143708117
oov_ratio,0.06400665004156277,0.03896103896103896,0.018050541516245487,0.042222222222222223,0.06454918032786885
dependency_distance_mean,3.1950334096405646,2.700945447274702,2.561743064297244,2.7417407399564446,3.3226092425403655
dependency_distance_std,1.3676503704846141,0.9188853670846855,0.2907581955540187,0.47231825754245527,1.4970565954287318
prop_adjacent_dependency_relation_mean,0.43911668733059644,0.41687652017184834,0.4687733662965861,0.43543909463067854,0.4447203910890953
prop_adjacent_dependency_relation_std,0.06008429538616517,0.13330094616878338,0.06542139595818351,0.07693765191693269,0.06026999253396509
token_length_mean,5.688728024819028,5.736641221374046,5.9879518072289155,6.072538860103627,5.698841698841699
token_length_median,4.0,5.0,5.0,6.0,4.0
token_length_std,3.50023003165935,3.2520271096132602,3.49466825988869,3.352351626819156,3.482541298596998
sentence_length_mean,23.585365853658537,21.833333333333332,19.153846153846153,20.31578947368421,24.28125
sentence_length_median,23.0,24.0,19.0,19.0,24.0
sentence_length_std,12.658701065710856,8.571593913749194,4.469488937333524,7.753115717187492,13.210399253523718
syllables_per_token_mean,1.7849017580144777,1.8015267175572518,1.8875502008032128,1.8860103626943006,1.7734877734877734
syllables_per_token_median,1.0,1.0,1.0,2.0,1.0
syllables_per_token_std,1.1293121725677224,1.0836737581817086,1.1492120674592377,1.0975531617638372,1.1150854254108824
n_tokens,967,262,249,386,777
n_unique_tokens,399,157,147,188,343
proportion_unique_tokens,0.4126163391933816,0.5992366412213741,0.5903614457831325,0.48704663212435234,0.44144144144144143
n_characters,5737,1550,1519,2408,4627
n_sentences,41,12,13,19,32
entropy,28.856106699440268,7.811436368277256,6.926331960839483,10.881148540227535,23.091025180844724
perplexity,3404457435745.9883,2468.6738146317516,1018.7503018397879,53164.6265779194,10673449940.11406
per_word_perplexity,2829972930.79467,8.015174722830363,3.6777989236093425,118.14361461759867,10935911.823887356
first_order_coherence,0.6818119078874588,0.8167260018261996,0.8444997121890386,0.8283796575334337,0.649654223553596
second_order_coherence,0.6985196016537838,0.8246630430221558,0.8336025313897566,0.8049772188943976,0.698622805128495
flesch_reading_ease,31.8931649305118,32.265006361323174,27.70709916589439,26.65799700027273,32.15246561293441
flesch_kincaid_grade,14.670133427497667,14.183015267175573,14.15309236947791,14.58808017452959,14.806843227155728
smog,16.689078388715778,15.579741850924794,15.705129121369687,15.768009659002274,16.753131548150495
gunning_fog,18.989472091204885,17.435623409669212,17.782020389249308,17.76362148895555,19.081869369369368
automated_readability_index,17.156591923726886,16.506246819338422,16.350176088971267,17.32955276793019,17.552169401544404
coleman_liau_index,16.394705274043428,16.575725190839695,17.863775100401607,18.449533678756477,16.490141570141564
lix,59.055893258001866,58.09287531806615,60.1177015755329,62.0256340332697,60.05988577863578
rix,8.365853658536585,7.916666666666667,7.846153846153846,8.473684210526315,8.6875
connectives,38,8,7,11,34
