,human-full,continue,human-cont,create,explain
dependency_distance_mean,3.3318273185196157,2.689318773148898,3.408854882592722,3.00198940271383,3.131566093695595
dependency_distance_std,1.447537503668248,0.7521349885755687,1.5303445273930214,0.34716270766016283,0.4750283455756369
prop_adjacent_dependency_relation_mean,0.4400352078632939,0.4498633788546182,0.4333139349019059,0.47339373346508956,0.4752559082095093
prop_adjacent_dependency_relation_std,0.06832510671717305,0.0625246989642204,0.06965815191792551,0.03518847534333071,0.045976320502193385
pos_prop_NOUN,0.24502164502164503,0.2686335403726708,0.24236453201970443,0.27233115468409586,0.2877959927140255
pos_prop_VERB,0.0683982683982684,0.14285714285714285,0.06600985221674877,0.10457516339869281,0.11657559198542805
pos_prop_ADP,0.10476190476190476,0.08074534161490683,0.10541871921182266,0.1111111111111111,0.12386156648451731
pos_prop_PROPN,0.09264069264069263,0.05124223602484472,0.09458128078817735,0.04357298474945534,0.04007285974499089
pos_prop_DET,0.06406926406926407,0.05124223602484472,0.06600985221674877,0.06535947712418301,0.09289617486338798
pos_prop_PUNCT,0.1471861471861472,0.12422360248447205,0.14679802955665025,0.12636165577342048,0.1092896174863388
pos_prop_X,0.02077922077922078,0.020186335403726708,0.020689655172413793,0.002178649237472767,
pos_prop_AUX,0.023376623376623377,0.059006211180124224,0.023645320197044337,0.034858387799564274,0.009107468123861567
pos_prop_ADV,0.03463203463203463,0.03260869565217391,0.03251231527093596,0.0457516339869281,0.04189435336976321
pos_prop_CCONJ,0.048484848484848485,0.046583850931677016,0.04827586206896552,0.05664488017429194,0.04371584699453552
pos_prop_ADJ,0.09177489177489177,0.07919254658385093,0.09064039408866995,0.0915032679738562,0.09836065573770492
pos_prop_PRON,0.01471861471861472,0.023291925465838508,0.015763546798029555,0.015250544662309368,0.020036429872495445
pos_prop_NUM,0.021645021645021644,,0.023645320197044337,0.008714596949891068,
pos_prop_SCONJ,0.011255411255411256,0.0015527950310559005,0.011822660098522168,0.006535947712418301,0.012750455373406194
pos_prop_PART,0.008658008658008658,0.018633540372670808,0.008866995073891626,0.013071895424836602,0.0018214936247723133
pos_prop_SYM,0.0017316017316017316,,0.0019704433497536944,0.002178649237472767,0.0018214936247723133
pos_prop_INTJ,0.0008658008658008658,,0.0009852216748768472,,
token_length_mean,5.7591623036649215,6.420677361853833,5.662291169451074,6.118987341772152,6.334020618556701
token_length_median,5.0,6.0,5.0,6.0,6.0
token_length_std,3.235051377250151,3.293357475700071,3.1783554236790286,3.331251178995857,3.321870253179121
sentence_length_mean,24.487179487179485,18.7,24.647058823529413,28.214285714285715,25.526315789473685
sentence_length_median,24.0,18.5,26.0,27.5,25.0
sentence_length_std,14.494688319539847,6.558200972827838,15.279517918444586,6.591970997558549,5.3446325367520435
syllables_per_token_mean,1.7403141361256544,1.9037433155080214,1.7159904534606205,1.8683544303797468,1.9051546391752576
syllables_per_token_median,1.0,2.0,1.0,1.0,1.0
syllables_per_token_std,1.0642195507055086,1.0803727314801619,1.038866262846523,1.1082594751467383,1.1484073358684264
n_tokens,955.0,561,838.0,395,485.0
n_unique_tokens,378.0,264,359.0,214,198.0
proportion_unique_tokens,0.3958115183246073,0.47058823529411764,0.42840095465393796,0.5417721518987342,0.40824742268041236
n_characters,5701.0,3685,4923.0,2482,3136.0
n_sentences,39.0,30,34.0,14,19.0
first_order_coherence,0.660439748709139,0.7513874615060872,0.6367996992035345,0.8787831434836755,0.9172065390480889
second_order_coherence,0.6386487657153929,0.7827611123876912,0.6388700222596526,0.8693673312664032,0.9028214286355412
entropy,32.93948222389392,16.618790400912786,28.934098399701433,13.309487722239934,15.475600388310532
perplexity,202039072712377.3,16498671.17720368,3680605526071.4463,602888.6039486793,5259783.311381751
per_word_perplexity,174925604079.98035,25619.05462298708,3626212340.95709,1313.482797273811,9580.661769365666
flesch_reading_ease,34.74993690428249,26.797815508021387,36.64544293134915,20.134715189873447,19.74970699945746
flesch_kincaid_grade,14.495706806282723,14.167171122994652,14.271040292011794,17.460153707052445,16.846087900162775
smog,16.448374293005145,16.072389612768465,16.236965992691296,18.473206523352868,17.9567771080656
gunning_fog,18.674452946704257,18.46039215686275,18.402976274041837,21.51356238698011,20.767227346717313
automated_readability_index,17.939244193851522,18.161390374331553,17.562920819879267,21.497573236889693,21.1663950081389
coleman_liau_index,16.855078534031417,20.370695187165776,16.293317422434367,19.130531645569622,20.28445360824742
lix,58.204456974090476,66.29358288770054,57.10529271374421,68.21428571428572,67.79435702658708
rix,8.256410256410257,8.9,8.0,11.285714285714286,10.789473684210526
n_stop_words,350.0,192.0,310.0,154.0,179.0
alpha_ratio,0.8069264069264069,0.8649068322981367,0.8049261083743843,0.8562091503267973,0.8834244080145719
mean_word_length,4.935930735930736,5.722049689440993,4.850246305418719,5.407407407407407,5.712204007285974
doc_length,1155.0,644.0,1015.0,459.0,549.0
duplicate_ngram_chr_fraction_5,0.206875753920386,,0.17703432653772433,0.029288702928870293,0.21822209914151205
duplicate_ngram_chr_fraction_6,0.1471652593486128,,0.12406342568391705,0.029288702928870293,0.19994461368042094
duplicate_ngram_chr_fraction_7,0.1301266586248492,,0.09932043910088866,0.029288702928870293,0.10135696482968706
duplicate_ngram_chr_fraction_8,0.10313630880579011,,0.09932043910088866,0.029288702928870293,0.029354749376903903
duplicate_ngram_chr_fraction_9,0.08594692400482509,,0.09932043910088866,,0.029354749376903903
duplicate_ngram_chr_fraction_10,0.08594692400482509,,0.09932043910088866,,
top_ngram_chr_fraction_2,0.013570566948130277,0.01178967224711153,0.011326014985189058,0.01394700139470014,0.011077263915812794
top_ngram_chr_fraction_3,0.009047044632086852,0.01980664937514737,0.010454783063251438,,0.01800055386319579
top_ngram_chr_fraction_4,0.010856453558504222,0.02357934449422306,0.012545739675901725,,0.031016338964275823
oov_ratio,0.011255411255411256,,0.009852216748768473,0.002178649237472767,
connectives,18.0,2,18.0,7,9.0
passed_quality_check,,True,,True,
