,continue,human-full,human-cont,create,explain
passed_quality_check,True,True,True,True,True
n_stop_words,162.0,253.0,174.0,157.0,110.0
alpha_ratio,0.8832997987927566,0.8273878020713463,0.8166666666666667,0.8639175257731959,0.8879310344827587
mean_word_length,5.523138832997988,5.159953970080553,5.016666666666667,5.364948453608247,5.7011494252873565
doc_length,497.0,869.0,600.0,485.0,348.0
top_ngram_chr_fraction_2,0.011335012594458438,0.010773374374759523,0.016009148084619784,0.008278145695364239,0.028384279475982533
oov_ratio,0.018108651911468814,0.01726121979286536,0.015,0.026804123711340205,0.011494252873563218
first_order_coherence,0.8269079956743453,0.6382874411841234,0.5562542305727091,0.8157330122258928,0.8789368592775785
second_order_coherence,0.8042157783227808,0.6889605845667814,0.6365716736073848,0.785663408391616,0.8575821121533712
entropy,11.429554853297233,21.940800240856955,14.868888999662046,11.655215456816636,8.330784499976913
perplexity,92001.0117540404,3378846583.969647,2867321.8525660858,115291.09348352485,4149.671693008388
per_word_perplexity,185.11269970631872,3888200.9021514924,4778.8697542768095,237.71359481139143,11.9243439454264
flesch_reading_ease,27.370825522710902,36.875408012379694,42.36877263581488,33.54523721275021,25.910169902912628
flesch_kincaid_grade,15.16856284546984,12.631124828060525,11.607273988760152,14.150454657771188,15.128536754507632
smog,16.62248984368584,14.265292616868656,13.304227280403612,15.14089131213641,16.26309291913925
gunning_fog,18.901417928382603,15.633136176066026,14.259598973149242,16.85574499629355,18.4078594544614
automated_readability_index,18.96926099495314,15.787926409903712,14.688200929716231,17.896793921423274,19.25280166435506
coleman_liau_index,18.961187214611872,17.68962861072902,16.86551307847083,17.980375586854453,19.870550161812293
lix,67.34486902186974,59.715577716643736,55.97092902241032,63.50086483815171,69.64424410540916
rix,10.210526315789474,7.55,6.655172413793103,9.210526315789474,10.5
token_length_mean,6.13013698630137,5.972489683631362,5.849094567404427,5.969483568075117,6.294498381877022
token_length_median,6.0,6.0,5.0,6.0,6.0
token_length_std,3.1951669380576457,3.893607393311482,4.073687983613582,3.320375030569093,3.3005837706902184
sentence_length_mean,23.05263157894737,18.175,17.137931034482758,22.42105263157895,22.071428571428573
sentence_length_median,22.0,18.5,18.0,23.0,22.0
sentence_length_std,7.701494620564356,8.419879749735147,9.069555507228126,6.063834026628126,6.2274081482506
syllables_per_token_mean,1.8447488584474885,1.7909215955983493,1.738430583501006,1.7793427230046948,1.8737864077669903
syllables_per_token_median,2.0,1.0,1.0,1.0,2.0
syllables_per_token_std,1.0174761980706228,1.015844274889914,1.009009690260953,1.0450624079601907,0.995260077087906
n_tokens,438,727,497,426,309
n_unique_tokens,259,326,264,250,168
proportion_unique_tokens,0.591324200913242,0.4484181568088033,0.5311871227364185,0.5868544600938967,0.5436893203883495
n_characters,2745,4484,3010,2602,1984
n_sentences,19,40,29,19,14
dependency_distance_mean,2.9492944803313366,2.7148407530141747,2.6703498100278207,2.746531982554925,2.577732013710218
dependency_distance_std,0.6288751881248781,0.939334198701865,1.0284680521924228,0.3156979318059318,0.3465407031223068
prop_adjacent_dependency_relation_mean,0.45830748337434307,0.4749176115575285,0.4696536829149029,0.4861848721377838,0.5155468422919346
prop_adjacent_dependency_relation_std,0.05659520084194851,0.06590485885938951,0.06438630515129264,0.07738206258543585,0.06953342246830968
pos_prop_PROPN,0.02012072434607646,0.05523590333716916,0.06333333333333334,0.03505154639175258,0.028735632183908046
pos_prop_PUNCT,0.11267605633802817,0.1334867663981588,0.13,0.11134020618556702,0.11206896551724138
pos_prop_NOUN,0.3118712273641851,0.3003452243958573,0.28,0.29896907216494845,0.31896551724137934
pos_prop_AUX,0.03621730382293763,0.0379746835443038,0.043333333333333335,0.049484536082474224,0.022988505747126436
pos_prop_ADJ,0.10462776659959759,0.09896432681242807,0.09666666666666666,0.10721649484536082,0.09195402298850575
pos_prop_ADP,0.11468812877263582,0.11852704257767549,0.12,0.12783505154639174,0.10919540229885058
pos_prop_SCONJ,0.014084507042253521,0.0034522439585730723,0.005,0.008247422680412371,0.005747126436781609
pos_prop_PRON,0.018108651911468814,0.006904487917146145,0.008333333333333333,0.010309278350515464,0.02586206896551724
pos_prop_VERB,0.1267605633802817,0.08745684695051784,0.085,0.10103092783505155,0.15517241379310345
pos_prop_PART,0.018108651911468814,0.011507479861910242,0.011666666666666667,0.01443298969072165,0.014367816091954023
pos_prop_ADV,0.02414486921529175,0.02186421173762946,0.03,0.030927835051546393,0.011494252873563218
pos_prop_CCONJ,0.03219315895372234,0.0379746835443038,0.03333333333333333,0.03505154639175258,0.034482758620689655
pos_prop_DET,0.06639839034205232,0.05063291139240506,0.045,0.04742268041237113,0.06896551724137931
connectives,15,18,15,14,3
duplicate_ngram_chr_fraction_5,,0.12158522508657175,,,0.08296943231441048
duplicate_ngram_chr_fraction_6,,0.12158522508657175,,,0.08296943231441048
duplicate_ngram_chr_fraction_7,,0.10965756060023085,,,
duplicate_ngram_chr_fraction_8,,0.08695652173913043,,,
duplicate_ngram_chr_fraction_9,,0.06656406310119277,,,
duplicate_ngram_chr_fraction_10,,0.016929588303193535,,,
top_ngram_chr_fraction_3,,0.013466717968449404,0.020011435105774727,,0.04716157205240175
top_ngram_chr_fraction_4,,0.012697191227395151,0.018867924528301886,,
pos_prop_X,,0.026467203682393557,0.035,,
pos_prop_NUM,,0.009205983889528193,0.013333333333333334,0.018556701030927835,
pos_prop_SYM,,,,0.004123711340206186,
