,create,explain,human-cont,continue,human-full
entropy,21.380109667089066,8.710455535024249,24.456590520700544,11.309237485311947,28.280904599648743
perplexity,1928695427.653767,6066.005136543705,41817908623.793015,81571.68517344979,1915317650324.9116
per_word_perplexity,2656605.272250368,20.152840985195034,52142030.70298381,209.1581671114097,2016123842.4472754
flesch_reading_ease,52.27911431355457,53.131432584269675,64.51551351351355,44.9611379310345,65.57057192648924
flesch_kincaid_grade,11.008122467818865,10.586433921883362,9.775807807807805,12.751678160919543,9.558260456273768
smog,13.692823408820608,13.25671669890799,12.340626583579944,15.202697889610203,12.261556223090622
gunning_fog,14.856987537822455,14.220331728196896,13.564684684684686,16.981149425287356,13.430798479087452
automated_readability_index,13.231123134519713,13.208073836276085,12.08846846846847,15.6148275862069,11.705329531051966
coleman_liau_index,13.347090620031796,13.985917602996249,10.854054054054053,14.689655172413794,10.535361216730035
lix,51.92784245345915,54.65195291599785,47.42522522522522,59.694252873563215,46.378010139416986
rix,6.419354838709677,6.785714285714286,5.6,8.466666666666667,5.361111111111111
passed_quality_check,True,True,True,True,True
n_stop_words,282.0,112.0,326.0,162.0,385.0
alpha_ratio,0.871900826446281,0.8970099667774086,0.8403990024937655,0.9076923076923077,0.8410526315789474
mean_word_length,4.650137741046832,4.853820598006645,4.160847880299252,4.971794871794872,4.130526315789473
doc_length,726.0,301.0,802.0,390.0,950.0
duplicate_ngram_chr_fraction_5,0.0245,0.052204176334106726,0.0781288877830306,,0.07100591715976332
top_ngram_chr_fraction_2,0.00525,0.010440835266821345,0.012689723811893506,0.01837270341207349,0.010777683854606932
top_ngram_chr_fraction_3,0.009,0.0382830626450116,0.03135108235879572,0.023622047244094488,0.026627218934911243
top_ngram_chr_fraction_4,0.02175,,0.03309280915650659,,0.028106508875739646
first_order_coherence,0.7526357164606452,0.7718120767520025,0.7367932158040589,0.8677057453564235,0.7239734520869595
second_order_coherence,0.7400368184878908,0.803555965423584,0.7453567521380526,0.8731903525499197,0.6951312782133326
token_length_mean,5.205087440381558,5.329588014981273,4.75975975975976,5.402298850574713,4.7084917617237005
token_length_median,5.0,5.0,4.0,5.0,4.0
token_length_std,2.938842368639715,2.902276166455083,2.568450755148708,2.881609424645466,2.5595451476254807
sentence_length_mean,20.29032258064516,19.071428571428573,22.2,23.2,21.916666666666668
sentence_length_median,22.0,18.5,21.0,23.0,22.0
sentence_length_std,7.234298005879852,4.861867450069039,11.157658057734755,5.062278801751901,11.521417254641703
syllables_per_token_mean,1.5834658187599364,1.5880149812734083,1.4159159159159158,1.6350574712643677,1.4068441064638784
syllables_per_token_median,1.0,1.0,1.0,1.0,1.0
syllables_per_token_std,0.9307227857098975,0.8798230328105482,0.7728416533534506,0.8916153151781727,0.7622286064216708
n_tokens,629,267,666,348,789
n_unique_tokens,304,158,286,196,315
proportion_unique_tokens,0.48330683624801274,0.5917602996254682,0.4294294294294294,0.5632183908045977,0.39923954372623577
n_characters,3376,1461,3337,1939,3924
n_sentences,31,14,30,15,36
pos_prop_NOUN,0.2231404958677686,0.23920265780730898,0.18204488778054864,0.24358974358974358,0.18210526315789474
pos_prop_PUNCT,0.12672176308539945,0.09966777408637874,0.15336658354114713,0.08974358974358974,0.15157894736842106
pos_prop_PROPN,0.08677685950413223,0.08637873754152824,0.08104738154613467,0.046153846153846156,0.08526315789473685
pos_prop_CCONJ,0.028925619834710745,0.036544850498338874,0.0199501246882793,0.03333333333333333,0.021052631578947368
pos_prop_ADP,0.10881542699724518,0.09966777408637874,0.08104738154613467,0.11538461538461539,0.08105263157894736
pos_prop_DET,0.10881542699724518,0.09634551495016612,0.1084788029925187,0.09743589743589744,0.10421052631578948
pos_prop_NUM,0.0013774104683195593,0.0033222591362126247,0.00997506234413965,0.005128205128205128,0.010526315789473684
pos_prop_ADJ,0.06473829201101929,0.059800664451827246,0.04738154613466334,0.08717948717948718,0.049473684210526316
pos_prop_PART,0.030303030303030304,0.03322259136212625,0.032418952618453865,0.028205128205128206,0.030526315789473683
pos_prop_VERB,0.11570247933884298,0.14950166112956811,0.13216957605985039,0.12051282051282051,0.13052631578947368
pos_prop_AUX,0.03305785123966942,0.016611295681063124,0.04114713216957606,0.04358974358974359,0.042105263157894736
pos_prop_SCONJ,0.015151515151515152,0.006644518272425249,0.0199501246882793,0.028205128205128206,0.02
pos_prop_PRON,0.03856749311294766,0.053156146179401995,0.07231920199501247,0.046153846153846156,0.07473684210526316
pos_prop_ADV,0.01790633608815427,0.019933554817275746,0.017456359102244388,0.015384615384615385,0.015789473684210527
dependency_distance_mean,2.7720050607620563,2.768717673521637,3.195914629927275,2.876009081573157,3.1488405598293583
dependency_distance_std,0.6448954817011113,0.6932245979043535,1.177031483998133,0.555275869869708,1.1714968503145393
prop_adjacent_dependency_relation_mean,0.4619202527093371,0.4894820464190402,0.40713695821534995,0.46059778739293467,0.41070994505063385
prop_adjacent_dependency_relation_std,0.06816200973249466,0.06899777500829384,0.1255047407162315,0.0691805352012304,0.1172270440393428
connectives,8,4,12,11,16
duplicate_ngram_chr_fraction_6,,0.052204176334106726,0.05026125901965663,,0.04268808114961961
duplicate_ngram_chr_fraction_7,,0.052204176334106726,0.012938541925852202,,0.01098901098901099
oov_ratio,,0.026578073089700997,0.012468827930174564,0.02564102564102564,0.011578947368421053
pos_prop_SYM,,,0.0012468827930174563,,0.0010526315789473684
