,continue,human-cont,create,explain,human-full
pos_prop_ADP,0.13981042654028436,0.08104738154613467,0.11840228245363767,0.12631578947368421,0.08105263157894736
pos_prop_DET,0.07109004739336493,0.1084788029925187,0.08131241084165478,0.08157894736842106,0.10421052631578948
pos_prop_NOUN,0.24407582938388625,0.18204488778054864,0.21968616262482168,0.24473684210526317,0.18210526315789474
pos_prop_PUNCT,0.07109004739336493,0.15336658354114713,0.0912981455064194,0.08947368421052632,0.15157894736842106
pos_prop_PROPN,0.04265402843601896,0.08104738154613467,0.07417974322396577,0.09210526315789473,0.08526315789473685
pos_prop_PART,0.030805687203791468,0.032418952618453865,0.025677603423680456,0.02368421052631579,0.030526315789473683
pos_prop_AUX,0.04028436018957346,0.04114713216957606,0.04136947218259629,0.021052631578947368,0.042105263157894736
pos_prop_VERB,0.13270142180094788,0.13216957605985039,0.1355206847360913,0.12894736842105264,0.13052631578947368
pos_prop_ADJ,0.08056872037914692,0.04738154613466334,0.06990014265335236,0.060526315789473685,0.049473684210526316
pos_prop_PRON,0.07345971563981042,0.07231920199501247,0.06276747503566334,0.06315789473684211,0.07473684210526316
pos_prop_SCONJ,0.026066350710900472,0.0199501246882793,0.024251069900142655,0.021052631578947368,0.02
pos_prop_CCONJ,0.030805687203791468,0.0199501246882793,0.025677603423680456,0.02894736842105263,0.021052631578947368
pos_prop_ADV,0.016587677725118485,0.017456359102244388,0.02282453637660485,0.015789473684210527,0.015789473684210527
flesch_reading_ease,49.90979166666668,64.51551351351355,46.316139240506345,59.30757105943155,65.57057192648924
flesch_kincaid_grade,11.597708333333333,9.775807807807805,12.406528028933092,9.734844961240313,9.558260456273768
smog,14.232682905230785,12.340626583579944,14.856640023380862,12.838901577100671,12.261556223090622
gunning_fog,15.616666666666669,13.564684684684686,16.496925858951176,13.69095607235142,13.430798479087452
automated_readability_index,14.822760416666668,12.08846846846847,15.410445298372515,12.236921834625328,11.705329531051966
coleman_liau_index,14.754375000000003,10.854054054054053,14.79132911392405,12.751976744186045,10.535361216730035
lix,55.70833333333333,47.42522522522522,58.01446654611212,51.087855297157624,46.378010139416986
rix,7.333333333333333,5.6,8.0,6.111111111111111,5.361111111111111
dependency_distance_mean,2.803832611652611,3.195914629927275,2.8542659732259366,2.6447327183072797,3.1488405598293583
dependency_distance_std,0.49621541099422145,1.177031483998133,0.5003773967056963,0.5487375463190267,1.1714968503145393
prop_adjacent_dependency_relation_mean,0.4826177331906813,0.40713695821534995,0.46300848149130946,0.4820640820275323,0.41070994505063385
prop_adjacent_dependency_relation_std,0.05326914394477737,0.1255047407162315,0.06484400872655911,0.0666233647523477,0.1172270440393428
token_length_mean,5.432291666666667,4.75975975975976,5.425632911392405,5.119186046511628,4.7084917617237005
token_length_median,5.0,4.0,5.0,4.0,4.0
token_length_std,2.8331370566206684,2.568450755148708,2.9280682130344338,2.743975097824271,2.5595451476254807
sentence_length_mean,21.333333333333332,22.2,22.571428571428573,19.11111111111111,21.916666666666668
sentence_length_median,19.5,21.0,23.0,19.0,22.0
sentence_length_std,6.489307444643929,11.157658057734755,7.9121451463131365,6.740333728045823,11.521417254641703
syllables_per_token_mean,1.5989583333333333,1.4159159159159158,1.6265822784810127,1.5145348837209303,1.4068441064638784
syllables_per_token_median,1.0,1.0,1.0,1.0,1.0
syllables_per_token_std,0.8693861330064386,0.7728416533534506,0.934461038836649,0.8351425960636124,0.7622286064216708
n_tokens,384,666,632,344,789
n_unique_tokens,205,286,317,195,315
proportion_unique_tokens,0.5338541666666666,0.4294294294294294,0.5015822784810127,0.5668604651162791,0.39923954372623577
n_characters,2141,3337,3503,1799,3924
n_sentences,18,30,28,18,36
entropy,10.141035666843807,24.456590520700544,16.59237740041324,9.865257372015531,28.280904599648743
perplexity,25362.720216181744,41817908623.793015,16068596.550869323,19249.82737254135,1915317650324.9116
per_word_perplexity,60.10123273976716,52142030.70298381,22922.391656019005,50.65744045405618,2016123842.4472754
passed_quality_check,True,True,True,True,True
n_stop_words,184.0,326.0,288.0,149.0,385.0
alpha_ratio,0.9265402843601895,0.8403990024937655,0.9029957203994294,0.9078947368421053,0.8410526315789474
mean_word_length,5.07345971563981,4.160847880299252,4.997146932952925,4.734210526315789,4.130526315789473
doc_length,422.0,802.0,701.0,380.0,950.0
top_ngram_chr_fraction_2,0.0297029702970297,0.012689723811893506,0.00726920281075842,0.02806361085126286,0.010777683854606932
top_ngram_chr_fraction_3,0.026138613861386138,0.03135108235879572,0.015992246183668523,,0.026627218934911243
oov_ratio,0.02132701421800948,0.012468827930174564,,0.02368421052631579,0.011578947368421053
first_order_coherence,0.8610553601208855,0.7367932158040589,0.7882188492351108,0.7954545266488019,0.7239734520869595
second_order_coherence,0.8448805809020996,0.7453567521380526,0.7598021236749796,0.7807341776788235,0.6951312782133326
connectives,9,12,13,9,16
pos_prop_NUM,,0.00997506234413965,0.005706134094151213,0.002631578947368421,0.010526315789473684
pos_prop_SYM,,0.0012468827930174563,0.0014265335235378032,,0.0010526315789473684
duplicate_ngram_chr_fraction_5,,0.0781288877830306,0.0726920281075842,,0.07100591715976332
duplicate_ngram_chr_fraction_6,,0.05026125901965663,0.01938454082868912,,0.04268808114961961
duplicate_ngram_chr_fraction_7,,0.012938541925852202,0.01938454082868912,,0.01098901098901099
top_ngram_chr_fraction_4,,0.03309280915650659,,,0.028106508875739646
duplicate_ngram_chr_fraction_8,,,0.01938454082868912,,
