,create,explain,human-cont,continue,human-full
pos_prop_NOUN,0.30493273542600896,0.3056379821958457,0.27879799666110183,0.3100511073253833,0.29988465974625145
pos_prop_PUNCT,0.1210762331838565,0.14836795252225518,0.1302170283806344,0.12947189097103917,0.13494809688581316
pos_prop_ADJ,0.10089686098654709,0.12462908011869436,0.09682804674457429,0.11073253833049404,0.09919261822376009
pos_prop_PROPN,0.03139013452914798,0.03857566765578635,0.06343906510851419,0.018739352640545145,0.05536332179930796
pos_prop_AUX,0.02914798206278027,0.032640949554896145,0.04340567612687813,0.027257240204429302,0.03806228373702422
pos_prop_DET,0.08071748878923767,0.06231454005934718,0.045075125208681135,0.09028960817717206,0.05074971164936563
pos_prop_ADP,0.13004484304932734,0.10979228486646884,0.12020033388981637,0.11925042589437819,0.11880046136101499
pos_prop_ADV,0.02242152466367713,0.011869436201780416,0.03005008347245409,0.017035775127768313,0.02191464821222607
pos_prop_CCONJ,0.042600896860986545,0.04747774480712166,0.0333889816360601,0.03236797274275979,0.03806228373702422
pos_prop_PRON,0.017937219730941704,0.008902077151335312,0.008347245409015025,0.01192504258943782,0.006920415224913495
pos_prop_VERB,0.08295964125560538,0.09792284866468842,0.08514190317195326,0.10732538330494037,0.08765859284890427
pos_prop_PART,0.020179372197309416,0.008902077151335312,0.011686143572621035,0.020442930153321975,0.011534025374855825
pos_prop_NUM,0.013452914798206279,,0.01335559265442404,0.0017035775127768314,0.00922722029988466
pos_prop_SCONJ,0.002242152466367713,0.002967359050445104,0.005008347245409015,0.0034071550255536627,0.0034602076124567475
dependency_distance_mean,3.0191024087342297,2.7707528363205722,2.6690379659498595,2.7739057748031875,2.706079224687429
dependency_distance_std,0.4809466366479576,0.6018538517807499,1.0253557840705299,0.5666411421997289,0.9380093050619777
prop_adjacent_dependency_relation_mean,0.46002772493444966,0.48230169396333367,0.470340839336692,0.4750581856896637,0.47544226806044587
prop_adjacent_dependency_relation_std,0.05130390291352859,0.06648430471344433,0.06436815780924443,0.055868976781657614,0.06641668609942078
entropy,12.739420765866559,9.13545248809577,14.865232429066335,17.8477014677047,21.93383822749832
perplexity,340926.01430129196,9278.475071593102,2856856.4332245346,56384308.95284208,3355404704.937616
per_word_perplexity,764.408103814556,27.532566978021077,4769.376349289707,96055.04080552314,3870132.300966108
first_order_coherence,0.8504248490700355,0.8561427841583887,0.5552703196715031,0.8691320782122405,0.6369857750833035
second_order_coherence,0.8335945457220078,0.840339866551486,0.6377142195900282,0.8743991499597376,0.6903685921509015
passed_quality_check,True,True,True,True,True
n_stop_words,154.0,102.0,174.0,188.0,253.0
alpha_ratio,0.8587443946188341,0.8516320474777448,0.8180300500834724,0.8705281090289608,0.8292964244521338
mean_word_length,5.278026905829597,5.335311572700297,5.023372287145242,5.468483816013628,5.155709342560554
doc_length,446.0,337.0,599.0,587.0,867.0
duplicate_ngram_chr_fraction_5,0.018261504747991233,0.029793368572801536,,0.10393107162089392,0.12193710206444144
top_ngram_chr_fraction_2,0.009130752373995616,0.012013455069678039,0.016013726050900772,0.024232633279483037,0.010804553347482154
top_ngram_chr_fraction_3,0.014243973703433162,0.02739067755886593,0.020017157563625966,0.026925148088314487,0.013505691684352691
oov_ratio,0.02466367713004484,0.02373887240356083,0.015025041736227046,0.0068143100511073255,0.016147635524798153
flesch_reading_ease,25.52607326478153,32.9133342267489,42.36877263581488,27.078286263916198,37.2747334710744
flesch_kincaid_grade,16.60169849430775,14.153101045296168,11.607273988760152,14.751191060903732,12.569216253443525
smog,17.122413403193683,14.554592549557764,13.304227280403612,16.577330227431414,14.191785591663535
gunning_fog,19.751817847961807,16.078155990351114,14.259598973149242,18.93519973804846,15.524462809917356
automated_readability_index,20.274862284245316,18.29515143393192,14.688200929716231,18.137427963326786,15.729834710743802
coleman_liau_index,17.85542416452442,18.671916376306623,16.86551307847083,18.962278978388998,17.63046831955923
lix,68.14561145795079,66.32779415706244,55.97092902241032,67.37729207596595,59.61005509641873
rix,11.214285714285714,9.76923076923077,6.655172413793103,9.791666666666666,7.525
token_length_mean,5.904884318766067,6.090592334494773,5.849094567404427,6.149312377210216,5.962809917355372
token_length_median,5.0,6.0,5.0,6.0,6.0
token_length_std,3.417586724957769,3.2242788672197347,4.073687983613582,3.446661281138582,3.8747604329692953
sentence_length_mean,27.785714285714285,22.076923076923077,17.137931034482758,21.208333333333332,18.15
sentence_length_median,27.0,21.0,18.0,20.0,18.0
sentence_length_std,6.4827085546152405,8.398365577819188,9.069555507228126,4.9998263858747025,8.46625655174706
syllables_per_token_mean,1.8097686375321336,1.7909407665505226,1.738430583501006,1.8703339882121808,1.7865013774104683
syllables_per_token_median,1.0,2.0,1.0,2.0,1.0
syllables_per_token_std,1.075459941275773,0.9544621887021665,1.009009690260953,1.0408569493649282,1.0095328772077667
n_tokens,389,287,497,509,726
n_unique_tokens,218,154,264,228,324
proportion_unique_tokens,0.5604113110539846,0.5365853658536586,0.5311871227364185,0.44793713163064836,0.4462809917355372
n_characters,2354,1798,3009,3210,4470
n_sentences,14,13,29,24,40
connectives,9,5,15,8,18
duplicate_ngram_chr_fraction_6,,0.029793368572801536,,0.030156165858912225,0.12193710206444144
duplicate_ngram_chr_fraction_7,,0.029793368572801536,,0.030156165858912225,0.10997491800115763
duplicate_ngram_chr_fraction_8,,0.029793368572801536,,0.030156165858912225,0.08720818059039166
duplicate_ngram_chr_fraction_9,,0.029793368572801536,,0.030156165858912225,0.06675670461122901
pos_prop_X,,,0.035058430717863104,,0.02422145328719723
top_ngram_chr_fraction_4,,,0.018873319988561624,0.022617124394184167,0.012733937873818251
duplicate_ngram_chr_fraction_10,,,,0.030156165858912225,0.016978583831757668
