,continue,human-cont,create,explain,human-full
pos_prop_ADJ,0.11086474501108648,0.09682804674457429,0.10198675496688742,0.09259259259259259,0.09919261822376009
pos_prop_NOUN,0.31263858093126384,0.27879799666110183,0.30066225165562915,0.31851851851851853,0.29988465974625145
pos_prop_AUX,0.03547671840354767,0.04340567612687813,0.030463576158940398,0.022222222222222223,0.03806228373702422
pos_prop_VERB,0.09534368070953436,0.08514190317195326,0.08741721854304636,0.11666666666666667,0.08765859284890427
pos_prop_DET,0.082039911308204,0.045075125208681135,0.07417218543046358,0.08518518518518518,0.05074971164936563
pos_prop_ADP,0.11529933481152993,0.12020033388981637,0.1390728476821192,0.11851851851851852,0.11880046136101499
pos_prop_PUNCT,0.13082039911308205,0.1302170283806344,0.12450331125827814,0.11481481481481481,0.13494809688581316
pos_prop_PROPN,0.024390243902439025,0.06343906510851419,0.031788079470198675,0.03333333333333333,0.05536332179930796
pos_prop_PRON,0.008869179600886918,0.008347245409015025,0.010596026490066225,0.012962962962962963,0.006920415224913495
pos_prop_PART,0.024390243902439025,0.011686143572621035,0.01456953642384106,0.012962962962962963,0.011534025374855825
pos_prop_CCONJ,0.037694013303769404,0.0333889816360601,0.038410596026490065,0.046296296296296294,0.03806228373702422
pos_prop_SCONJ,0.0066518847006651885,0.005008347245409015,0.006622516556291391,0.001851851851851852,0.0034602076124567475
pos_prop_ADV,0.015521064301552107,0.03005008347245409,0.030463576158940398,0.020370370370370372,0.02191464821222607
n_stop_words,154.0,174.0,256.0,177.0,253.0
alpha_ratio,0.8691796008869179,0.8180300500834724,0.8635761589403973,0.8759259259259259,0.8292964244521338
mean_word_length,5.370288248337029,5.023372287145242,5.364238410596027,5.564814814814815,5.155709342560554
doc_length,451.0,599.0,755.0,540.0,867.0
duplicate_ngram_chr_fraction_5,0.15409252669039145,,0.14762816422037864,0.15223021582733812,0.12193710206444144
duplicate_ngram_chr_fraction_6,0.13736654804270462,,0.14762816422037864,0.08460431654676259,0.12193710206444144
duplicate_ngram_chr_fraction_7,0.09537366548042704,,0.14762816422037864,0.03280575539568345,0.10997491800115763
duplicate_ngram_chr_fraction_8,0.09537366548042704,,0.14762816422037864,,0.08720818059039166
duplicate_ngram_chr_fraction_9,0.060498220640569395,,0.12890874282067646,,0.06675670461122901
duplicate_ngram_chr_fraction_10,0.060498220640569395,,0.12890874282067646,,0.016978583831757668
top_ngram_chr_fraction_2,0.023131672597864767,0.016013726050900772,0.007445224420336099,0.017266187050359712,0.010804553347482154
top_ngram_chr_fraction_3,0.010676156583629894,0.020017157563625966,0.008508827908955541,0.01870503597122302,0.013505691684352691
top_ngram_chr_fraction_4,0.02882562277580071,0.018873319988561624,,0.03366906474820144,0.012733937873818251
oov_ratio,0.008869179600886918,0.015025041736227046,0.025165562913907286,0.024074074074074074,0.016147635524798153
first_order_coherence,0.8566031315747429,0.5552703196715031,0.8541788986096015,0.8354056192481,0.6369857750833035
second_order_coherence,0.8448309861123562,0.6377142195900282,0.8343913722038269,0.832269164648923,0.6903685921509015
flesch_reading_ease,32.58004535147393,42.36877263581488,28.199074074074105,30.260901898734204,37.2747334710744
flesch_kincaid_grade,14.125272108843543,11.607273988760152,15.380401891252955,13.944989451476793,12.569216253443525
smog,15.470042427545799,13.304227280403612,16.77252519718238,15.247664890283005,14.191785591663535
gunning_fog,17.28253968253968,14.259598973149242,19.109850275807727,17.013924050632912,15.524462809917356
automated_readability_index,17.851057256235826,14.688200929716231,19.050975458741412,17.639050632911392,15.729834710743802
coleman_liau_index,18.285816326530604,16.86551307847083,18.310091185410332,19.147341772151893,17.63046831955923
lix,66.42063492063492,55.97092902241032,67.22751322751323,66.58544303797468,59.61005509641873
rix,9.722222222222221,6.655172413793103,10.444444444444445,9.25,7.525
entropy,13.322921345538788,14.865232429066335,21.6059719448115,14.83153605229533,21.93383822749832
perplexity,611042.2260713187,2856856.4332245346,2417432696.575945,2762194.5603202768,3355404704.937616
