,continue,human-cont,create,human-full,explain
dependency_distance_mean,2.953389090806854,2.6690379659498595,2.8260568043815533,2.706079224687429,2.6559864621270646
dependency_distance_std,0.46832541174421016,1.0253557840705299,0.5071726542456422,0.9380093050619777,0.4376081385732077
prop_adjacent_dependency_relation_mean,0.4755273159467238,0.470340839336692,0.5017403074309871,0.47544226806044587,0.4843884921072869
prop_adjacent_dependency_relation_std,0.0765579258487413,0.06436815780924443,0.07222631932487784,0.06641668609942078,0.0794259754940479
flesch_reading_ease,21.9365773809524,42.36877263581488,18.187606689734736,37.2747334710744,39.8166968325792
flesch_kincaid_grade,16.068723544973547,11.607273988760152,17.560202669303013,12.569216253443525,12.835002513826044
smog,16.827784334635936,13.304227280403612,18.548980349730343,14.191785591663535,13.589731490329378
gunning_fog,19.185449735449737,14.259598973149242,21.59775910364146,15.524462809917356,14.754550025138261
automated_readability_index,20.760753968253965,14.688200929716231,22.140174658098537,15.729834710743802,16.3215635997989
coleman_liau_index,20.871534391534386,16.86551307847083,20.337439446366783,17.63046831955923,17.007749287749288
lix,73.88955026455027,55.97092902241032,77.00477838194101,59.61005509641873,62.24250041897101
rix,11.875,6.655172413793103,13.619047619047619,7.525,8.588235294117647
passed_quality_check,True,True,True,True,True
n_stop_words,137.0,174.0,199.0,253.0,135.0
alpha_ratio,0.8873239436619719,0.8180300500834724,0.8846153846153846,0.8292964244521338,0.871536523929471
mean_word_length,5.835680751173709,5.023372287145242,5.7384615384615385,5.155709342560554,5.26448362720403
doc_length,426.0,599.0,650.0,867.0,397.0
top_ngram_chr_fraction_2,0.00944386149003148,0.016013726050900772,0.008370146477563357,0.010804553347482154,0.01642710472279261
oov_ratio,0.011737089201877934,0.015025041736227046,0.015384615384615385,0.016147635524798153,0.015113350125944584
first_order_coherence,0.852536125977834,0.5552703196715031,0.860052639245987,0.6369857750833035,0.8269034959375858
second_order_coherence,0.8546440047877175,0.6377142195900282,0.857521515143545,0.6903685921509015,0.8050691604614257
token_length_mean,6.449735449735449,5.849094567404427,6.328719723183391,5.962809917355372,5.823361823361823
token_length_median,7.0,5.0,6.0,6.0,5.0
token_length_std,3.2184755065244497,4.073687983613582,3.3211973214623223,3.8747604329692953,3.2030293856210923
sentence_length_mean,23.625,17.137931034482758,27.523809523809526,18.15,20.647058823529413
sentence_length_median,22.0,18.0,25.0,18.0,20.0
sentence_length_std,10.367467144871982,9.069555507228126,10.074101862929082,8.46625655174706,5.212441862794287
syllables_per_token_mean,1.902116402116402,1.738430583501006,1.8996539792387543,1.7865013774104683,1.7264957264957266
syllables_per_token_median,2.0,1.0,2.0,1.0,1.0
syllables_per_token_std,0.9885298619858931,1.009009690260953,1.0573354991573314,1.0095328772077667,0.9241051569761032
n_tokens,378,497,578,726,351
n_unique_tokens,229,264,306,324,203
proportion_unique_tokens,0.6058201058201058,0.5311871227364185,0.5294117647058824,0.4462809917355372,0.5783475783475783
n_characters,2486,3009,3730,4470,2090
n_sentences,16,29,21,40,17
entropy,9.560465002647321,14.865232429066335,14.056521271796754,21.93383822749832,9.782549278514708
perplexity,14192.444189557364,2856856.4332245346,1272534.6689584628,3355404704.937616,17721.77305188117
per_word_perplexity,33.315596689101795,4769.376349289707,1957.7456445514813,3870132.300966108,44.63922683093494
pos_prop_ADJ,0.11267605633802817,0.09682804674457429,0.1123076923076923,0.09919261822376009,0.0982367758186398
pos_prop_NOUN,0.29577464788732394,0.27879799666110183,0.32,0.29988465974625145,0.29219143576826195
pos_prop_AUX,0.046948356807511735,0.04340567612687813,0.023076923076923078,0.03806228373702422,0.04785894206549118
pos_prop_VERB,0.13849765258215962,0.08514190317195326,0.1123076923076923,0.08765859284890427,0.11838790931989925
pos_prop_DET,0.06103286384976526,0.045075125208681135,0.05076923076923077,0.05074971164936563,0.07304785894206549
pos_prop_ADP,0.1056338028169014,0.12020033388981637,0.14,0.11880046136101499,0.12090680100755667
pos_prop_PUNCT,0.11267605633802817,0.1302170283806344,0.10615384615384615,0.13494809688581316,0.10327455919395466
pos_prop_PROPN,0.023474178403755867,0.06343906510851419,0.03076923076923077,0.05536332179930796,0.037783375314861464
pos_prop_PART,0.011737089201877934,0.011686143572621035,0.013846153846153847,0.011534025374855825,0.007556675062972292
pos_prop_CCONJ,0.035211267605633804,0.0333889816360601,0.033846153846153845,0.03806228373702422,0.03526448362720403
pos_prop_SCONJ,0.01643192488262911,0.005008347245409015,0.006153846153846154,0.0034602076124567475,0.020151133501259445
pos_prop_ADV,0.023474178403755867,0.03005008347245409,0.03538461538461538,0.02191464821222607,0.015113350125944584
pos_prop_PRON,0.01643192488262911,0.008347245409015025,0.009230769230769232,0.006920415224913495,0.012594458438287154
connectives,11,15,20,18,7
top_ngram_chr_fraction_3,,0.020017157563625966,0.006975122064636131,0.013505691684352691,
top_ngram_chr_fraction_4,,0.018873319988561624,,0.012733937873818251,
pos_prop_X,,0.035058430717863104,,0.02422145328719723,
pos_prop_NUM,,0.01335559265442404,0.006153846153846154,0.00922722029988466,0.012594458438287154
duplicate_ngram_chr_fraction_5,,,,0.12193710206444144,
duplicate_ngram_chr_fraction_6,,,,0.12193710206444144,
duplicate_ngram_chr_fraction_7,,,,0.10997491800115763,
duplicate_ngram_chr_fraction_8,,,,0.08720818059039166,
duplicate_ngram_chr_fraction_9,,,,0.06675670461122901,
duplicate_ngram_chr_fraction_10,,,,0.016978583831757668,
pos_prop_SYM,,,,,0.005037783375314861
