,human-cont,continue,create,explain,human-full
token_length_mean,5.224256292906179,6.1,5.737609329446064,5.3150105708245245,5.195211786372007
token_length_median,4.0,6.0,5.0,5.0,4.0
token_length_std,2.9827969317646503,3.3133420128501143,3.4321345599297213,2.897131126321656,2.9530729852876423
sentence_length_mean,19.0,20.0,17.15,19.708333333333332,17.516129032258064
sentence_length_median,19.0,20.0,18.5,19.0,17.0
sentence_length_std,8.622518546628735,5.434097143473411,6.5595350444982,6.846405180011542,8.605590709952551
syllables_per_token_mean,1.562929061784897,1.8323529411764705,1.749271137026239,1.5835095137420718,1.561694290976059
syllables_per_token_median,1.0,1.0,1.0,1.0,1.0
syllables_per_token_std,0.9561548791187057,1.0619683689305424,1.0222557201544549,0.9137791497271563,0.9339940189060666
n_tokens,437,340,343,473,543
n_unique_tokens,222,205,177,253,267
proportion_unique_tokens,0.5080091533180778,0.6029411764705882,0.5160349854227405,0.5348837209302325,0.49171270718232046
n_characters,2316,2138,2032,2594,2868
n_sentences,23,17,20,24,31
passed_quality_check,True,True,True,True,True
n_stop_words,196.0,139.0,140.0,210.0,244.0
alpha_ratio,0.9230769230769231,0.8621553884711779,0.8395061728395061,0.8496376811594203,0.9148211243611585
mean_word_length,4.948717948717949,5.358395989974937,5.017283950617284,4.699275362318841,4.885860306643952
doc_length,468.0,399.0,405.0,552.0,587.0
duplicate_ngram_chr_fraction_5,0.06254545454545454,,0.05593220338983051,0.031423895253682485,0.059324522760646106
duplicate_ngram_chr_fraction_6,0.06254545454545454,,0.04152542372881356,,0.05051395007342144
duplicate_ngram_chr_fraction_7,0.06254545454545454,,0.02457627118644068,,0.05051395007342144
duplicate_ngram_chr_fraction_8,0.06254545454545454,,0.02457627118644068,,0.05051395007342144
duplicate_ngram_chr_fraction_9,0.06254545454545454,,,,0.05051395007342144
duplicate_ngram_chr_fraction_10,0.06254545454545454,,,,0.05051395007342144
top_ngram_chr_fraction_2,0.012727272727272728,0.02674230145867099,0.014830508474576272,0.009819967266775777,0.007342143906020558
top_ngram_chr_fraction_3,0.009818181818181818,,0.022033898305084745,0.024877250409165302,0.007929515418502203
oov_ratio,0.017094017094017096,0.005012531328320802,,0.0036231884057971015,0.013628620102214651
pos_prop_ADP,0.1282051282051282,0.09774436090225563,0.10123456790123457,0.10144927536231885,0.131175468483816
pos_prop_DET,0.06623931623931624,0.07017543859649122,0.08395061728395062,0.08876811594202899,0.06814310051107325
pos_prop_NOUN,0.23931623931623933,0.2781954887218045,0.24444444444444444,0.2554347826086957,0.2402044293015332
pos_prop_NUM,0.014957264957264958,,0.014814814814814815,0.014492753623188406,0.015332197614991482
pos_prop_PRON,0.07692307692307693,0.042606516290726815,0.04938271604938271,0.03804347826086957,0.07325383304940375
pos_prop_VERB,0.0876068376068376,0.10776942355889724,0.08641975308641975,0.07608695652173914,0.0919931856899489
pos_prop_PROPN,0.03632478632478633,0.020050125313283207,0.03950617283950617,0.025362318840579712,0.03236797274275979
pos_prop_PART,0.008547008547008548,0.022556390977443608,0.009876543209876543,0.007246376811594203,0.008517887563884156
pos_prop_PUNCT,0.06196581196581197,0.13283208020050125,0.14074074074074075,0.13405797101449277,0.06473594548551959
pos_prop_AUX,0.03632478632478633,0.042606516290726815,0.024691358024691357,0.03804347826086957,0.04088586030664395
pos_prop_ADJ,0.15598290598290598,0.11528822055137844,0.1506172839506173,0.14855072463768115,0.15502555366269166
pos_prop_SCONJ,0.010683760683760684,0.010025062656641603,,0.012681159420289856,0.010221465076660987
pos_prop_CCONJ,0.038461538461538464,0.042606516290726815,0.0345679012345679,0.03260869565217391,0.03747870528109029
pos_prop_ADV,0.038461538461538464,0.017543859649122806,0.019753086419753086,0.02717391304347826,0.030664395229982964
entropy,10.914833549318022,11.436952834426492,10.7218058691246,15.123326481337253,14.064108680104653
perplexity,54985.98146753006,92684.15733621483,45333.69568749308,3698087.977975466,1282226.631018388
per_word_perplexity,117.49141339215825,232.29112114339557,111.93505108022981,6699.434742709177,2184.3724548865216
first_order_coherence,0.7994919283823534,0.8462428487837315,0.7965172591962313,0.8124957913937776,0.7976052284240722
second_order_coherence,0.7615506138120379,0.8661398847897848,0.7713597549332513,0.7808695083314722,0.7591285212286587
flesch_reading_ease,55.32620137299773,31.51794117647063,41.4394118075802,52.86613680408743,56.936792015683494
flesch_kincaid_grade,10.262562929061787,13.831764705882353,11.73989941690962,10.781662262156448,9.669282956098144
smog,12.200932325342574,15.365897591450043,13.348371206891418,12.457975602129121,11.77466266942573
gunning_fog,12.908924485125858,17.176470588235293,14.323556851311952,13.295595489781537,12.236654191172102
automated_readability_index,12.676247139588106,17.300999999999995,14.169139941690965,13.457866455250176,11.797512029941181
coleman_liau_index,13.360732265446224,18.588000000000005,16.211195335276965,13.950359408033826,13.05797421731123
lix,50.121281464530895,65.88235294117646,59.715597667638484,54.592054263565885,49.19200380205549
rix,5.913043478260869,9.176470588235293,7.3,6.875,5.548387096774194
dependency_distance_mean,2.5836353926576487,2.8971585572123537,2.7416708686505684,2.971881862007527,2.5023238904694356
dependency_distance_std,0.5360999723482944,0.468189746760325,0.5366628710168462,0.8360267813353597,0.6362324304350659
prop_adjacent_dependency_relation_mean,0.4592047696167487,0.4499019431310639,0.4407147219823805,0.450058728690008,0.4719656237483654
prop_adjacent_dependency_relation_std,0.08634546867930762,0.05763463912513967,0.08524314481608712,0.09212518685728267,0.09185500299618148
connectives,13,7,9,14,15
