,continue,human-cont,create,explain,human-full
token_length_mean,6.254189944134078,5.849094567404427,6.244122965641953,6.233576642335766,5.962809917355372
token_length_median,6.0,5.0,6.0,6.0,6.0
token_length_std,3.223460056347984,4.073687983613582,3.4436941873176727,3.2884730637244517,3.8747604329692953
sentence_length_mean,22.375,17.137931034482758,22.12,19.571428571428573,18.15
sentence_length_median,22.0,18.0,22.0,19.0,18.0
sentence_length_std,5.8723398232731725,9.069555507228126,6.1078310389204455,5.374733026117745,8.46625655174706
syllables_per_token_mean,1.8519553072625698,1.738430583501006,1.8589511754068717,1.8412408759124088,1.7865013774104683
syllables_per_token_median,2.0,1.0,2.0,2.0,1.0
syllables_per_token_std,0.9818942348875221,1.009009690260953,1.0579913683060043,1.0191487397125245,1.0095328772077667
n_tokens,358,497,553,548,726
n_unique_tokens,214,264,283,278,324
proportion_unique_tokens,0.5977653631284916,0.5311871227364185,0.5117540687160941,0.5072992700729927,0.4462809917355372
n_characters,2288,3009,3529,3490,4470
n_sentences,16,29,25,28,40
pos_prop_ADJ,0.0960591133004926,0.09682804674457429,0.1192368839427663,0.10289389067524116,0.09919261822376009
pos_prop_NOUN,0.3078817733990148,0.27879799666110183,0.287758346581876,0.3183279742765273,0.29988465974625145
pos_prop_AUX,0.03940886699507389,0.04340567612687813,0.030206677265500796,0.03054662379421222,0.03806228373702422
pos_prop_VERB,0.1354679802955665,0.08514190317195326,0.11446740858505565,0.11736334405144695,0.08765859284890427
pos_prop_DET,0.07142857142857142,0.045075125208681135,0.05405405405405406,0.06109324758842444,0.05074971164936563
pos_prop_ADP,0.09113300492610837,0.12020033388981637,0.1287758346581876,0.11254019292604502,0.11880046136101499
pos_prop_PUNCT,0.11576354679802955,0.1302170283806344,0.1192368839427663,0.11414790996784566,0.13494809688581316
pos_prop_PROPN,0.022167487684729065,0.06343906510851419,0.030206677265500796,0.03536977491961415,0.05536332179930796
pos_prop_PRON,0.027093596059113302,0.008347245409015025,0.014308426073131956,0.012861736334405145,0.006920415224913495
pos_prop_PART,0.022167487684729065,0.011686143572621035,0.011128775834658187,0.012861736334405145,0.011534025374855825
pos_prop_CCONJ,0.04187192118226601,0.0333889816360601,0.03656597774244833,0.04340836012861737,0.03806228373702422
pos_prop_SCONJ,0.007389162561576354,0.005008347245409015,0.0047694753577106515,0.008038585209003215,0.0034602076124567475
pos_prop_ADV,0.019704433497536946,0.03005008347245409,0.0397456279809221,0.027331189710610933,0.02191464821222607
pos_prop_NUM,0.0024630541871921183,0.01335559265442404,0.009538950715421303,0.003215434083601286,0.00922722029988466
flesch_reading_ease,27.44895600558661,42.36877263581488,27.115930560578676,31.20102189781022,37.2747334710744
flesch_kincaid_grade,14.989322625698325,11.607273988760152,14.972423869801087,13.769499478623569,12.569216253443525
smog,16.218646115125612,13.304227280403612,16.00497618766195,14.955608360458719,14.191785591663535
gunning_fog,18.335474860335193,14.259598973149242,18.03425678119349,16.587695516162672,15.524462809917356
automated_readability_index,19.214734636871505,14.688200929716231,19.0398191681736,17.715860271115744,15.729834710743802
coleman_liau_index,19.651731843575416,16.86551307847083,19.577287522603978,19.34102189781022,17.63046831955923
lix,70.14036312849163,55.97092902241032,66.60462929475588,65.73931178310741,59.61005509641873
rix,10.6875,6.655172413793103,9.84,9.035714285714286,7.525
entropy,10.16733951453784,14.865232429066335,15.142890752170198,15.430989646489127,21.93383822749832
perplexity,26038.708922334543,2856856.4332245346,3771150.7522441223,5030297.303984325,3355404704.937616
per_word_perplexity,64.13475104023287,4769.376349289707,5995.470194346776,8087.29470093943,3870132.300966108
first_order_coherence,0.840822434425354,0.5552703196715031,0.8401356488466263,0.8363262790220755,0.6369857750833035
second_order_coherence,0.8293431614126477,0.6377142195900282,0.8327549281327621,0.8214349975952735,0.6903685921509015
passed_quality_check,True,True,True,True,True
n_stop_words,136.0,174.0,198.0,194.0,253.0
alpha_ratio,0.8842364532019704,0.8180300500834724,0.8728139904610492,0.8778135048231511,0.8292964244521338
mean_word_length,5.635467980295567,5.023372287145242,5.610492845786964,5.610932475884244,5.155709342560554
doc_length,406.0,599.0,629.0,622.0,867.0
top_ngram_chr_fraction_2,0.026106696935300794,0.016013726050900772,0.0049079754601227,0.013640873015873016,0.010804553347482154
oov_ratio,0.009852216748768473,0.015025041736227046,0.02702702702702703,0.00964630225080386,0.016147635524798153
dependency_distance_mean,2.6880978629004946,2.6690379659498595,2.813080129910326,2.5839887657267187,2.706079224687429
dependency_distance_std,0.3871860383405514,1.0253557840705299,0.5345350612282608,0.3861678698980298,0.9380093050619777
prop_adjacent_dependency_relation_mean,0.48025714513378986,0.470340839336692,0.487608623477816,0.5096316088934288,0.47544226806044587
prop_adjacent_dependency_relation_std,0.053621047516854654,0.06436815780924443,0.06866269401486448,0.058650612908672184,0.06641668609942078
connectives,8,15,15,13,18
pos_prop_X,,0.035058430717863104,,,0.02422145328719723
top_ngram_chr_fraction_3,,0.020017157563625966,0.016932515337423314,0.026785714285714284,0.013505691684352691
top_ngram_chr_fraction_4,,0.018873319988561624,,,0.012733937873818251
duplicate_ngram_chr_fraction_5,,,0.040736196319018404,0.009424603174603174,0.12193710206444144
duplicate_ngram_chr_fraction_6,,,0.040736196319018404,,0.12193710206444144
duplicate_ngram_chr_fraction_7,,,0.040736196319018404,,0.10997491800115763
duplicate_ngram_chr_fraction_8,,,0.022085889570552148,,0.08720818059039166
duplicate_ngram_chr_fraction_9,,,,,0.06675670461122901
duplicate_ngram_chr_fraction_10,,,,,0.016978583831757668
