,human-full,continue,human-cont,create,explain
entropy,13.919844315878898,11.768708944302823,10.914833549318022,16.708225906669064,15.66643502586253
perplexity,1109970.8546579648,129147.30670542008,54985.98146753006,18042234.104954734,6365701.690107764
per_word_perplexity,1897.3860763384014,319.67155125103983,117.49141339215825,29147.38950719666,11876.30912333538
flesch_reading_ease,56.29032226322266,36.13093681278406,55.32620137299773,43.4890501253133,51.74473684210528
flesch_kincaid_grade,9.896221402214024,12.913766309925233,10.262562929061787,11.598932330827068,10.762105263157899
smog,11.917574213422942,13.856773240637725,12.200932325342574,13.401458687273337,12.311054993355175
gunning_fog,12.466519065190653,15.02307579533793,12.908924485125858,14.386566416040104,13.038596491228072
automated_readability_index,12.126617466174665,15.923134437765725,12.676247139588106,14.4306328320802,13.706447368421053
coleman_liau_index,13.17667896678967,17.471197771587743,13.360732265446224,16.2303007518797,14.646842105263154
lix,49.80098400984009,62.627327371353175,50.121281464530895,58.52280701754386,55.18421052631579
rix,5.733333333333333,8.263157894736842,5.913043478260869,7.233333333333333,6.875
passed_quality_check,True,True,True,True,True
n_stop_words,243.0,150.0,196.0,210.0,199.0
alpha_ratio,0.9162393162393162,0.8886138613861386,0.9230769230769231,0.8481421647819063,0.8488805970149254
mean_word_length,4.902564102564103,5.378712871287129,4.948717948717949,5.0678513731825525,4.7835820895522385
doc_length,585.0,404.0,468.0,619.0,536.0
duplicate_ngram_chr_fraction_5,0.05052878965922444,0.017425742574257427,0.06254545454545454,0.0668859649122807,0.03652058432934927
duplicate_ngram_chr_fraction_6,0.05052878965922444,,0.06254545454545454,0.0537280701754386,0.02390438247011952
duplicate_ngram_chr_fraction_7,0.05052878965922444,,0.06254545454545454,0.03892543859649123,
duplicate_ngram_chr_fraction_8,0.05052878965922444,,0.06254545454545454,0.03892543859649123,
duplicate_ngram_chr_fraction_9,0.05052878965922444,,0.06254545454545454,0.023026315789473683,
duplicate_ngram_chr_fraction_10,0.05052878965922444,,0.06254545454545454,,
top_ngram_chr_fraction_2,0.007344300822561692,0.013861386138613862,0.012727272727272728,0.012335526315789474,0.013280212483399735
top_ngram_chr_fraction_3,0.007931844888366627,0.020594059405940595,0.009818181818181818,0.02138157894736842,0.014940239043824702
oov_ratio,0.015384615384615385,,0.017094017094017096,0.004846526655896607,0.007462686567164179
token_length_mean,5.206642066420664,5.924791086350975,5.224256292906179,5.731203007518797,5.442982456140351
token_length_median,4.0,6.0,4.0,5.0,5.0
token_length_std,2.9512821932273225,3.214248119400271,2.9827969317646503,3.2957485800875115,3.042288764978889
sentence_length_mean,18.066666666666666,18.894736842105264,19.0,17.733333333333334,19.0
sentence_length_median,17.5,19.0,19.0,18.0,18.5
sentence_length_std,9.608792270045642,4.241334656401217,8.622518546628735,5.359933664597808,6.825198409814424
syllables_per_token_mean,1.562730627306273,1.7910863509749304,1.562929061784897,1.718045112781955,1.605263157894737
syllables_per_token_median,1.0,1.0,1.0,1.0,1.0
syllables_per_token_std,0.9345432796080085,1.0333323279876618,0.9561548791187057,1.0384585588341813,0.9585114652384374
n_tokens,542,359,437,532,456
n_unique_tokens,268,195,222,264,227
proportion_unique_tokens,0.4944649446494465,0.5431754874651811,0.5080091533180778,0.49624060150375937,0.49780701754385964
n_characters,2868,2173,2316,3137,2564
n_sentences,30,19,23,30,24
pos_prop_DET,0.06837606837606838,0.09405940594059406,0.06623931623931624,0.0840064620355412,0.0914179104477612
pos_prop_NUM,0.015384615384615385,0.0024752475247524753,0.014957264957264958,0.012924071082390954,0.009328358208955223
pos_prop_NOUN,0.24102564102564103,0.26732673267326734,0.23931623931623933,0.2358642972536349,0.2574626865671642
pos_prop_ADJ,0.15555555555555556,0.10643564356435643,0.15598290598290598,0.1567043618739903,0.13805970149253732
pos_prop_ADP,0.12991452991452992,0.10643564356435643,0.1282051282051282,0.11147011308562198,0.09888059701492537
pos_prop_PROPN,0.03247863247863248,0.024752475247524754,0.03632478632478633,0.0420032310177706,0.020522388059701493
pos_prop_VERB,0.09230769230769231,0.12871287128712872,0.0876068376068376,0.0888529886914378,0.08768656716417911
pos_prop_PRON,0.0735042735042735,0.027227722772277228,0.07692307692307693,0.030694668820678513,0.04291044776119403
pos_prop_PUNCT,0.06324786324786325,0.10643564356435643,0.06196581196581197,0.13731825525040386,0.13992537313432835
pos_prop_AUX,0.041025641025641026,0.034653465346534656,0.03632478632478633,0.030694668820678513,0.03171641791044776
pos_prop_CCONJ,0.037606837606837605,0.04702970297029703,0.038461538461538464,0.035541195476575124,0.03917910447761194
pos_prop_PART,0.008547008547008548,0.024752475247524754,0.008547008547008548,0.011308562197092083,0.013059701492537313
pos_prop_SCONJ,0.010256410256410256,0.009900990099009901,0.010683760683760684,0.006462035541195477,0.005597014925373134
pos_prop_ADV,0.03076923076923077,0.019801980198019802,0.038461538461538464,0.01615508885298869,0.024253731343283583
dependency_distance_mean,2.5485629696467,2.5181124362708274,2.5836353926576487,2.8838251734756235,2.7623840844823597
dependency_distance_std,0.6996874507616965,0.33802521138143105,0.5360999723482944,0.553313525471346,0.6705888016024026
prop_adjacent_dependency_relation_mean,0.4697558920147251,0.48223142134662417,0.4592047696167487,0.4617918341964083,0.44942039825263896
prop_adjacent_dependency_relation_std,0.09280694819092158,0.08990952994884926,0.08634546867930762,0.059102347442080524,0.08021481527244538
first_order_coherence,0.7926368384525694,0.8403415249453651,0.7994919283823534,0.8233329489313322,0.8168095998142076
second_order_coherence,0.7553003494228635,0.8598493618123672,0.7615506138120379,0.7899207941123417,0.7861535847187042
connectives,15,6,13,11,15
top_ngram_chr_fraction_4,,0.02693069306930693,,0.006578947368421052,
