,human-full,continue,explain,human-cont,create
dependency_distance_mean,2.7550084256138567,2.852199557985442,2.840007762771718,2.6587718298499126,3.112285754844513
dependency_distance_std,0.9498647092613082,0.3787860106611138,0.5891093437532354,0.8268456526832035,0.8778233807559348
prop_adjacent_dependency_relation_mean,0.4455610324218749,0.4231561926023272,0.4435038840534781,0.44967548695963055,0.4511121453903876
prop_adjacent_dependency_relation_std,0.07006688043270491,0.030697755313475614,0.07017573737524153,0.06959220645483699,0.07342502052405304
pos_prop_DET,0.07620528771384137,0.06318681318681318,0.06394316163410302,0.08502772643253234,0.06530089628681178
pos_prop_NUM,0.06531881804043546,0.0027472527472527475,0.03374777975133215,0.059149722735674676,0.04481434058898848
pos_prop_PUNCT,0.1321928460342146,0.1043956043956044,0.1438721136767318,0.11645101663585952,0.14980793854033292
pos_prop_NOUN,0.28149300155520995,0.30494505494505497,0.28063943161634103,0.28650646950092423,0.2791293213828425
pos_prop_ADJ,0.07309486780715396,0.11263736263736264,0.07815275310834814,0.066543438077634,0.10371318822023047
pos_prop_ADV,0.03265940902021773,0.024725274725274724,0.02664298401420959,0.03512014787430684,0.020486555697823303
pos_prop_AUX,0.049766718506998445,0.013736263736263736,0.04085257548845471,0.05545286506469501,0.026888604353393086
pos_prop_VERB,0.07620528771384137,0.12912087912087913,0.09591474245115453,0.07763401109057301,0.08066581306017925
pos_prop_ADP,0.07465007776049767,0.08516483516483517,0.08170515097690942,0.07578558225508318,0.07298335467349552
pos_prop_SCONJ,0.007776049766718507,0.0027472527472527475,0.008880994671403197,0.0073937153419593345,0.006402048655569782
pos_prop_PRON,0.024883359253499222,0.06043956043956044,0.037300177619893425,0.022181146025878003,0.03329065300896287
pos_prop_CCONJ,0.04354587869362364,0.06318681318681318,0.037300177619893425,0.04066543438077634,0.040973111395646605
pos_prop_PROPN,0.029548989113530325,,0.023090586145648313,0.033271719038817,0.040973111395646605
pos_prop_PART,0.02021772939346812,0.03296703296703297,0.03197158081705151,0.024029574861367836,0.01792573623559539
pos_prop_SYM,0.012441679626749611,,0.015985790408525755,0.014787430683918669,0.016645326504481434
token_length_mean,4.810760667903525,6.288819875776397,5.0993520518358535,4.808602150537634,5.370892018779343
token_length_median,4.0,6.0,4.0,4.0,5.0
token_length_std,2.866445112792088,3.289423929418499,3.0209598283106724,2.8367653817267153,3.1630442813933595
sentence_length_mean,19.25,21.466666666666665,20.130434782608695,18.6,21.3
sentence_length_median,16.5,22.0,18.0,16.0,17.5
sentence_length_std,11.915251331202136,4.208985098043892,11.406727030576935,11.845674315968678,9.33148791279647
syllables_per_token_mean,1.4860853432282004,1.9440993788819876,1.5723542116630669,1.4817204301075269,1.6572769953051643
syllables_per_token_median,1.0,2.0,1.0,1.0,1.0
syllables_per_token_std,0.8447652186970317,1.1596125247319218,0.9216921871888827,0.8425443080859232,0.9769997044478204
n_tokens,539,322,463,465,639
n_unique_tokens,286,173,252,241,338
proportion_unique_tokens,0.5306122448979592,0.5372670807453416,0.5442764578833693,0.5182795698924731,0.5289514866979655
n_characters,2701,2071,2469,2316,3580
n_sentences,28,15,23,25,30
first_order_coherence,0.676682702921055,0.8958973160811833,0.723813839934089,0.6959480742613474,0.7233544814175573
second_order_coherence,0.6717524264867489,0.907364180454841,0.7510096288862682,0.6645478360030962,0.7083185315132141
flesch_reading_ease,61.57342996289427,20.575525879917194,53.38144238895674,62.60245161290325,45.00986619718313
flesch_kincaid_grade,9.453307050092768,15.722372670807456,10.81464926284158,9.148301075268819,12.272868544600943
smog,12.226035060777338,16.887214914478655,13.376103337137366,11.905187351434009,14.649411540926312
gunning_fog,12.969016697588126,19.394120082815736,14.445262465959246,12.515268817204301,16.156932707355242
automated_readability_index,10.853682745825601,18.923674948240162,12.653165555451217,10.51851612903226,14.516901408450707
coleman_liau_index,10.949610389610385,19.799378881987575,12.713779697624194,10.883182795698925,14.391173708920189
lix,45.59508348794063,70.53498964803312,52.311860268569816,44.83655913978495,55.572300469483565
rix,5.071428571428571,10.533333333333333,6.478260869565218,4.88,7.3
entropy,16.447493192238202,10.19777819157776,15.585243192007523,14.24986066262485,19.178630911271746
perplexity,13901303.799651643,26843.47870262499,5869283.904875658,1543959.3208574255,213389760.12714237
per_word_perplexity,21619.44603367285,73.74582061160712,10425.015816830655,2853.8989294961652,273226.32538686605
passed_quality_check,True,True,True,True,True
n_stop_words,211.0,119.0,179.0,185.0,217.0
alpha_ratio,0.7822706065318819,0.8928571428571429,0.8028419182948491,0.8096118299445472,0.7861715749039693
mean_word_length,4.2006220839813375,5.68956043956044,4.385435168738899,4.280961182994455,4.583866837387964
doc_length,643.0,364.0,563.0,541.0,781.0
duplicate_ngram_chr_fraction_5,0.04779639975170701,,0.01644962302947224,0.05563583815028902,0.03242727706247019
duplicate_ngram_chr_fraction_6,0.02669149596523898,,,0.03106936416184971,0.020982355746304245
duplicate_ngram_chr_fraction_7,0.02669149596523898,,,0.03106936416184971,0.00715307582260372
top_ngram_chr_fraction_2,0.013966480446927373,0.03221757322175732,0.02467443454420836,0.014450867052023121,0.009537434430138292
top_ngram_chr_fraction_3,0.03227808814400993,0.027196652719665274,0.02227553118574366,0.0328757225433526,0.01859799713876967
top_ngram_chr_fraction_4,0.02638112973308504,,0.015421521590130226,0.024566473988439308,0.01072961373390558
oov_ratio,0.006220839813374806,,0.003552397868561279,0.005545286506469501,0.0038412291933418692
connectives,14,4,6,12,4
