,human-full,create,explain,human-cont,continue
dependency_distance_mean,2.5485629696467,2.7189426047707377,2.687813074155617,2.5836353926576487,2.8026096670390928
dependency_distance_std,0.6996874507616965,0.9384091607277665,0.6044756009446346,0.5360999723482944,0.43959082937424454
prop_adjacent_dependency_relation_mean,0.4697558920147251,0.44941541505338506,0.46569137028959917,0.4592047696167487,0.45705801581766264
prop_adjacent_dependency_relation_std,0.09280694819092158,0.08323357811836216,0.07727412088368461,0.08634546867930762,0.05652978193941016
pos_prop_DET,0.06837606837606838,0.06680161943319839,0.09727626459143969,0.06623931623931624,0.10238095238095238
pos_prop_NUM,0.015384615384615385,0.018218623481781375,0.009727626459143969,0.014957264957264958,0.002380952380952381
pos_prop_NOUN,0.24102564102564103,0.24493927125506074,0.2607003891050584,0.23931623931623933,0.24285714285714285
pos_prop_ADJ,0.15555555555555556,0.12348178137651822,0.1575875486381323,0.15598290598290598,0.12857142857142856
pos_prop_ADP,0.12991452991452992,0.10526315789473684,0.11089494163424124,0.1282051282051282,0.1
pos_prop_PROPN,0.03247863247863248,0.04048582995951417,0.023346303501945526,0.03632478632478633,0.02857142857142857
pos_prop_VERB,0.09230769230769231,0.09716599190283401,0.08171206225680934,0.0876068376068376,0.11428571428571428
pos_prop_PRON,0.0735042735042735,0.04048582995951417,0.029182879377431907,0.07692307692307693,0.0380952380952381
pos_prop_PUNCT,0.06324786324786325,0.15991902834008098,0.1264591439688716,0.06196581196581197,0.11666666666666667
pos_prop_AUX,0.041025641025641026,0.02834008097165992,0.0311284046692607,0.03632478632478633,0.030952380952380953
pos_prop_CCONJ,0.037606837606837605,0.04251012145748988,0.033073929961089495,0.038461538461538464,0.0380952380952381
pos_prop_PART,0.008547008547008548,0.016194331983805668,0.007782101167315175,0.008547008547008548,0.02857142857142857
pos_prop_SCONJ,0.010256410256410256,0.004048582995951417,0.007782101167315175,0.010683760683760684,0.007142857142857143
pos_prop_ADV,0.03076923076923077,0.012145748987854251,0.023346303501945526,0.038461538461538464,0.02142857142857143
token_length_mean,5.206642066420664,5.687651331719128,5.4641255605381165,5.224256292906179,5.837465564738292
token_length_median,4.0,4.0,5.0,4.0,5.0
token_length_std,2.9512821932273225,3.3455934017972897,3.0033337265485147,2.9827969317646503,3.313471321624413
sentence_length_mean,18.066666666666666,15.884615384615385,17.84,19.0,19.105263157894736
sentence_length_median,17.5,16.5,17.0,19.0,18.0
sentence_length_std,9.608792270045642,7.061961609577605,5.84246523310152,8.622518546628735,6.18057003709039
syllables_per_token_mean,1.562730627306273,1.6997578692493946,1.6255605381165918,1.562929061784897,1.8071625344352618
syllables_per_token_median,1.0,1.0,1.0,1.0,1.0
syllables_per_token_std,0.9345432796080085,0.98015413101688,0.980148942952555,0.9561548791187057,1.0940628370842753
n_tokens,542,413.0,446,437,363
n_unique_tokens,268,186.0,219,222,203
proportion_unique_tokens,0.4944649446494465,0.45036319612590797,0.4910313901345291,0.5080091533180778,0.559228650137741
n_characters,2868,2430.0,2505,2316,2182
n_sentences,30,26.0,25,23,19
first_order_coherence,0.7926368384525694,0.6618869341909885,0.8291247884432474,0.7994919283823534,0.8216109408272637
second_order_coherence,0.7553003494228635,0.6377585079365721,0.8122335957444232,0.7615506138120379,0.8223688918001512
flesch_reading_ease,56.29032226322266,46.91259964611663,51.20497847533636,55.32620137299773,34.55720748151373
flesch_kincaid_grade,9.896221402214024,10.662142857142857,10.549214349775784,10.262562929061787,13.185570537915037
smog,11.917574213422942,12.435523402062767,12.125541829968114,12.200932325342574,14.924444911402436
