,human,continue,create,explain
flesch_reading_ease,54.35738277202074,32.37239045127535,14.415043220840772,23.272565994595766
flesch_kincaid_grade,9.273557426597584,15.022478744277304,20.573044404973356,18.284458532529623
smog,11.93303328291395,16.133371291317395,20.203745882125933,18.432939080055544
gunning_fog,12.353039723661485,18.310529758011775,24.53375962107756,21.93955518603201
automated_readability_index,11.090194300518135,19.203755722694574,26.483451746595613,23.385521721055916
coleman_liau_index,13.718203799654578,17.98093525179856,19.79843694493783,18.476678445229677
lix,46.94477547495683,67.53891432308698,84.42498519834221,73.40012471419664
rix,4.7,10.681818181818182,17.6,13.352941176470589
token_length_mean,5.367875647668394,5.944244604316546,6.188277087033748,5.980565371024735
token_length_median,5.0,6.0,6.0,5.5
token_length_std,3.3274496831451748,3.1306306346141435,2.9693647850934033,3.0072897942340067
sentence_length_mean,14.475,25.272727272727273,37.53333333333333,33.294117647058826
sentence_length_median,13.0,22.5,33.0,24.0
sentence_length_std,6.438118902288152,10.109319814282166,18.355259615585815,17.749116650371985
syllables_per_token_mean,1.6286701208981003,1.7589928057553956,1.8241563055062167,1.7703180212014133
syllables_per_token_median,1.0,1.0,2.0,1.0
syllables_per_token_std,0.9914697277571716,1.0140248850862301,0.9933987036681614,1.0036517623126346
n_tokens,579,556,563,566
n_unique_tokens,308,365,402,403
proportion_unique_tokens,0.531951640759931,0.6564748201438849,0.7140319715808171,0.7120141342756183
n_characters,3225,3357,3540,3457
n_sentences,40,22,15,17
entropy,18.055616870393187,11.201833710151675,8.012765744879495,9.98790871318858
perplexity,69415231.14831904,73264.66489248456,3019.2560678653153,21761.74113553405
per_word_perplexity,99734.52751195263,121.2991140604049,4.909359459943603,34.270458481155984
passed_quality_check,True,True,True,True
n_stop_words,206.0,206.0,183.0,174.0
alpha_ratio,0.7830459770114943,0.9056291390728477,0.9008130081300812,0.8708661417322835
mean_word_length,4.633620689655173,5.55794701986755,5.7560975609756095,5.444094488188976
doc_length,696.0,604.0,615.0,635.0
symbol_to_word_ratio_#,0.0,0.0,0.0,0.0
proportion_ellipsis,0.0,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,0.0,0.0
contains_lorem ipsum,0.0,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.015311510031678986,0.0,0.0,0.0
duplicate_ngram_chr_fraction_6,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_7,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_8,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_9,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_10,0.0,0.0,0.0,0.0
top_ngram_chr_fraction_2,0.00791974656810982,0.0054165591952540625,0.00440852314474651,0.005244755244755245
top_ngram_chr_fraction_3,0.007127771911298838,0.0,0.0,0.0
top_ngram_chr_fraction_4,0.0,0.0,0.0,0.0
oov_ratio,0.041666666666666664,0.02152317880794702,0.022764227642276424,0.026771653543307086
pos_prop_ADP,0.08045977011494253,0.11589403973509933,0.12520325203252033,0.11181102362204724
pos_prop_NOUN,0.2629310344827586,0.2533112582781457,0.2813008130081301,0.2866141732283465
pos_prop_PUNCT,0.14655172413793102,0.0728476821192053,0.06991869918699187,0.08976377952755905
pos_prop_PRON,0.035919540229885055,0.041390728476821195,0.026016260162601626,0.031496062992125984
pos_prop_VERB,0.07471264367816093,0.12251655629139073,0.11382113821138211,0.13070866141732285
pos_prop_DET,0.041666666666666664,0.059602649006622516,0.027642276422764227,0.03937007874015748
pos_prop_ADJ,0.10201149425287356,0.15728476821192053,0.15447154471544716,0.12913385826771653
pos_prop_NUM,0.05747126436781609,0.006622516556291391,0.011382113821138212,0.012598425196850394
pos_prop_SYM,0.020114942528735632,,,0.0031496062992125984
pos_prop_CCONJ,0.05172413793103448,0.024834437086092714,0.01951219512195122,0.026771653543307086
pos_prop_ADV,0.01867816091954023,0.03642384105960265,0.05040650406504065,0.03779527559055118
pos_prop_AUX,0.040229885057471264,0.028145695364238412,0.026016260162601626,0.028346456692913385
pos_prop_PROPN,0.05172413793103448,0.03145695364238411,0.04715447154471545,0.029921259842519685
pos_prop_PART,0.0028735632183908046,0.018211920529801324,0.00975609756097561,0.012598425196850394
pos_prop_SCONJ,0.007183908045977011,0.014900662251655629,0.022764227642276424,0.014173228346456693
pos_prop_X,0.005747126436781609,,,
first_order_coherence,0.6926089219557934,0.8377170136996678,0.8411786151783807,0.7865208759903908
second_order_coherence,0.6235524868886722,0.8271364152431488,0.839180391568404,0.7853879849116008
dependency_distance_mean,2.5312220485544685,2.9249956571256606,3.1118335824467747,2.9470228264660294
dependency_distance_std,1.0565962941815925,0.4743611320805135,0.5453862546197816,0.5632156258041863
prop_adjacent_dependency_relation_mean,0.4620112562562458,0.4677861970595459,0.5052130978553332,0.4816812575621029
prop_adjacent_dependency_relation_std,0.08290158142976921,0.06667455622370466,0.05391064821197316,0.0584180952033853
connectives,14,17,27,17
connectives_cap,3,1,2,1
pos_prop_SPACE,,0.016556291390728478,0.014634146341463415,0.015748031496062992
