feature,human,create,continue,explain
pos_prop_NUM,0.009883804899903797,0.004596557447428522,0.005059523809523809,0.005659959965726852
pos_prop_NOUN,0.17483593871698005,0.21656651910236943,0.18398151915028196,0.18309285604120426
pos_prop_ADJ,0.02964039972906159,0.08102166279932578,0.05495258516821948,0.04508692706265863
pos_prop_VERB,0.09777605077148614,0.08952188577704169,0.10603438064931467,0.10068322633596623
pos_prop_PUNCT,0.1419047735527219,0.11438220103400724,0.1041781443367626,0.0975816920110314
pos_prop_PROPN,0.041331628924074444,0.030399067725758545,0.030901833390118046,0.04547407142372616
pos_prop_DET,0.11929010154538733,0.14410578120054923,0.12841140330303635,0.12980583301501386
pos_prop_AUX,0.06277906323124284,0.04093308980211481,0.060157559476757036,0.05988116419094043
pos_prop_ADP,0.1018081408227606,0.09382510745224006,0.08897983933626555,0.11246610023678989
pos_prop_ADV,0.09054338869506812,0.08277591027238419,0.09907836426893626,0.08068550499044008
pos_prop_SCONJ,0.02181789848732816,0.015351394581464348,0.02161549479430583,0.027334645006906733
pos_prop_PRON,0.07727341850745861,0.03857049996933857,0.05647213028890067,0.06541336875569502
pos_prop_CCONJ,0.01599900112283276,0.03324870718842048,0.041876857849368336,0.03538214354243817
pos_prop_PART,0.013573474434173994,0.014723414699231833,0.020104179998204765,0.010207524072474173
flesch_reading_ease,40.473957603645204,16.735508243353042,28.92340407740366,26.645600080493985
flesch_kincaid_grade,10.600421519090807,14.703097802809722,13.371798353073846,13.977669214357585
smog,11.936941579784557,15.178488971255785,14.498810293083903,14.826366406322672
gunning_fog,12.769962412029809,17.836561262169397,16.21128425356727,16.617370452502087
automated_readability_index,10.249973083135524,15.168202863846236,13.986540014025598,14.526798615051906
coleman_liau_index,13.77183435104698,18.428950039632877,16.213742674684866,16.284880803746553
lix,39.22090500324558,53.57406025670538,49.55840215172245,49.65921188554621
rix,3.2907936507936504,5.820821685413978,5.520969868840837,5.6690161943319834
n_stop_words,258.8,197.8,240.4,226.0
alpha_ratio,0.8512402428448116,0.8815050444192515,0.8934012207426024,0.9001428633561028
mean_word_length,4.8188097902059495,5.563831717785145,5.254880686313212,5.275435792292162
doc_length,527.4,445.8,500.6,445.6
top_ngram_chr_fraction_2,0.01802964393189982,0.007015922752231174,0.01298653252950594,0.01336731943039953
oov_ratio,0.01867708083663296,0.014591642072292433,0.016920129890603368,0.01579662752938003
token_length_mean,5.449974064764392,6.155904262870228,5.7474832281972414,5.739051283126739
token_length_median,4.6,5.1,5.2,4.7
token_length_std,3.1123860480934056,3.5036382396308836,3.1892789257792913,3.397019568015584
sentence_length_mean,12.021190476190476,15.207787571454915,16.69178801843318,17.85173414304993
sentence_length_median,11.7,15.2,16.3,17.4
sentence_length_std,6.453072134023816,5.754963058895471,6.056022320163498,6.400862866050526
syllables_per_token_mean,1.8222167146929251,2.0645814110120595,1.9027119513461783,1.9157197371667891
syllables_per_token_median,1.4,2.0,1.8,1.8
syllables_per_token_std,1.1447899356209508,1.2441725661029803,1.083345158298498,1.1702003926092375
n_tokens,452.2,394.6,448.4,402.4
n_unique_tokens,255.6,250.0,267.0,232.4
proportion_unique_tokens,0.5652809576227048,0.6349069149998624,0.5953371238087284,0.5799840220582859
n_characters,2539.8,2481.8,2631.2,2345.0
n_sentences,37.8,26.4,27.0,22.6
first_order_coherence,0.45751678191229495,0.5247523320102017,0.6569232896036572,0.6795821352824569
second_order_coherence,0.451413594094957,0.5456627234091889,0.6538799597558834,0.6440633179492441
dependency_distance_mean,2.570565606068091,2.7367892255522084,2.8760784405296698,3.2107947266533565
dependency_distance_std,0.9006264931697668,0.8365108844525455,0.6823995430698409,0.7070060044884914
prop_adjacent_dependency_relation_mean,0.41993158195456415,0.4389901121593775,0.4509215415688711,0.43071735838406777
prop_adjacent_dependency_relation_std,0.10608054882363058,0.10972424421197528,0.06449217306606536,0.07466782214284304
entropy,6.957118148301831,6.499736366354126,7.153899456077466,6.782720614265204
perplexity,1385.9467229398658,992.2524004286561,1515.6641230262342,1687.5188123475084
per_word_perplexity,2.6547481850884025,2.104417785408758,2.9922751649568005,3.523012603490409
connectives,21.0,12.2,16.8,15.8
connectives_cap,6.8,2.0,3.6,2.8
duplicate_ngram_chr_fraction_5,0.013776708809417535,,0.017657445556209534,0.025509358052925247
duplicate_ngram_chr_fraction_6,0.01429081814933905,,0.017657445556209534,0.025509358052925247
top_ngram_chr_fraction_3,0.007502679528403001,0.01263537906137184,0.014905993086341728,0.015623019928201734
top_ngram_chr_fraction_4,,,0.019088016967126194,0.019237259534255823
pos_prop_X,0.003857291398799208,0.002243781094527363,0.0030797461642973123,0.003112458372470327
duplicate_ngram_chr_fraction_7,,,,0.030374620317246033
duplicate_ngram_chr_fraction_8,,,,0.020924738440769492
