feature,human,create,continue,explain
n_stop_words,164.4,157.2,58.8,139.2
alpha_ratio,0.7968495853421984,0.8564795254102233,0.8295187715102859,0.8643342218116701
mean_word_length,5.697393686152102,6.140521994803094,6.029568587261942,5.98219096287585
doc_length,465.0,415.2,156.4,317.0
duplicate_ngram_chr_fraction_5,0.025365160875583513,0.0460671839941021,0.11239563265961845,0.05548373799277671
top_ngram_chr_fraction_2,0.010097278231821941,0.01786241949938277,0.024197838566057492,0.012133836909566785
oov_ratio,0.07928457440130958,0.05048034930031777,0.11252521578405758,0.06128067032694211
flesch_reading_ease,-11.659711030456867,-11.56722964963384,-19.100504260084666,-11.149017961408173
flesch_kincaid_grade,19.195877301091066,18.10633462842322,20.118029777280007,19.382108659909903
smog,17.478749843895326,16.03978946276065,17.734982342088784,18.18189108939822
gunning_fog,21.537266483894175,21.003147323776318,22.775468106092283,22.61189105591472
automated_readability_index,18.503257127049892,17.62661337897171,19.19360405101824,19.500018652544096
coleman_liau_index,21.475337226582564,22.530783010667015,22.3759329135302,22.183855734493157
lix,58.032725831894666,57.60541080139677,60.409747364377914,61.173448190975606
rix,7.10664923177509,5.802170506912442,7.346666666666667,7.816923076923078
dependency_distance_mean,3.0475203561977566,2.5889959346432057,2.9520352991063517,3.3179370362306555
dependency_distance_std,1.242704789716862,0.9420491206812299,0.8495909671109583,0.8003541842591669
prop_adjacent_dependency_relation_mean,0.45625716136809225,0.44282283811104295,0.4355565273801544,0.45344825679456663
prop_adjacent_dependency_relation_std,0.09366252025128624,0.09283186743481782,0.10741271184131891,0.07164762102942814
first_order_coherence,0.478601100045908,0.44469444195000296,0.5285818609610351,0.6835647458531701
second_order_coherence,0.4784125749841327,0.4502631535850548,0.5005284399024788,0.6587565424246388
entropy,6.447993662259205,5.9475121162831615,2.342558793923735,5.349750768395548
perplexity,763.2833996393475,742.2886279222795,20.519632637690933,283.6450167308441
per_word_perplexity,1.6593362447200608,1.7018057187425388,0.1054251693674518,0.8468685217649442
pos_prop_ADJ,0.08469621876824956,0.09448109413293927,0.10033373779325327,0.08818466332493329
pos_prop_NOUN,0.21753173274908605,0.2587745028340647,0.202114383711417,0.2196295178134521
pos_prop_PUNCT,0.1394444557927313,0.1285195809018108,0.12807954912566907,0.13098925727723681
pos_prop_ADP,0.10619978606497908,0.08899772917105776,0.07913397078994955,0.09211882937315821
pos_prop_PROPN,0.06214348731408731,0.02465662388073247,0.07157727403023101,0.028036318074308786
pos_prop_NUM,0.029290361674161186,0.010681430121640426,0.01921302512700362,0.00826167492712061
pos_prop_ADV,0.06007047399582036,0.04136564159835927,0.07935179300122945,0.055884431950248815
pos_prop_VERB,0.056483814672232346,0.07728312718031562,0.06451711076273844,0.08362824355133174
pos_prop_PRON,0.01737267724014762,0.02280224980327619,0.030182709585400994,0.03182424070877393
pos_prop_DET,0.11924391586927374,0.1521641097473126,0.12154248008568516,0.1334206237796462
pos_prop_CCONJ,0.02395053216457325,0.03193957238475229,0.04089902830348484,0.03286594409974486
pos_prop_AUX,0.047125345292073274,0.0409029273940748,0.0502615847132624,0.06770043672310003
pos_prop_SCONJ,0.010358727380540961,0.010800029696113189,0.025261538888627894,0.0274933480641626
pos_prop_PART,0.012000253976588033,0.015137477533238972,0.019456147881138166,0.011336795234496789
token_length_mean,6.636559104188441,6.910501664827453,6.83256514411805,6.738167895816611
token_length_median,5.2,5.6,5.4,5.4
token_length_std,4.339798645357477,4.388653639459163,4.505031157703439,4.193790103313301
sentence_length_mean,17.350127492644656,13.016301075268817,16.884444444444444,18.386495726495728
sentence_length_median,14.8,12.8,15.2,18.6
sentence_length_std,9.771705683416641,6.062235828588202,6.797406546825066,5.684300626452343
syllables_per_token_mean,2.3745192863525126,2.425421797378676,2.4680590206734463,2.35604875648954
syllables_per_token_median,1.8,2.0,1.8,2.0
syllables_per_token_std,1.6746627109718393,1.6265040411867104,1.7378624264691105,1.5925064767329231
n_tokens,386.2,361.0,135.6,275.8
n_unique_tokens,225.8,197.8,87.2,157.0
proportion_unique_tokens,0.5847667892245335,0.5488131020231175,0.6630471402393509,0.5720127519719198
n_characters,2642.8,2544.6,951.2,1894.0
n_sentences,22.8,28.0,8.4,15.2
connectives,8.8,5.4,1.6,7.4
top_ngram_chr_fraction_3,0.009273358874204354,0.01527700419776845,,0.029117728336407425
top_ngram_chr_fraction_4,0.009926573608957507,0.036346691519105315,,0.027314112291350532
pos_prop_X,0.023200016646102183,0.0024898393671860504,0.025393356643356645,0.007462686567164179
duplicate_ngram_chr_fraction_6,0.027896995708154508,0.052458493955158544,0.09464894397151329,0.0579500862713056
duplicate_ngram_chr_fraction_7,0.017167381974248927,0.039725717506614654,0.09464894397151329,0.05309424538640369
duplicate_ngram_chr_fraction_8,0.008226037195994278,0.03296551262610428,0.07841353047582582,0.06674303727535667
duplicate_ngram_chr_fraction_9,0.008226037195994278,,0.09478924548542822,0.06674303727535667
duplicate_ngram_chr_fraction_10,,,0.09821428571428571,
