System,TTR,Yules,MTLD
None-Adulte_Weichgewebesarkome-110_709_de.txt,44.08,2179.93,106.94
None-Adulte_Weichgewebesarkome-130_533_de.txt,54.98,3338.83,157.35
None-Adulte_Weichgewebesarkome-64_544_de.txt,54.83,3207.7,165.59
None-Adulte_Weichgewebesarkome-88_614_de.txt,48.18,2411.31,83.64
None-Aktinische_Keratose_und_Plattenepithelkarzinom_der_Haut-66_531_de.txt,47.91,2221.97,91.18
None-Aktinische_Keratose_und_Plattenepithelkarzinom_der_Haut-8_513_de.txt,46.84,1930.87,74.99
None-Analkarzinom-22_501_de.txt,53.8,3255.11,172.42
None-Analkarzinom-55_575_de.txt,42.96,1565.91,82.13
None-Endometriumkarzinom-129_502_de.txt,42.56,1009.53,61.99
None-Endometriumkarzinom-7_570_de.txt,44.17,2390.97,68.02
None-Harnblasenkarzinom-121_574_de.txt,43.01,1834.96,73.27
None-Harnblasenkarzinom-125_573_de.txt,58.68,3587.33,154.87
None-Harnblasenkarzinom-55_536_de.txt,48.4,1979.89,72.92
None-Harnblasenkarzinom-71_530_de.txt,39.22,765.4,57.1
None-Harnblasenkarzinom-79_586_de.txt,46.46,2627.49,96.16
None-Harnblasenkarzinom-87_546_de.txt,42.08,610.53,33.37
None-Harnblasenkarzinom-8_526_de.txt,48.27,2362.24,88.25
None-Harnblasenkarzinom-92_587_de.txt,38.62,1353.91,83.73
None-Harnblasenkarzinom-93_591_de.txt,35.7,853.67,61.1
None-Hautkrebsprävention-105_510_de.txt,54.53,3100.16,105.21
None-Hautkrebsprävention-113_603_de.txt,53.36,3511.25,176.44
None-Hautkrebsprävention-35_540_de.txt,51.4,2370.69,127.24
None-Hautkrebsprävention-62_527_de.txt,49.81,2358.05,91.26
None-Hautkrebsprävention-64_539_de.txt,52.71,2829.03,153.15
None-Hautkrebsprävention-77_567_de.txt,51.78,2784.64,138.26
None-Hautkrebsprävention-81_591_de.txt,55.63,2302.34,140.38
None-Hepatozelluläres_Karzinom_und_biliäre_Karzinome-69_610_de.txt,36.74,838.33,57.93
None-Hodentumoren-105_566_de.txt,46.62,2314.36,87.6
None-Hodentumoren-3_536_de.txt,50.57,2285.64,91.82
None-Hodgkin_Lymphom-31_530_de.txt,42.45,1682.62,97.94
None-Hodgkin_Lymphom-33_608_de.txt,44.57,1853.59,68.8
None-Hodgkin_Lymphom-35_623_de.txt,48.61,2542.34,110.71
None-Hodgkin_Lymphom-3_611_de.txt,50.34,2487.14,131.51
None-Hodgkin_Lymphom-46_555_de.txt,50.36,2467.96,159.99
None-Hodgkin_Lymphom-69_544_de.txt,47.41,2412.96,104.48
None-Hodgkin_Lymphom-72_565_de.txt,43.38,1158.4,48.51
None-Kolorektales_Karzinom-124_566_de.txt,45.29,2062.71,68.08
None-Kolorektales_Karzinom-26_511_de.txt,51.69,2771.63,117.05
None-Komplementärmedizin-15_532_de.txt,44.51,2040.08,86.65
None-Komplementärmedizin-16_676_de.txt,53.66,3171.28,138.96
None-Komplementärmedizin-21_617_de.txt,41.68,1549.85,92.5
None-Komplementärmedizin-23_580_de.txt,41.43,1439.86,78.19
None-Komplementärmedizin-27_599_de.txt,55.41,2474.33,139.72
None-Komplementärmedizin-33_537_de.txt,44.65,1672.39,75.35
None-Komplementärmedizin-51_602_de.txt,50.17,2575.43,122.07
None-Komplementärmedizin-55_585_de.txt,45.1,1158.84,107.1
None-Komplementärmedizin-57_527_de.txt,52.4,2443.57,73.75
None-Larynxkarzinom-27_531_de.txt,48.85,2758.25,97.66
None-Larynxkarzinom-31_552_de.txt,55.21,3354.32,135.08
None-Larynxkarzinom-53_602_de.txt,51.02,2747.98,134.71
None-Larynxkarzinom-9_558_de.txt,53.7,3156.91,114.82
None-Lungenkarzinom-10_506_de.txt,55.69,4045.79,158.09
