System,TTR,Yules,MTLD
None-Adulte_Weichgewebesarkome-110_709_de.txt,20.87,256.64,94.19
None-Adulte_Weichgewebesarkome-130_533_de.txt,27.39,452.09,83.27
None-Adulte_Weichgewebesarkome-64_544_de.txt,34.07,773.67,121.3
None-Adulte_Weichgewebesarkome-88_614_de.txt,37.46,1312.66,101.0
None-Aktinische_Keratose_und_Plattenepithelkarzinom_der_Haut-66_531_de.txt,34.27,790.36,89.29
None-Aktinische_Keratose_und_Plattenepithelkarzinom_der_Haut-8_513_de.txt,35.09,743.63,104.97
None-Analkarzinom-22_501_de.txt,30.54,700.45,104.49
None-Analkarzinom-55_575_de.txt,36.76,917.01,95.29
None-Endometriumkarzinom-129_502_de.txt,38.25,1014.98,83.78
None-Endometriumkarzinom-7_570_de.txt,31.58,710.84,108.98
None-Harnblasenkarzinom-121_574_de.txt,28.8,548.67,93.74
None-Harnblasenkarzinom-125_573_de.txt,27.23,395.64,86.0
None-Harnblasenkarzinom-55_536_de.txt,26.49,457.23,76.87
None-Harnblasenkarzinom-71_530_de.txt,39.89,1234.28,116.34
None-Harnblasenkarzinom-79_586_de.txt,36.25,992.66,88.36
None-Harnblasenkarzinom-87_546_de.txt,27.84,495.16,80.99
None-Harnblasenkarzinom-8_526_de.txt,41.38,1333.79,116.0
None-Harnblasenkarzinom-92_587_de.txt,22.15,293.96,79.16
None-Harnblasenkarzinom-93_591_de.txt,37.9,1286.89,123.29
None-Hautkrebsprävention-105_510_de.txt,35.63,881.86,120.7
None-Hautkrebsprävention-113_603_de.txt,38.27,972.61,87.63
None-Hautkrebsprävention-35_540_de.txt,37.22,1038.32,133.96
None-Hautkrebsprävention-62_527_de.txt,24.48,289.41,86.36
None-Hautkrebsprävention-64_539_de.txt,30.24,588.85,110.22
None-Hautkrebsprävention-77_567_de.txt,34.04,676.16,83.83
None-Hautkrebsprävention-81_591_de.txt,26.23,396.45,91.24
None-Hepatozelluläres_Karzinom_und_biliäre_Karzinome-69_610_de.txt,31.63,736.25,81.75
None-Hodentumoren-105_566_de.txt,30.57,632.88,110.07
None-Hodentumoren-3_536_de.txt,30.41,658.79,108.7
None-Hodgkin_Lymphom-31_530_de.txt,31.0,673.92,84.99
None-Hodgkin_Lymphom-33_608_de.txt,20.56,306.79,138.42
None-Hodgkin_Lymphom-35_623_de.txt,24.88,370.64,85.7
None-Hodgkin_Lymphom-3_611_de.txt,30.61,607.1,95.65
None-Hodgkin_Lymphom-46_555_de.txt,34.23,1014.33,103.11
None-Hodgkin_Lymphom-69_544_de.txt,27.94,521.3,96.75
None-Hodgkin_Lymphom-72_565_de.txt,26.02,478.92,102.2
None-Kolorektales_Karzinom-124_566_de.txt,17.14,176.03,71.61
None-Kolorektales_Karzinom-26_511_de.txt,37.38,1041.12,138.96
None-Komplementärmedizin-15_532_de.txt,30.08,553.15,71.31
None-Komplementärmedizin-16_676_de.txt,28.99,542.6,96.98
None-Komplementärmedizin-21_617_de.txt,26.9,468.34,88.92
None-Komplementärmedizin-23_580_de.txt,26.94,476.34,81.0
None-Komplementärmedizin-27_599_de.txt,21.7,232.75,85.62
None-Komplementärmedizin-33_537_de.txt,32.22,585.47,102.0
None-Komplementärmedizin-51_602_de.txt,23.26,302.1,86.88
None-Komplementärmedizin-55_585_de.txt,29.74,526.81,98.43
None-Komplementärmedizin-57_527_de.txt,28.52,490.2,79.5
None-Larynxkarzinom-27_531_de.txt,29.76,589.47,94.39
None-Larynxkarzinom-31_552_de.txt,26.27,354.73,86.01
None-Larynxkarzinom-53_602_de.txt,28.74,457.42,69.58
None-Larynxkarzinom-9_558_de.txt,46.42,1782.65,123.5
None-Lungenkarzinom-10_506_de.txt,35.57,826.95,102.97
None-Lungenkarzinom-187_548_de.txt,32.3,721.37,108.27
None-Lungenkarzinom-236_510_de.txt,29.41,527.92,86.85
None-Lungenkarzinom-279_518_de.txt,32.24,855.75,101.23
None-Magenkarzinom-18_562_de.txt,24.02,328.2,71.43
None-Magenkarzinom-2_570_de.txt,33.86,748.12,88.61
None-Malignes_Melanom-114_531_de.txt,31.45,606.02,90.37
None-Malignes_Melanom-125_518_de.txt,33.59,656.46,89.74
None-Malignes_Melanom-126_550_de.txt,24.91,383.12,84.8
None-Malignes_Melanom-45_529_de.txt,23.06,301.97,67.1
None-Malignes_Melanom-97_581_de.txt,30.46,691.28,102.0
None-Mammakarzinom-104_535_de.txt,28.87,445.97,61.35
None-Mammakarzinom-134_535_de.txt,19.48,183.2,75.27
None-Mammakarzinom-13_570_de.txt,30.18,609.48,76.9
None-Mammakarzinom-180_614_de.txt,25.41,389.38,94.63
None-Mammakarzinom-199_562_de.txt,33.27,569.62,79.96
None-Mammakarzinom-214_559_de.txt,28.8,406.67,62.75
None-Mammakarzinom-219_628_de.txt,16.08,111.47,71.08
None-Mammakarzinom-24_531_de.txt,27.12,491.49,76.05
None-Mammakarzinom-63_583_de.txt,30.19,607.25,95.24
None-Mammakarzinom-82_624_de.txt,26.76,518.48,103.68
None-Mundhöhlenkarzinom-8_536_de.txt,21.83,277.39,98.85
None-Nierenzellkarzinom-118_557_de.txt,36.62,811.07,86.98
None-Nierenzellkarzinom-60_522_de.txt,32.38,812.55,126.71
None-Nierenzellkarzinom-65_556_de.txt,18.88,257.77,85.6
None-Palliativmedizin-110_511_de.txt,26.81,362.62,106.65
None-Palliativmedizin-117_554_de.txt,24.91,378.46,133.86
None-Palliativmedizin-167_597_de.txt,25.63,422.7,116.29
None-Palliativmedizin-188_560_de.txt,25.36,401.67,90.36
None-Palliativmedizin-20_610_de.txt,20.82,249.87,97.81
None-Palliativmedizin-23_567_de.txt,31.04,627.17,93.05
None-Palliativmedizin-43_520_de.txt,21.73,212.85,63.11
None-Palliativmedizin-69_548_de.txt,29.2,476.37,90.41
None-Palliativmedizin-81_581_de.txt,26.16,442.86,118.93
None-Palliativmedizin-8_569_de.txt,29.88,539.28,91.04
None-Pankreaskarzinom-72_512_de.txt,24.61,416.26,96.71
None-Peniskarzinom-51_640_de.txt,39.84,1700.0,113.7
None-Prävention_Zervixkarzinom-51_539_de.txt,33.4,874.49,126.74
