System,TTR,Yules,MTLD
2018-20-jähriger-FC-Sion-Fan-schuldig-gesprochen_513_de.txt,54.22,2987.7,132.67
2018-Basel-siegt-erst-in-der-Nachspielzeit_588_de.txt,56.22,3210.0,228.24
2018-Belgien-bezwingt-Japan-in-letzter-Sekunde_510_de.txt,58.4,4464.08,162.58
2018-Darum-herrscht-in-Italiens-Regierung-Chaos_514_de.txt,55.42,3382.59,165.53
2018-Die-Hitzewelle-macht-uns-aggressiv_586_de.txt,55.21,3425.61,152.42
2018-Hamilton-triumphiert-in-Singapur_549_de.txt,49.91,1778.48,135.86
"2018-Herr-Nordmann,-werden-die-Stimmbürger-erpresst_601_de.txt",51.61,2178.08,135.13
2018-Mit-2000-Franken-im-Monat-um-die-Welt-fahren_519_de.txt,56.05,2549.33,168.62
2018-Stadtoriginal-muss-Hochhaus-weichen_585_de.txt,55.34,2638.2,191.67
2018-Trump-freut-sich-über-«Big-Deal»-mit-Mexiko_512_de.txt,53.43,3139.25,136.93
2018-«Die-richtigen-Fette-zünden-den-Super-Turbo»_516_de.txt,55.64,2257.32,146.62
2018-«Ein-Teil-des-SCB-wird-für-immer-in-mir-sein»_509_de.txt,52.49,2694.09,146.81
2018-«Es-ist-die-Safari-meines-Lebens»_546_de.txt,58.54,4400.43,155.09
"2018-«Meine-Frau-fand,-ich-sehe-zu-fies-aus»_634_de.txt",51.29,2480.16,151.47
"2018-«Merci-für-alles,-lieber-Alex»_563_de.txt",54.38,3477.06,161.67
"2018-«Nur-eine-Diät,-die-zum--Charakter-passt,-gelingt»_573_de.txt",54.45,2457.64,138.98
2019-Arsenal-stürzt-ohne-Xhaka-in-die-Krise_528_de.txt,53.77,2850.76,105.75
2019-Darum-hält-SNB-Chef-Jordan-die-Füsse-still_534_de.txt,53.98,2688.14,118.28
2019-Das-können-wir-von-Profi-Aufräumern-lernen_577_de.txt,55.99,3126.01,171.47
2019-Deutschland-mit-Gala-zum-Gruppensieg_587_de.txt,59.62,5486.14,204.38
2019-Eiskaltes-Luzern-verschärft-Thuns-Krise_612_de.txt,54.89,2977.2,149.04
2019-Mann-tritt-schwangere-Freundin-in-den-Bauch_501_de.txt,54.41,3008.78,155.92
2019-Nationalrat-stimmt-Kauf-von-Kampfjets-für-6-Mrd-zu_506_de.txt,57.4,3677.18,185.52
2019-Panik-drückt-Börse-tief-ins-Minus_540_de.txt,58.76,4000.99,138.35
2019-USA-betrachten-Israels-Siedlungsbau-als-legal_587_de.txt,54.18,3021.59,147.6
2019-Wonder-Woman-spielt-Orgasmuspionierin_550_de.txt,59.63,3611.11,198.02
2019-Zwischen-zwei-Welten_568_de.txt,57.75,3933.16,188.84
"2019-«Habe-Angst,-dass-die-Welt-in-zwei-Teile-zerbricht»_532_de.txt",54.42,2540.09,131.41
2019-«Maurer-und-Trump-werden-sich-gut-verstehen»_567_de.txt,52.54,2716.41,126.93
2019-«Wir-mussten-sie-auf-den-Balkon-sperren»_524_de.txt,51.68,2402.66,117.54
2020-10-Raubüberfälle-in-einem-Monat-–-was-ist-nur-los_570_de.txt,44.56,1636.55,118.95
2020-14’000-Franken-für-eine-Wohnungsbesichtigung_510_de.txt,58.84,3308.25,168.74
2020-BAG-Direktor-warnt-vor-Flyern-der-Maskengegner_565_de.txt,53.89,2540.89,109.73
2020-BAG-macht-mit-Quarantäneliste-die-Portugiesen-wütend_547_de.txt,53.99,2671.32,122.12
2020-Darum-löschen-gerade-so-viele-ihren-Instagram-Account_605_de.txt,49.16,2080.18,123.38
2020-Das-bedeutet-das-gigantische-EU-Finanzpaket-für-die-Schweiz_520_de.txt,48.92,2294.63,102.83
2020-Das-musst-du-über-einen-allfälligen-Kurz-Lockdown-wissen_537_de.txt,57.12,3024.07,154.83
2020-Das-sind-die-wichtigsten-Antworten-zum-Liga-Neustart_568_de.txt,49.82,1893.94,121.2
2020-Die-acht-Neulinge-der-Hockey-Nati-im-Check_521_de.txt,55.71,3053.34,136.45
2020-Ein-Umsteiger-sucht-den-Weg-in-die-Zukunft_590_de.txt,57.49,3767.51,139.07
"2020-Hertha-im-Höhenflug-–-mit-dem-besten-Labbadia,-den-es-je-gab_522_de.txt",58.75,3582.25,169.48
"2020-Ilir-B.-drohte,-seine-Frau-durch-Stadt-zu-schleifen_548_de.txt",52.95,2592.67,135.58
2020-Ist-die-Quarantäne-Liste-der-Schweiz-unfair_521_de.txt,52.45,2533.47,133.06
2020-Jetzt-schneidet-sich-die-Schweiz-die-Haare-selber_537_de.txt,55.73,3766.08,153.76
