System,TTR,Yules,MTLD
2018-20-jähriger-FC-Sion-Fan-schuldig-gesprochen_513_de.txt,24.37,458.75,128.49
2018-Basel-siegt-erst-in-der-Nachspielzeit_588_de.txt,17.69,175.24,83.55
2018-Belgien-bezwingt-Japan-in-letzter-Sekunde_510_de.txt,22.94,346.47,89.2
2018-Darum-herrscht-in-Italiens-Regierung-Chaos_514_de.txt,36.58,1088.18,122.72
2018-Die-Hitzewelle-macht-uns-aggressiv_586_de.txt,35.49,729.82,82.69
2018-Hamilton-triumphiert-in-Singapur_549_de.txt,26.41,464.13,104.23
"2018-Herr-Nordmann,-werden-die-Stimmbürger-erpresst_601_de.txt",22.63,292.61,97.86
2018-Mit-2000-Franken-im-Monat-um-die-Welt-fahren_519_de.txt,33.91,820.56,104.09
2018-Stadtoriginal-muss-Hochhaus-weichen_585_de.txt,28.21,537.83,95.66
2018-Trump-freut-sich-über-«Big-Deal»-mit-Mexiko_512_de.txt,29.88,617.81,94.04
2018-«Die-richtigen-Fette-zünden-den-Super-Turbo»_516_de.txt,35.47,794.52,78.97
2018-«Ein-Teil-des-SCB-wird-für-immer-in-mir-sein»_509_de.txt,28.29,484.6,68.01
2018-«Es-ist-die-Safari-meines-Lebens»_546_de.txt,38.86,1019.72,94.2
"2018-«Meine-Frau-fand,-ich-sehe-zu-fies-aus»_634_de.txt",20.66,236.34,96.1
"2018-«Merci-für-alles,-lieber-Alex»_563_de.txt",27.18,455.61,108.31
"2018-«Nur-eine-Diät,-die-zum--Charakter-passt,-gelingt»_573_de.txt",30.37,478.67,85.48
2019-Arsenal-stürzt-ohne-Xhaka-in-die-Krise_528_de.txt,34.47,916.04,118.5
2019-Darum-hält-SNB-Chef-Jordan-die-Füsse-still_534_de.txt,53.4,2630.18,89.53
2019-Das-können-wir-von-Profi-Aufräumern-lernen_577_de.txt,40.49,1087.58,92.06
2019-Deutschland-mit-Gala-zum-Gruppensieg_587_de.txt,25.55,477.2,100.93
2019-Eiskaltes-Luzern-verschärft-Thuns-Krise_612_de.txt,47.06,1974.86,103.51
2019-Mann-tritt-schwangere-Freundin-in-den-Bauch_501_de.txt,23.15,358.16,98.5
2019-Nationalrat-stimmt-Kauf-von-Kampfjets-für-6-Mrd-zu_506_de.txt,40.71,1526.47,123.24
2019-Panik-drückt-Börse-tief-ins-Minus_540_de.txt,32.96,704.4,103.59
2019-USA-betrachten-Israels-Siedlungsbau-als-legal_587_de.txt,34.41,795.55,95.93
2019-Wonder-Woman-spielt-Orgasmuspionierin_550_de.txt,27.45,465.61,95.59
2019-Zwischen-zwei-Welten_568_de.txt,19.01,214.49,78.81
"2019-«Habe-Angst,-dass-die-Welt-in-zwei-Teile-zerbricht»_532_de.txt",29.14,481.95,90.96
2019-«Maurer-und-Trump-werden-sich-gut-verstehen»_567_de.txt,30.86,650.49,108.09
2019-«Wir-mussten-sie-auf-den-Balkon-sperren»_524_de.txt,41.41,1090.78,108.59
2020-10-Raubüberfälle-in-einem-Monat-–-was-ist-nur-los_570_de.txt,31.23,541.05,55.56
2020-14’000-Franken-für-eine-Wohnungsbesichtigung_510_de.txt,23.73,350.85,106.19
2020-BAG-Direktor-warnt-vor-Flyern-der-Maskengegner_565_de.txt,33.98,610.23,68.5
2020-BAG-macht-mit-Quarantäneliste-die-Portugiesen-wütend_547_de.txt,25.96,376.55,84.23
2020-Darum-löschen-gerade-so-viele-ihren-Instagram-Account_605_de.txt,32.23,667.57,100.81
2020-Das-bedeutet-das-gigantische-EU-Finanzpaket-für-die-Schweiz_520_de.txt,39.11,1049.64,75.48
2020-Das-musst-du-über-einen-allfälligen-Kurz-Lockdown-wissen_537_de.txt,47.92,1826.22,88.43
2020-Das-sind-die-wichtigsten-Antworten-zum-Liga-Neustart_568_de.txt,17.43,164.03,86.2
2020-Die-acht-Neulinge-der-Hockey-Nati-im-Check_521_de.txt,27.64,474.62,98.63
2020-Ein-Umsteiger-sucht-den-Weg-in-die-Zukunft_590_de.txt,42.42,1284.73,93.94
"2020-Hertha-im-Höhenflug-–-mit-dem-besten-Labbadia,-den-es-je-gab_522_de.txt",34.36,904.74,122.52
"2020-Ilir-B.-drohte,-seine-Frau-durch-Stadt-zu-schleifen_548_de.txt",35.04,733.76,91.15
2020-Ist-die-Quarantäne-Liste-der-Schweiz-unfair_521_de.txt,30.9,540.7,89.08
2020-Jetzt-schneidet-sich-die-Schweiz-die-Haare-selber_537_de.txt,31.28,616.92,104.23
2020-Kremlkritiker-Nawalny-soll-in-Berlin-behandelt-werden_516_de.txt,37.98,1026.07,89.97
2020-Mysteriöser-Killer-rettet-eine-kriselnde-Beziehung_506_de.txt,36.96,866.21,120.15
2020-RB-Leipzig-setzt-Bayern-München-unter-Druck_606_de.txt,25.0,475.32,113.96
2020-Rocklegende-Eddie-Van-Halen-stirbt-im-Alter-von-65-Jahren_512_de.txt,49.8,2277.58,88.14
2020-Ryan-Reynolds-stirbt-in-«Free-Guy»-spektakulärste-Tode_540_de.txt,31.48,716.06,131.98
2020-Wie-das-Coronavirus-die-Wirtschaft-beutelt_505_de.txt,31.68,489.58,57.78
2020-«Das-Testresultat-ist-ein-Game-Changer»_532_de.txt,31.02,545.05,89.07
2020-«Die-Feinde-Amerikas-sind-auf-der-Flucht»_604_de.txt,35.43,1001.66,91.83
2020-«DieTrauer-um-A.-R.-ist-unermesslich»_547_de.txt,28.34,510.74,103.03
"2020-«Er-war-intelligent,-hatte-aber-bizarre-Wahnideen»_590_de.txt",42.88,1648.44,146.39
2020-«Es-gibt-in-der-Schweiz-starke-rechtsextreme-Gruppierungen»_569_de.txt,34.97,591.59,75.5
2020-«Niemand-will-uns-testen-–-das-ist-ein-Witz!»_523_de.txt,40.88,872.48,70.9
2020-«Stellen-Sie-nicht-Ihr-Leben-auf-den-Kopf»_554_de.txt,39.53,873.77,82.59
2020-«Virus-führt-zu-einem-kollektiven-Misstrauen»_562_de.txt,30.78,540.33,69.14
"2020-«Wenn-wir-gendern,-dann-richtig»_571_de.txt",40.46,1030.53,98.72
2020-«Wir-hatten-Angst-vor-genau-solch-einem-Eklat»_511_de.txt,33.07,704.86,111.17
2021-Am-Tag-des-Terrors-lernten-sie-sich-in-der-kanadischen-Provinz-kennen-und-lieben_506_de.txt,42.29,1209.61,87.04
2021-Anya-Taylor-Joy-rüttelt-in-Thriller-über-Gewalt-an-Frauen-auf_570_de.txt,31.11,755.28,108.21
2021-Biden-spricht-zum-ersten-Mal-an-UN-Generaldebatte-in-New-York_598_de.txt,41.47,1483.45,88.05
2021-Bund-fürchtet-Infrastruktur-Kollaps-bei-heftiger-Omikron-Welle_506_de.txt,31.82,562.16,91.18
2021-Coop-holt-sich-das-neue-Cola-Zero-schon-jetzt-aus-Polen_598_de.txt,23.41,371.49,114.45
2021-Darum-sind-Zoom-Meetings-so-anstrengend_543_de.txt,44.71,1371.13,99.59
