System,TTR,Yules,MTLD
2011-asia_587_en.txt,32.59,634.14,75.97
2011-dc-tour-operator-closing_602_en.txt,22.76,304.35,97.46
2011-holder-fast-and-furious_608_en.txt,25.29,395.56,83.31
2011-mexico-gadhafi-son_522_en.txt,18.97,174.74,93.76
2011-river-rafting-sunset_769_en.txt,34.79,832.15,77.3
2011-un-general-assembly_634_en.txt,20.25,212.95,63.88
2011-us_578_en.txt,16.26,114.72,68.37
2012-autism_602_en.txt,27.91,446.02,59.67
2012-chicago-strike-explainer_566_en.txt,22.6,335.11,79.62
2012-fiscal-cliff_578_en.txt,17.82,168.32,80.68
2012-football_509_en.txt,24.56,424.59,106.75
2012-health_555_en.txt,26.58,377.52,77.47
2012-himalaya-viagra-caterpillar-fungus_626_en.txt,23.32,284.29,88.13
2012-justice_533_en.txt,20.64,259.71,102.08
2012-living_652_en.txt,25.0,400.92,100.37
2012-meast_572_en.txt,22.55,288.06,79.05
2012-nebraska-hate-crime_520_en.txt,22.69,300.35,101.44
2012-new-york-pedro-hernandez-profile_592_en.txt,15.71,150.44,91.84
2012-olympics-london-2012-psychology_604_en.txt,27.5,424.79,76.82
2012-online-class-warfare_603_en.txt,24.63,342.41,87.79
2012-opinion_597_en.txt,22.65,316.24,72.59
2012-opinion_630_en.txt,18.89,213.82,108.06
2012-peru-van-der-sloot-sentence_554_en.txt,25.54,392.21,76.52
2012-piazza-campaign-season-for-oscars_593_en.txt,23.78,235.72,74.63
2012-scotus-tv-indecency_552_en.txt,21.74,272.62,104.31
2012-south-carolina-indian-adoption_590_en.txt,21.02,244.06,70.38
2012-tv_507_en.txt,36.76,956.75,75.83
2012-us_602_en.txt,13.46,81.82,88.77
2012-us_731_en.txt,20.88,296.74,92.32
2012-web_530_en.txt,25.0,306.44,68.0
2012-western-wildfires_580_en.txt,21.72,265.04,94.11
2012-windows-phone-8-microsoft_595_en.txt,25.51,408.4,91.92
2012-zuckerberg-instagram-deal_567_en.txt,17.81,185.47,84.41
2013-07-web_536_en.txt,20.34,244.31,103.34
2013-americas_509_en.txt,21.22,235.87,72.32
2013-americas_631_en.txt,26.15,442.97,86.4
2013-appeals-court-live-online_516_en.txt,24.61,446.91,109.32
2013-atp-world-tour-finals-federer-tennis_598_en.txt,24.66,364.22,84.95
2013-begala-government-shutdown_615_en.txt,24.26,315.07,73.52
2013-comet-ison-dead-or-alive_513_en.txt,26.27,460.88,92.2
2013-edward-snowden-manifesto_558_en.txt,13.8,91.85,87.48
