System,TTR,Yules,MTLD
2011-asia_587_en.txt,48.05,1667.22,105.31
2011-dc-tour-operator-closing_602_en.txt,50.17,2099.52,111.16
2011-holder-fast-and-furious_608_en.txt,48.74,1756.86,99.95
2011-mexico-gadhafi-son_522_en.txt,48.71,1567.23,87.25
2011-river-rafting-sunset_769_en.txt,55.25,2815.29,222.54
2011-un-general-assembly_634_en.txt,52.59,2436.56,134.87
2011-us_578_en.txt,54.24,2602.84,119.6
2012-autism_602_en.txt,44.52,1835.96,54.09
2012-chicago-strike-explainer_566_en.txt,47.23,1807.39,72.24
2012-fiscal-cliff_578_en.txt,50.09,2373.71,125.26
2012-football_509_en.txt,52.12,2970.28,109.62
2012-health_555_en.txt,53.07,2583.49,154.38
2012-himalaya-viagra-caterpillar-fungus_626_en.txt,51.55,2565.28,133.03
2012-justice_533_en.txt,44.87,1606.21,90.72
2012-living_652_en.txt,45.1,1819.95,84.95
2012-meast_572_en.txt,49.55,1843.56,70.4
2012-nebraska-hate-crime_520_en.txt,50.0,1942.61,97.74
2012-new-york-pedro-hernandez-profile_592_en.txt,50.61,2424.34,136.76
2012-olympics-london-2012-psychology_604_en.txt,47.44,2007.38,93.38
2012-online-class-warfare_603_en.txt,53.78,3343.13,133.75
2012-opinion_597_en.txt,54.0,2714.45,134.85
2012-opinion_630_en.txt,51.22,2574.6,119.03
2012-peru-van-der-sloot-sentence_554_en.txt,48.43,2103.71,88.35
2012-piazza-campaign-season-for-oscars_593_en.txt,49.23,1911.57,90.78
2012-scotus-tv-indecency_552_en.txt,50.37,1919.67,118.01
2012-south-carolina-indian-adoption_590_en.txt,42.61,1335.08,97.38
2012-tv_507_en.txt,50.4,1809.85,115.56
2012-us_602_en.txt,49.91,2083.69,87.39
2012-us_731_en.txt,48.25,1924.48,106.15
2012-web_530_en.txt,52.52,1908.05,117.47
2012-western-wildfires_580_en.txt,55.71,2517.95,147.99
2012-windows-phone-8-microsoft_595_en.txt,49.57,2505.1,83.76
