feature,persona,test,t-statistic,pvalue,bon,bh,reject
MTLD,human-create,mannwhitneyu,3038.5,6.055059884752192e-87,4.359643117021579e-85,4.359643117021579e-85,True
n_unique_tokens,explain-create,t-test,-25.774171080665198,7.176589014030105e-87,5.167144090101676e-85,1.6363645970916678e-65,True
MTLD,human-continue,mannwhitneyu,7986.5,4.5843924244178865e-68,3.3007625455808784e-66,3.039249506944208e-38,True
Yules,explain-create,mannwhitneyu,8266.0,4.545457214143522e-67,3.2727291941833357e-65,4.6907574390158775e-45,True
Yules,human-create,mannwhitneyu,10202.0,2.250981979223917e-60,1.6207070250412203e-58,2.044065011427578e-27,True
MTLD,human-explain,mannwhitneyu,12017.0,2.004235767495967e-54,1.4430497525970962e-52,1.618013703270717e-36,True
prop_adjacent_dependency_relation_mean,human-explain,t-test,-18.22932161958046,2.0437300468690498e-54,1.4714856337457159e-52,2.7855084402467487e-36,True
n_unique_tokens,continue-explain,mannwhitneyu,37501.5,9.073609702498015e-52,6.532998985798571e-50,3.9743892978220304e-28,True
pos_prop_PUNCT,human-explain,mannwhitneyu,37010.0,5.376036940533917e-49,3.87074659718442e-47,1.5260007264368102e-34,True
TTR,explain-create,t-test,-15.780267470985168,3.7277838043339475e-47,2.684004339120442e-45,1.1695196908906497e-30,True
proportion_unique_tokens,explain-create,t-test,-16.34424691983066,2.605976355008821e-46,1.876302975606351e-44,2.1833475277755112e-29,True
pos_prop_ADJ,human-create,t-test,-16.343225781001248,2.6322289715409795e-46,1.8952048595095053e-44,2.817526479095837e-21,True
n_sentences,explain-create,mannwhitneyu,4768.5,9.402172432785378e-40,6.769564151605472e-38,5.142417180548435e-27,True
MTLD,explain-create,mannwhitneyu,17010.0,1.093007984995465e-39,7.869657491967348e-38,5.033038510431307e-27,True
alpha_ratio,human-continue,mannwhitneyu,4761.5,1.1433732673150581e-39,8.232287524668418e-38,2.9809859945278812e-15,True
pos_prop_CCONJ,human-continue,t-test,-14.758321080554,1.2663539612267534e-39,9.117748520832624e-38,5.5224908754003305e-15,True
mean_word_length,human-explain,t-test,-14.66906165826625,2.9762011504137053e-39,2.1428648282978676e-37,4.2454978279764195e-24,True
rix,human-explain,t-test,-14.599509239988965,5.7860706640426463e-39,4.165970878110705e-37,4.86627816461882e-24,True
lix,human-explain,t-test,-14.268741888480653,1.3483447527255974e-37,9.708082219624302e-36,4.721110113349751e-24,True
gunning_fog,human-explain,t-test,-14.195161229486574,2.70813320579545e-37,1.9498559081727242e-35,2.8502278341731865e-23,True
duplicate_ngram_chr_fraction_5,continue-explain,mannwhitneyu,6088.0,1.8366704992295713e-36,1.3224027594452914e-34,9.162126977828683e-15,True
duplicate_ngram_chr_fraction_5,explain-create,mannwhitneyu,33890.5,2.0596377765621814e-36,1.4829391991247705e-34,1.0223168928956264e-18,True
automated_readability_index,human-explain,t-test,-13.910361110290971,3.9825918920949626e-36,2.867466162308373e-34,1.315049528446305e-20,True
doc_length,explain-create,t-test,-13.86355439150936,6.184317548590899e-36,4.452708634985447e-34,2.5787305936302075e-17,True
Yules,human-continue,mannwhitneyu,18564.0,1.3727774214707021e-35,9.883997434589055e-34,1.1193890839832016e-10,True
flesch_kincaid_grade,human-explain,t-test,-13.743510173022944,1.9075009080460127e-35,1.3734006537931291e-33,4.2196316779135396e-17,True
n_unique_tokens,human-create,t-test,-13.719682049981131,2.38445202225084e-35,1.716805456020605e-33,3.914433968664263e-11,True
n_stop_words,continue-explain,mannwhitneyu,34303.5,3.7125981525793495e-35,2.6730706698571318e-33,2.09403995731078e-11,True
pos_prop_PUNCT,human-continue,mannwhitneyu,34112.5,2.8834359722582705e-34,2.0760739000259547e-32,1.455402268808687e-08,True
flesch_reading_ease,human-explain,t-test,13.308808863032654,1.0944512725598556e-33,7.880049162430961e-32,2.0168737703671306e-14,True
duplicate_ngram_chr_fraction_6,continue-explain,mannwhitneyu,7602.0,1.195235625153346e-33,8.605696501104091e-32,3.492688058665275e-09,True
duplicate_ngram_chr_fraction_6,explain-create,mannwhitneyu,32307.0,2.7343306429589644e-33,1.9687180629304544e-31,2.7210652681879445e-08,True
n_sentences,continue-explain,mannwhitneyu,33571.0,6.596255334318443e-32,4.749303840709279e-30,9.545132859710894e-09,True
Yules,continue-create,mannwhitneyu,20071.0,7.794133136494926e-32,5.611775858276347e-30,0.07689531796649567,True
duplicate_ngram_chr_fraction_7,continue-explain,mannwhitneyu,8744.0,9.125877677853568e-32,6.570631928054569e-30,3.8218614096788955e-08,True
prop_adjacent_dependency_relation_mean,human-continue,t-test,-12.81997380869941,9.803570919500959e-32,7.05857106204069e-30,0.001629440415222955,True
pos_prop_PUNCT,explain-create,t-test,-12.7646052513105,1.6243329040147912e-31,1.1695196908906497e-29,1.1051111838170896e-05,True
sentence_length_median,human-explain,mannwhitneyu,6589.0,2.800757223345461e-31,2.016545200808732e-29,1.6359484135521105e-10,True
oov_ratio,continue-explain,mannwhitneyu,6624.5,5.940900905251439e-31,4.277448651781036e-29,1.6422090119099646e-06,True
alpha_ratio,human-explain,mannwhitneyu,6751.0,2.1139621101054774e-30,1.5220527192759437e-28,3.752675801392579e-09,True
duplicate_ngram_chr_fraction_7,explain-create,mannwhitneyu,31014.0,3.3356698341014756e-30,2.4016822805530623e-28,1.4285738401160205e-05,True
sentence_length_mean,human-explain,t-test,-12.28491456444115,1.2412436947752031e-29,8.936954602381463e-28,1.1719606212271656e-08,True
Yules,continue-explain,mannwhitneyu,68764.0,4.415988108691145e-29,3.1795114382576243e-27,1.6241436297115646e-05,True
