feature,persona,test,t-statistic,pvalue,bon,bh,reject
mtld,human-ashuman,t-test,-21.27869608858218,3.041769274478409e-67,2.190073877624454e-65,2.190073877624454e-65,True
alpha_ratio,human-ashuman,mannwhitneyu,2518.5,4.523347987446396e-50,3.256810550961405e-48,1.6284052754807025e-48,True
mtld,human-asmachine,mannwhitneyu,2621.0,1.76538702828307e-49,1.2710786603638103e-47,4.441214460068757e-40,True
alpha_ratio,human-asmachine,mannwhitneyu,3561.5,3.1924957981000897e-44,2.2985969746320645e-42,1.7155982594892666e-23,True
pos_prop_PUNCT,human-ashuman,mannwhitneyu,34494.5,2.7293251178732352e-42,1.965114084868729e-40,2.5304311871035735e-15,True
pos_prop_PUNCT,human-asmachine,mannwhitneyu,34337.0,1.8505060250286488e-41,1.3323643380206272e-39,4.314854380360059e-18,True
prop_adjacent_dependency_relation_mean,human-asmachine,t-test,-11.014095670974733,9.531101441607037e-25,6.862393037957066e-23,1.5265642040835619e-15,True
yules_k,human-asmachine,mannwhitneyu,7771.0,2.06527053890487e-24,1.4869947880115063e-22,3.1574770672341076e-15,True
yules_k,human-ashuman,t-test,-10.170899131889371,1.039859964881469e-21,7.486991747146577e-20,8.660647071268823e-14,True
pos_prop_ADJ,human-asmachine,t-test,-9.434948872278524,3.595711983633383e-19,2.5889126282160356e-17,5.845457591555064e-14,True
top_ngram_chr_fraction_4,human-asmachine,mannwhitneyu,26849.0,1.4841596428590185e-16,1.0685949428584934e-14,5.731068772362721e-12,True
prop_adjacent_dependency_relation_mean,human-ashuman,t-test,-8.615168220296605,1.757243879933037e-16,1.2652155935517867e-14,3.8596545732739157e-11,True
n_unique_tokens,human-ashuman,mannwhitneyu,10055.0,3.346228989756854e-16,2.409284872624935e-14,4.879554006932459e-11,True
pos_prop_CCONJ,human-asmachine,mannwhitneyu,10061.0,3.508307852482342e-16,2.525981653787286e-14,1.2001997064462418e-09,True
top_ngram_chr_fraction_4,human-ashuman,mannwhitneyu,26773.0,3.511886142620238e-16,2.5285580226865715e-14,1.7476728758918605e-08,True
token_length_median,human-asmachine,mannwhitneyu,11141.0,1.1208428204905413e-15,8.070068307531897e-14,1.7622273073664025e-08,True
pos_prop_ADJ,human-ashuman,t-test,-8.278520998519335,2.0087896604223065e-15,1.4463285555040608e-13,3.598264288183758e-08,True
mean_word_length,human-asmachine,mannwhitneyu,10497.0,8.118691099382033e-15,5.845457591555064e-13,6.122459780761333e-07,True
dependency_distance_std,human-ashuman,mannwhitneyu,27878.0,1.0825808839086029e-14,7.794582364141941e-13,2.931386314753488e-06,True
pos_prop_CCONJ,human-ashuman,mannwhitneyu,10614.0,1.8390438067209966e-14,1.3241115408391175e-12,4.214354953307667e-06,True
token_length_median,human-ashuman,mannwhitneyu,12034.0,7.999299790027602e-13,5.759495848819873e-11,4.053010599507533e-06,True
dependency_distance_std,human-asmachine,mannwhitneyu,27227.0,8.755799513331936e-13,6.304175649598993e-11,1.161478418405858e-06,True
mean_word_length,human-ashuman,mannwhitneyu,11502.0,6.432757622123193e-12,4.631585487928699e-10,2.4925604092718993e-05,True
n_characters,human-ashuman,mannwhitneyu,11552.5,8.810305845850274e-12,6.343420209012197e-10,6.0753094294259845e-05,True
n_characters,human-asmachine,mannwhitneyu,11591.5,1.1217743048281636e-11,8.076774994762778e-10,7.2281850185445195e-06,True
n_unique_tokens,human-asmachine,t-test,-6.7982177926460166,3.9858759943019567e-11,2.869830715897409e-09,5.221545584392049e-05,True
pos_prop_VERB,human-ashuman,t-test,-6.530606883767955,2.0455593401330877e-10,1.4728027248958231e-08,0.00010924703169338326,True
syllables_per_token_median,human-asmachine,mannwhitneyu,14996.5,2.333721651423248e-10,1.6802795890247386e-08,5.894216466604203e-05,True
dependency_distance_mean,human-asmachine,t-test,6.178342968162328,1.6309979077072682e-09,1.174318493549233e-07,6.941803900580559e-05,True
duplicate_ngram_chr_fraction_5,human-ashuman,mannwhitneyu,25272.0,3.640985158108043e-09,2.621509313837791e-07,0.00018277436055166111,True
