"Feature","System","Cohen_d"
"MTLD","continue",0.0926224140612982
"MTLD","explain",-0.346903438595926
"MTLD","create",0.665184094002854
"Yules","continue",-0.410905016667615
"Yules","explain",-0.734346273724869
"Yules","create",-0.0144282057549783
"mean_word_length","continue",1.17591557285444
"mean_word_length","explain",1.14030444554682
"mean_word_length","create",1.35696488509357
"token_length_mean","continue",0.884034535268924
"token_length_mean","explain",0.778609469752052
"token_length_mean","create",1.16162105260315
