feature,persona,test,t-statistic,pvalue,bon,bh,reject
mtld,human-create,mannwhitneyu,10263.0,3.612894166316226e-286,2.5651548580845207e-284,2.5651548580845207e-284,True
mtld,human-continue,mannwhitneyu,21580.0,1.115634359754606e-270,7.921003954257703e-269,1.0727230201356376e-236,True
yules_k,human-create,mannwhitneyu,28080.0,5.59869183521874e-262,3.975071203005305e-260,1.0422338321055534e-180,True
mtld,human-explain,mannwhitneyu,28817.5,5.323666247379634e-261,3.7798030356395397e-259,1.1004328068660081e-149,True
yules_k,human-continue,mannwhitneyu,46384.0,3.0217549862975707e-238,2.145446040271275e-236,9.924775792496465e-138,True
yules_k,human-explain,mannwhitneyu,84269.0,9.933840653505463e-193,7.053026863988879e-191,3.658118334541517e-125,True
type_token_ratio,human-create,mannwhitneyu,93764.5,4.403804924389662e-182,3.12670149631666e-180,2.3527025639166924e-130,True
proportion_unique_tokens,human-create,mannwhitneyu,60801.5,9.586576307501548e-180,6.806469178326098e-178,1.0637241454856511e-123,True
alpha_ratio,human-continue,mannwhitneyu,65581.5,1.4757590194996426e-173,1.0477889038447461e-171,9.149570022927654e-101,True
pos_prop_PUNCT,human-continue,mannwhitneyu,597227.5,1.1377340313211065e-169,8.077911622379856e-168,1.2314425936620454e-94,True
pos_prop_PUNCT,human-explain,mannwhitneyu,587789.5,6.516437039871597e-158,4.6266702983088337e-156,4.793114234914594e-89,True
alpha_ratio,human-explain,mannwhitneyu,83836.5,6.19962144713244e-151,4.4017312274640326e-149,2.0546237051047857e-74,True
token_length_median,human-create,mannwhitneyu,106240.0,2.807783530808384e-142,1.9935263068739525e-140,5.383286250832435e-84,True
alpha_ratio,human-create,mannwhitneyu,91324.5,4.082401175644129e-142,2.8985048347073312e-140,1.5976325551647275e-82,True
prop_adjacent_dependency_relation_mean,human-explain,mannwhitneyu,93123.0,4.887051636037536e-140,3.46980666158665e-138,4.958620569625272e-66,True
type_token_ratio,human-continue,mannwhitneyu,135523.0,6.989278727110187e-139,4.962387896248233e-137,9.161918536946284e-69,True
proportion_unique_tokens,human-continue,mannwhitneyu,97512.5,4.965395530638965e-135,3.525430826753665e-133,3.417993661240889e-67,True
pos_prop_PUNCT,human-create,t-test,27.028903780282672,2.31956590808688e-131,1.6468917947416847e-129,1.0811490204134902e-76,True
token_length_median,human-continue,mannwhitneyu,116947.5,2.8963966606533284e-130,2.056441629063863e-128,4.935657442781281e-65,True
token_length_median,human-explain,mannwhitneyu,121971.0,3.0913676066548034e-126,2.1948710007249103e-124,5.169009088121918e-57,True
n_unique_tokens,human-create,mannwhitneyu,106889.5,1.198562417448621e-124,8.509793163885209e-123,1.325803156192497e-70,True
lix,human-explain,mannwhitneyu,116669.5,2.9411430587800983e-114,2.08821157173387e-112,1.2797401192695574e-45,True
mean_word_length,human-create,mannwhitneyu,121013.5,8.602950314022559e-110,6.108094722956017e-108,7.926283377237033e-66,True
automated_readability_index,human-create,mannwhitneyu,121165.0,1.2268146781920202e-109,8.710384215163343e-108,8.10666703184961e-61,True
lix,human-create,mannwhitneyu,122021.0,9.069412326567319e-109,6.439282751862796e-107,3.86174878610538e-58,True
prop_adjacent_dependency_relation_mean,human-continue,mannwhitneyu,124616.0,3.7150597243846513e-106,2.6376924043131024e-104,5.39186031968009e-53,True
automated_readability_index,human-explain,mannwhitneyu,126687.0,4.28283840537812e-104,3.0408152678184653e-102,3.7194523755465974e-39,True
rix,human-explain,mannwhitneyu,128017.5,8.81726233998315e-103,6.260256261388036e-101,3.984997785510047e-39,True
mean_word_length,human-continue,mannwhitneyu,129157.5,1.1598046507936463e-101,8.234613020634889e-100,8.322806265299684e-47,True
mean_word_length,human-explain,mannwhitneyu,129892.5,6.060253750542956e-101,4.302780162885499e-99,2.081247971404195e-38,True
n_unique_tokens,human-continue,mannwhitneyu,135571.0,1.734426188256402e-95,1.2314425936620453e-93,1.4967257423900994e-37,True
lix,human-continue,mannwhitneyu,137806.0,2.241056792379419e-93,1.5911503225893876e-91,3.2636178120727534e-35,True
automated_readability_index,human-continue,mannwhitneyu,137808.0,2.2507541565823317e-93,1.5980354511734556e-91,1.2406968381094217e-34,True
rix,human-create,mannwhitneyu,139511.0,8.744035889949145e-92,6.208265481863893e-90,3.4948698800142743e-34,True
dependency_distance_std,human-explain,mannwhitneyu,524258.0,7.425951631557822e-90,5.272425658406053e-88,6.231815395026427e-28,True
top_ngram_chr_fraction_2,human-continue,mannwhitneyu,522805.5,1.5884054269299756e-88,1.1277678531202826e-86,2.0699357798238446e-27,True
type_token_ratio,explain-create,mannwhitneyu,195664.5,4.976880832823975e-87,3.533585391305023e-85,0.015642799103820583,True
top_ngram_chr_fraction_2,human-create,mannwhitneyu,518602.0,9.856721304341077e-85,6.998272126082165e-83,1.7403215077708896e-26,True
proportion_unique_tokens,explain-create,mannwhitneyu,148659.5,1.7500736553764174e-83,1.2425522953172563e-81,0.027589259661664832,True
