feature,persona,test,t-statistic,pvalue,bon,bh,reject
MTLD,human-explain,t-test,-16.49880567554765,9.038176441677343e-40,6.507487038007687e-38,6.507487038007687e-38,True
MTLD,human-continue,t-test,-15.494345871956392,1.2976150543846608e-36,9.342828391569558e-35,3.3941544711445233e-29,True
pos_prop_PUNCT,human-create,t-test,14.400808527437155,3.6896812754342524e-33,2.656570518312662e-31,6.4875495762603764e-31,True
alpha_ratio,human-create,mannwhitneyu,277.0,5.860782969922359e-33,4.219763738344098e-31,3.6968290678507674e-24,True
MTLD,human-create,mannwhitneyu,334.0,2.7031456567751567e-32,1.946264872878113e-30,1.986078268404498e-23,True
dependency_distance_mean,human-continue,t-test,13.639044281739862,9.428206864290343e-31,6.788308942289047e-29,4.716251433273793e-24,True
pos_prop_PUNCT,human-continue,mannwhitneyu,10610.0,5.28301830057968e-29,3.803773176417369e-27,2.8468151900893187e-19,True
pos_prop_VERB,human-continue,t-test,-12.358148967083226,1.0067222256918488e-26,7.248400024981311e-25,4.467270313513247e-19,True
sentence_length_std,human-explain,t-test,11.994029239036207,1.3770907681950226e-25,9.915053531004163e-24,1.4529316315441825e-12,True
Yules,human-create,mannwhitneyu,965.0,2.0537939265837598e-25,1.478731627140307e-23,3.040992028430023e-16,True
alpha_ratio,human-continue,t-test,-11.914247204649067,2.438503531547893e-25,1.755722542714483e-23,3.7347066552251005e-14,True
Yules,human-continue,t-test,-11.847530550876467,3.930209527728161e-25,2.8297508599642756e-23,1.5856912798192011e-12,True
pos_prop_VERB,human-create,t-test,-11.671714089120185,1.379221019725346e-24,9.93039134202249e-23,1.2109196811198584e-14,True
pos_prop_VERB,human-explain,t-test,-11.563723043060172,2.9765990249147625e-24,2.143151297938629e-22,4.246000636924676e-08,True
mean_word_length,human-create,t-test,-11.257782605984332,2.6095914315972547e-23,1.8789058307500234e-21,2.1554968093825592e-11,True
dependency_distance_std,human-explain,t-test,10.788422675270198,7.099877575167771e-22,5.111911854120795e-20,9.68389326406132e-08,True
sentence_length_mean,human-continue,t-test,10.26136214251994,2.7677369903646154e-20,1.992770633062523e-18,9.093376619052034e-10,True
