feature,persona,test,t-statistic,pvalue,bon,bh,reject
pos_prop_VERB,human-create,t-test,-23.025578510240923,6.753660825617756e-58,4.862635794444785e-56,4.862635794444785e-56,True
pos_prop_VERB,human-continue,t-test,-20.365083774021702,1.8472344198121984e-50,1.3300087822647828e-48,3.5375258952006337e-41,True
pos_prop_VERB,human-explain,t-test,-19.036467983866626,1.306370256488742e-46,9.405865846718943e-45,1.0366815818737946e-34,True
pos_prop_PUNCT,human-continue,t-test,17.725941085800418,9.826460820001761e-43,7.075051790401267e-41,1.1452578769774612e-30,True
MTLD,human-create,t-test,-17.28574138645655,2.0425939440477584e-41,1.470667639714386e-39,1.7324195429715963e-34,True
alpha_ratio,human-create,t-test,-17.22724547926152,3.0608268832217063e-41,2.2037953559196284e-39,2.7707196524827965e-27,True
first_order_coherence,human-explain,t-test,-17.13369726894725,5.84801924487409e-41,4.210573856309345e-39,2.5435156954703282e-26,True
sentence_length_std,human-create,t-test,16.601665611259374,2.353862274496281e-39,1.6947808376373222e-37,1.1243386359621083e-23,True
dependency_distance_mean,explain-create,t-test,15.790354686465008,6.846141604490398e-37,4.929221955233087e-35,8.900407900650446e-12,True
pos_prop_PUNCT,human-explain,t-test,15.528088231399924,4.319506591140811e-36,3.1100447456213837e-34,1.681080147197747e-20,True
pos_prop_PUNCT,human-create,t-test,15.382454863415157,1.2030691270636086e-35,8.662097714857981e-34,2.930407472225142e-19,True
alpha_ratio,human-continue,mannwhitneyu,147.0,1.990201256780612e-32,1.4329449048820407e-30,5.310799024807538e-18,True
sentence_length_std,human-continue,mannwhitneyu,9813.0,6.362543760985895e-32,4.581031507909845e-30,4.5958018945024324e-17,True
sentence_length_std,human-explain,mannwhitneyu,9805.0,8.018315853618141e-32,5.7731874146050616e-30,1.3972943324665617e-08,True
alpha_ratio,human-explain,mannwhitneyu,302.5,1.7294477075245022e-30,1.2452023494176415e-28,1.1423544479940545e-07,True
dependency_distance_std,human-create,mannwhitneyu,9521.0,2.3089330437356637e-28,1.662431791489678e-26,1.2777104709580454e-11,True
mean_word_length,human-continue,t-test,-12.923172006143982,4.189646747824384e-28,3.016545658433557e-26,7.489874363075085e-10,True
dependency_distance_std,human-explain,mannwhitneyu,9494.0,4.802721648013732e-28,3.457959586569887e-26,2.6425451642041837e-06,True
second_order_coherence,human-continue,mannwhitneyu,527.0,8.464152427773773e-28,6.094189747997116e-26,1.0779968843334137e-08,True
pos_prop_PROPN,human-create,mannwhitneyu,9471.0,8.93227398212589e-28,6.431237267130642e-26,2.025131021964391e-08,True
pos_prop_AUX,continue-create,t-test,12.78903759239345,1.0783968065780336e-27,7.764457007361841e-26,6.741653898020893e-06,True
second_order_coherence,human-explain,mannwhitneyu,567.0,2.4728624817072634e-27,1.7804609868292298e-25,1.6783775186891428e-05,True
dependency_distance_std,human-continue,mannwhitneyu,9428.0,2.82561308122608e-27,2.0344414184827777e-25,1.374150435740785e-07,True
pos_prop_AUX,human-continue,t-test,-12.622221819969868,3.4907140282068575e-27,2.5133141003089375e-25,1.788471862983436e-07,True
first_order_coherence,human-continue,mannwhitneyu,641.0,1.7528439354123096e-26,1.2620476334968629e-24,1.9594631979614246e-07,True
pos_prop_AUX,explain-create,t-test,11.88748685634181,6.036217554792042e-25,4.34607663945027e-23,2.9239546967702453e-05,True
pos_prop_DET,human-create,t-test,-11.7832785429652,1.2492651510690093e-24,8.994709087696867e-23,1.4333340503876842e-06,True
MTLD,human-continue,t-test,-11.664750749762979,2.8536501260489075e-24,2.0546280907552135e-22,4.754109047641231e-07,True
mean_word_length,human-create,mannwhitneyu,933.0,2.901297477547732e-23,2.0889341838343673e-21,9.235135308898023e-06,True
pos_prop_PRON,human-explain,mannwhitneyu,953.0,4.731313662293922e-23,3.406545836851624e-21,0.0009435757689565816,True
pos_prop_PRON,human-create,mannwhitneyu,965.0,6.338600090601086e-23,4.563792065232781e-21,2.9688724880205886e-05,True
pos_prop_AUX,human-explain,mannwhitneyu,1072.5,8.3746589163656945e-22,6.0297544197833e-20,0.002966175181483997,True
pos_prop_PART,human-continue,mannwhitneyu,1075.5,8.992008768808845e-22,6.474246313542368e-20,0.0005639753109829554,True
mean_word_length,human-explain,mannwhitneyu,1116.0,2.334833537774649e-21,1.6810801471977473e-19,0.004246129020540813,True
first_order_coherence,explain-create,t-test,10.421245328193512,1.490852055323159e-20,1.0734134798326744e-18,0.003955771909311793,True
Yules,continue-create,mannwhitneyu,1204.0,1.7949060681284557e-20,1.292332369052488e-18,0.00705624834145891,True
dependency_distance_mean,human-create,t-test,10.258951452236397,4.477011415899522e-20,3.223448219447656e-18,0.01819910710534279,True
second_order_coherence,continue-create,t-test,9.863531257414644,6.3852094180075275e-19,4.59735078096542e-17,0.009071037372534436,True
MTLD,human-explain,t-test,-9.825979938593369,8.20435627741702e-19,5.907136519740255e-17,0.00937299778329343,True
pos_prop_PRON,human-continue,mannwhitneyu,1378.0,8.851331708012563e-19,6.372958829769046e-17,0.012781445122313245,True
pos_prop_NOUN,human-create,t-test,-9.664213235245214,2.4069949476073948e-18,1.7330363622773242e-16,0.031293864896440024,True
MTLD,explain-create,t-test,-9.550157878714238,5.1222559588659066e-18,3.688024290383453e-16,0.031495896847281366,True
pos_prop_DET,human-continue,t-test,-9.477053461748252,8.297975642851614e-18,5.974542462853162e-16,0.0165326509863153,True
first_order_coherence,continue-create,mannwhitneyu,8478.0,1.9474644745625152e-17,1.4021744216850109e-15,0.031612298327386094,True
pos_prop_CCONJ,human-continue,t-test,-9.276251009585742,3.1007529628543973e-17,2.232542133255166e-15,0.01799952029567653,True
token_length_median,human-continue,mannwhitneyu,1953.5,7.861889093765118e-17,5.660560147510885e-15,0.027927766227582217,True
second_order_coherence,explain-create,t-test,9.022171209964414,1.6189548556099836e-16,1.1656474960391882e-14,0.14241634999514244,True
TTR,continue-create,t-test,-8.870929266623177,4.2929997251260205e-16,3.0909598020907345e-14,0.159798732534816,True
oov_ratio,human-continue,t-test,8.685219262376785,1.408590707125261e-15,1.014185309130188e-13,0.04083079503688497,True
Yules,explain-create,mannwhitneyu,1817.0,7.48033761977343e-15,5.38584308623687e-13,0.2554798725326104,True
sentence_length_mean,explain-create,t-test,8.416972985237996,7.689041561889627e-15,5.536109924560531e-13,0.2543702446200471,True
MTLD,continue-create,t-test,-8.398584929488868,8.630290099515053e-15,6.213808871650838e-13,0.34335321986143236,True
oov_ratio,human-create,t-test,8.202969719707799,2.9273215072721123e-14,2.1076714852359207e-12,0.4703453497103443,True
pos_prop_PART,human-create,t-test,-8.101306218516466,5.4935807639702765e-14,3.955378150058599e-12,0.48145730054890284,True
pos_prop_ADV,continue-create,t-test,8.089417545823284,5.911809717481835e-14,4.256502996586921e-12,0.37325556035918744,True
dependency_distance_mean,continue-create,t-test,7.845106175140116,2.639519227714429e-13,1.9004538439543888e-11,0.4095399058826588,True
proportion_unique_tokens,continue-create,t-test,-7.816411754588141,3.141969643598175e-13,2.2622181433906858e-11,0.41138043011346476,True
proportion_unique_tokens,explain-create,t-test,-7.733910747760403,5.176211751097053e-13,3.726872460789878e-11,0.39541784016256715,True
token_length_median,human-create,mannwhitneyu,2378.5,7.821027349189966e-13,5.6311396914167755e-11,0.6575365439758242,True
TTR,explain-create,t-test,-7.606586794177877,1.1125509875813057e-12,8.010367110585401e-11,0.4886047627166314,True
sentence_length_mean,human-create,t-test,7.449165197106673,2.83935660212899e-12,2.0443367535328726e-10,0.678644489834266,True
duplicate_ngram_chr_fraction_5,explain-create,t-test,7.387701262035122,4.081977640931707e-12,2.939023901470829e-10,0.7848385656401755,True
