,continue,human,create,explain
token_length_mean,5.850111856823267,5.6289592760181,5.86968085106383,5.73838630806846
token_length_median,5.0,5.0,5.0,5.0
token_length_std,3.2669990794689423,3.234832103200739,3.2488190823834513,3.201851288665193
sentence_length_mean,23.526315789473685,34.0,26.857142857142858,27.266666666666666
sentence_length_median,23.0,28.0,27.0,24.0
sentence_length_std,8.677668987589453,18.098023691510118,4.549052379454474,7.801424371371053
syllables_per_token_mean,1.8478747203579418,1.7217194570135748,1.8111702127659575,1.78239608801956
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,1.0802844527467745,1.0187956393604145,1.1457519656419077,1.0461633851575736
n_tokens,447,442,376,409
n_unique_tokens,219,245,207,189
proportion_unique_tokens,0.4899328859060403,0.5542986425339367,0.550531914893617,0.4621026894865526
n_characters,2693,2554,2256,2401
n_sentences,19,13,14,15
flesch_reading_ease,26.62558813140234,26.66753393665161,26.350000000000023,28.36862428687857
flesch_kincaid_grade,15.390184858118452,17.986289592760183,16.256094224924016,16.076273838630808
smog,17.060904035522842,18.572220574447478,17.532861487889196,17.731099999999998
gunning_fog,19.522383139055695,22.197285067873306,20.210942249240123,20.491018744906274
automated_readability_index,17.88718474037443,22.082398190045247,19.64476823708207,19.231132844335782
coleman_liau_index,17.34049217002237,16.427692307692308,17.611595744680844,16.856136919315407
lix,62.676203932650424,71.10407239819006,67.28267477203647,66.87546862265688
rix,9.210526315789474,12.615384615384615,10.857142857142858,10.8
first_order_coherence,0.8551624086168077,0.8701198299725851,0.8896370851076566,0.8739392927714756
second_order_coherence,0.8551317628692178,0.8448720140890642,0.8946741471687952,0.8632561151797955
entropy,15.334146057722858,12.352045307634812,11.980978767285837,13.078638481700962
perplexity,4565990.647247954,231432.9106349824,159688.25179545739,478608.6279170109
per_word_perplexity,8697.125042377056,455.5765957381543,375.73706304813504,1033.711939345596
dependency_distance_mean,2.8935784113852523,3.46240955290729,3.1147995203654824,3.202858244652586
dependency_distance_std,0.5627491749237469,0.7050867796119227,0.5727310310385443,0.6277474372783478
prop_adjacent_dependency_relation_mean,0.4698734513041507,0.44046113514439306,0.46431789571696747,0.4861285156592511
prop_adjacent_dependency_relation_std,0.06793302638680095,0.05281331724857909,0.0560549887706246,0.06000339227282741
passed_quality_check,True,True,True,True
n_stop_words,167.0,169.0,145.0,165.0
alpha_ratio,0.8495238095238096,0.8622047244094488,0.8823529411764706,0.8768898488120951
mean_word_length,5.12952380952381,5.02755905511811,5.308235294117647,5.185745140388769
doc_length,525.0,508.0,425.0,463.0
duplicate_ngram_chr_fraction_5,0.01854812919731372,0.015420717398592021,0.0183206106870229,0.047092400998929716
top_ngram_chr_fraction_2,0.014390789894467541,0.00670465973851827,0.007633587786259542,0.016054227613271493
top_ngram_chr_fraction_3,0.012791813239526703,0.01340931947703654,0.015267175572519083,0.016054227613271493
oov_ratio,0.0019047619047619048,0.005905511811023622,,
pos_prop_DET,0.07047619047619047,0.07086614173228346,0.08941176470588236,0.09071274298056156
pos_prop_ADJ,0.16380952380952382,0.13385826771653545,0.15529411764705883,0.1101511879049676
pos_prop_NOUN,0.2438095238095238,0.24803149606299213,0.23529411764705882,0.23758099352051837
pos_prop_VERB,0.08761904761904762,0.09055118110236221,0.11058823529411765,0.10367170626349892
pos_prop_ADP,0.10857142857142857,0.1141732283464567,0.10588235294117647,0.12311015118790497
pos_prop_NUM,0.0019047619047619048,0.011811023622047244,0.002352941176470588,0.0064794816414686825
pos_prop_PUNCT,0.14285714285714285,0.12007874015748031,0.10588235294117647,0.11447084233261338
pos_prop_PROPN,0.045714285714285714,0.06692913385826772,0.042352941176470586,0.0734341252699784
pos_prop_AUX,0.045714285714285714,0.031496062992125984,0.03529411764705882,0.02159827213822894
pos_prop_SCONJ,0.009523809523809525,0.00984251968503937,0.011764705882352941,0.01511879049676026
pos_prop_CCONJ,0.04,0.04330708661417323,0.03764705882352941,0.04967602591792657
pos_prop_ADV,0.01904761904761905,0.02952755905511811,0.03294117647058824,0.02591792656587473
pos_prop_PRON,0.009523809523809525,0.00984251968503937,0.01411764705882353,0.017278617710583154
pos_prop_PART,0.011428571428571429,0.011811023622047244,0.021176470588235293,0.01079913606911447
connectives,10,17,10,18
pos_prop_X,,0.007874015748031496,,
duplicate_ngram_chr_fraction_6,,,0.0183206106870229,0.022119158044951837
top_ngram_chr_fraction_4,,,0.022900763358778626,
