,create,human,explain,continue
dependency_distance_mean,2.9436723472476785,3.489022031746919,3.169185919775249,2.668357990722969
dependency_distance_std,0.9697501599096069,1.019022079043311,0.7754903482205522,0.913600049694728
prop_adjacent_dependency_relation_mean,0.4360937972326312,0.42739636368505396,0.46039512296934837,0.484481967546543
prop_adjacent_dependency_relation_std,0.06074171167427669,0.08281697126757899,0.07127305292304822,0.0980214303571728
first_order_coherence,0.44041538664272856,0.6243340982632204,0.6778444179466793,0.7902914452552795
second_order_coherence,0.3948175758123398,0.6455093707357135,0.678830909729004,0.7882197101910909
pos_prop_NOUN,0.2459016393442623,0.21161825726141079,0.2545871559633027,0.24604966139954854
pos_prop_PUNCT,0.11065573770491803,0.12448132780082988,0.10550458715596331,0.1038374717832957
pos_prop_ADJ,0.09836065573770492,0.06431535269709543,0.0779816513761468,0.09029345372460497
pos_prop_VERB,0.08196721311475409,0.08921161825726141,0.07568807339449542,0.09706546275395034
pos_prop_DET,0.14959016393442623,0.12655601659751037,0.14220183486238533,0.16252821670428894
pos_prop_PRON,0.03278688524590164,0.03319502074688797,0.03211009174311927,0.04288939051918736
pos_prop_ADV,0.05122950819672131,0.0995850622406639,0.08027522935779817,0.04288939051918736
pos_prop_ADP,0.10655737704918032,0.0975103734439834,0.12155963302752294,0.09029345372460497
pos_prop_AUX,0.045081967213114756,0.05186721991701245,0.04128440366972477,0.04288939051918736
pos_prop_PART,0.014344262295081968,0.012448132780082987,0.0022935779816513763,0.01805869074492099
pos_prop_SCONJ,0.014344262295081968,0.024896265560165973,0.022935779816513763,0.006772009029345372
pos_prop_CCONJ,0.036885245901639344,0.024896265560165973,0.027522935779816515,0.04740406320541761
pos_prop_NUM,0.006147540983606557,0.016597510373443983,0.006880733944954129,
pos_prop_PROPN,0.006147540983606557,0.022821576763485476,0.009174311926605505,0.006772009029345372
entropy,8.829495164735771,6.704557702836874,6.558808603622099,8.576971138445106
perplexity,6832.836487958901,816.1169802484127,705.4307461075742,5308.003943808353
per_word_perplexity,14.001714114669879,1.693188755702101,1.6179604268522345,11.981950211757004
passed_quality_check,True,True,True,True
n_stop_words,213.0,204.0,187.0,196.0
alpha_ratio,0.8831967213114754,0.8630705394190872,0.8899082568807339,0.8961625282167043
mean_word_length,6.227459016393443,6.130705394190872,6.5504587155963305,6.704288939051919
doc_length,488.0,482.0,436.0,443.0
duplicate_ngram_chr_fraction_5,0.018433179723502304,0.01571594877764843,,0.06833036244800951
top_ngram_chr_fraction_2,0.01152073732718894,0.004365541327124563,0.007395993836671803,0.0074272133095662505
top_ngram_chr_fraction_3,0.021601382488479263,,,0.03297682709447415
oov_ratio,0.022540983606557378,0.02074688796680498,0.02981651376146789,0.020316027088036117
flesch_reading_ease,-5.7798868873062474,-0.4340150422419242,-14.632027972027942,-17.712639507847285
flesch_kincaid_grade,18.966309174696274,17.877974448794564,19.704149184149184,19.52318639798489
smog,18.095662686080047,16.762892049616053,18.19445295124062,17.16719212053459
gunning_fog,21.807959782153333,19.756192046157018,22.783216783216787,21.926332106180976
automated_readability_index,20.828452031839127,20.05540593447352,21.369790209790217,20.89489246270103
coleman_liau_index,23.141474654377877,22.924644549763034,24.89641025641026,25.569068010075565
lix,63.04524507750314,60.76488769833093,64.13752913752913,60.60928114706452
rix,8.545454545454545,7.782608695652174,8.227272727272727,6.923076923076923
token_length_mean,6.877880184331797,6.860189573459715,7.205128205128205,7.365239294710327
token_length_median,6.0,6.0,6.0,6.0
token_length_std,4.4655691629150525,4.477101080753555,4.79732557534624,4.995726209306828
sentence_length_mean,19.727272727272727,18.347826086956523,17.727272727272727,15.26923076923077
sentence_length_median,20.5,16.0,17.0,15.5
sentence_length_std,9.230295071526045,7.860792612166624,5.777557034703872,5.140769863833569
syllables_per_token_mean,2.2764976958525347,2.2298578199052135,2.405128205128205,2.4710327455919394
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.4550248833903197,1.4882667417088793,1.6454987113955668,1.7056114798916855
n_tokens,434,422,390,397
n_unique_tokens,222,283,245,216
proportion_unique_tokens,0.511520737327189,0.6706161137440758,0.6282051282051282,0.5440806045340051
n_characters,3039,2955,2856,2970
n_sentences,22,23,22,26
connectives,11,21,16,7
connectives_cap,3,5,6,3
pos_prop_X,,,,0.002257336343115124
duplicate_ngram_chr_fraction_6,,,,0.06833036244800951
duplicate_ngram_chr_fraction_7,,,,0.06833036244800951
duplicate_ngram_chr_fraction_8,,,,0.06833036244800951
duplicate_ngram_chr_fraction_9,,,,0.04040404040404041
duplicate_ngram_chr_fraction_10,,,,0.04040404040404041
