,explain,human-full,create,human-cont,continue
first_order_coherence,0.7836296274548485,0.7169088042444653,0.785500599278344,0.7590604547796578,0.8364537994066874
second_order_coherence,0.7621428400278092,0.6974454624312264,0.7803589334854713,0.759205946964877,0.827411196061543
flesch_reading_ease,60.16291312901224,66.17179940396673,48.2467238267148,64.51551351351355,43.90556818181818
flesch_kincaid_grade,9.825074549596192,9.327246942760251,11.445201134605469,9.775807807807805,12.600795454545452
smog,12.872792785125622,12.137299328119639,14.503471521099527,12.340626583579944,15.078166124597352
gunning_fog,13.813253261544833,13.193861542150515,15.928726147498711,13.564684684684686,16.754545454545458
automated_readability_index,12.494243114516465,11.41512794162984,14.784445590510579,12.08846846846847,16.023607954545454
coleman_liau_index,12.612209567198178,10.505297845373889,15.56404332129964,10.854054054054053,15.879431818181818
lix,49.79509215158417,45.78566779707464,55.52578648788035,47.42522522522522,61.20454545454545
rix,5.954545454545454,5.216216216216216,7.071428571428571,5.6,8.625
passed_quality_check,True,True,True,True,True
n_stop_words,201.0,384.0,226.0,326.0,166.0
alpha_ratio,0.9036885245901639,0.8401682439537329,0.8799368088467614,0.8393524283935243,0.9116161616161617
mean_word_length,4.680327868852459,4.127234490010515,5.022116903633491,4.155666251556663,5.151515151515151
doc_length,488.0,951.0,633.0,803.0,396.0
top_ngram_chr_fraction_2,0.03310040456050018,0.018023748939779476,0.017158176943699734,0.02123938030984508,0.015050167224080268
oov_ratio,0.020491803278688523,0.011566771819137749,,0.012453300124533,0.020202020202020204
entropy,12.597698527587166,29.418358993565395,14.876965059882975,25.471844719491177,9.691196580508258
perplexity,295876.828741236,5973529015520.615,2890572.2760591027,115420142343.1815,16174.586914200752
per_word_perplexity,606.3049769287624,6281313370.684138,4566.46489108863,143736167.3015959,40.8449164500019
token_length_mean,5.0842824601366745,4.7097591888466415,5.588447653429603,4.75975975975976,5.6164772727272725
token_length_median,4.0,4.0,5.0,4.0,5.0
token_length_std,2.7508050380886506,2.559441591467599,2.899074315406386,2.568450755148708,2.8945601564803365
sentence_length_mean,19.954545454545453,21.324324324324323,19.785714285714285,22.2,22.0
sentence_length_median,20.5,21.0,18.5,21.0,22.0
sentence_length_std,5.935082696270562,11.568956723862248,7.579847071851322,10.805554127392078,6.754628043053148
syllables_per_token_mean,1.4943052391799545,1.4068441064638784,1.6371841155234657,1.4159159159159158,1.6619318181818181
syllables_per_token_median,1.0,1.0,1.0,1.0,1.0
syllables_per_token_std,0.8426768324564783,0.7622286064216708,0.9557672246745669,0.7728416533534506,0.9365827124015377
n_tokens,439,789,554,666,352
n_unique_tokens,235,316,305,286,220
proportion_unique_tokens,0.5353075170842825,0.4005069708491762,0.5505415162454874,0.4294294294294294,0.625
n_characters,2284,3925,3179,3337,2040
n_sentences,22,37,28,30,16
dependency_distance_mean,2.8136668365891064,2.9333950100818895,2.754733184112528,3.0154784144357105,3.0317311420169917
dependency_distance_std,0.7671065948850175,1.0492384740261274,0.4449111308385978,0.8857537128209874,0.7920127070192101
prop_adjacent_dependency_relation_mean,0.4777009516085648,0.4097817635832753,0.48178610936818683,0.41928570717713687,0.4841451681164178
prop_adjacent_dependency_relation_std,0.06728632943424924,0.11771969681545365,0.07221781103843673,0.10324894940654333,0.06693466395856346
pos_prop_DET,0.0860655737704918,0.10410094637223975,0.07740916271721959,0.10834371108343711,0.05808080808080808
pos_prop_NOUN,0.23565573770491804,0.1819137749737119,0.21958925750394945,0.18181818181818182,0.22727272727272727
pos_prop_AUX,0.03278688524590164,0.04206098843322818,0.03317535545023697,0.0410958904109589,0.05303030303030303
pos_prop_ADP,0.125,0.08096740273396424,0.11532385466034756,0.08094645080946451,0.12121212121212122
pos_prop_NUM,0.004098360655737705,0.010515247108307046,0.001579778830963665,0.009962640099626401,
pos_prop_PUNCT,0.0942622950819672,0.15352260778128285,0.11848341232227488,0.15442092154420922,0.08838383838383838
pos_prop_ADJ,0.05327868852459016,0.04942166140904311,0.07424960505529225,0.047322540473225407,0.07828282828282829
pos_prop_VERB,0.12090163934426229,0.12933753943217666,0.13902053712480253,0.1320049813200498,0.12878787878787878
pos_prop_PROPN,0.08401639344262295,0.08622502628811778,0.09162717219589257,0.08094645080946451,0.05303030303030303
pos_prop_PRON,0.05737704918032787,0.07360672975814932,0.044233807266982623,0.07098381070983811,0.06313131313131314
pos_prop_PART,0.02663934426229508,0.030494216614090432,0.023696682464454975,0.0323785803237858,0.03787878787878788
pos_prop_CCONJ,0.036885245901639344,0.02103049421661409,0.020537124802527645,0.019925280199252802,0.03535353535353535
pos_prop_ADV,0.02459016393442623,0.015772870662460567,0.018957345971563982,0.017434620174346202,0.03535353535353535
pos_prop_SCONJ,0.018442622950819672,0.019978969505783387,0.022116903633491312,0.021170610211706103,0.020202020202020204
connectives,13,16,8,12,11
duplicate_ngram_chr_fraction_5,,0.06955046649703138,,0.07646176911544228,
duplicate_ngram_chr_fraction_6,,0.041560644614079725,,0.04897551224387806,
duplicate_ngram_chr_fraction_7,,0.010602205258693808,,0.01249375312343828,
top_ngram_chr_fraction_3,,0.026717557251908396,0.0193029490616622,0.031484257871064465,
top_ngram_chr_fraction_4,,0.02820186598812553,,0.033233383308345826,
pos_prop_SYM,,0.0010515247108307045,,0.0012453300124533001,
