,human-full,continue,explain,human-cont,create
token_length_mean,4.796638655462185,5.227963525835866,4.820276497695852,4.677704194260485,5.209213051823417
token_length_median,4.0,4.0,4.0,4.0,4.0
token_length_std,2.6385612572168164,2.971957454461897,2.7624796710139994,2.6011310209206404,2.979197156196924
sentence_length_mean,17.0,21.933333333333334,16.692307692307693,15.620689655172415,19.296296296296298
sentence_length_median,15.0,21.0,16.0,15.0,20.0
sentence_length_std,10.169983846032963,4.523518787649967,4.998224536844064,9.415371851954793,5.496226414650091
syllables_per_token_mean,1.4252100840336135,1.5501519756838906,1.4147465437788018,1.3973509933774835,1.6084452975047985
syllables_per_token_median,1.0,1.0,1.0,1.0,1.0
syllables_per_token_std,0.714109716330156,0.827752830825643,0.7518726576779013,0.6912841510304577,0.9022501628775843
n_tokens,595,329,217,453,521
n_unique_tokens,316,192,134,261,242
proportion_unique_tokens,0.5310924369747899,0.5835866261398176,0.6175115207373272,0.5761589403973509,0.46449136276391556
n_characters,2976,1764,1081,2216,2788
n_sentences,35,15,13,29,27
flesch_reading_ease,69.00722689075631,53.42980952380955,70.20475008862107,72.76410596026493,51.174787090353334
flesch_kincaid_grade,7.85747899159664,11.255793313069912,7.614009216589864,6.99081068737155,10.91521006611218
smog,10.355215969177355,13.348371206891418,10.389873798559362,9.753983421225431,13.145279522264076
gunning_fog,10.564705882352943,14.60919959473151,10.547890818858562,9.69198447134049,14.090879363048272
automated_readability_index,9.66216806722689,14.160374873353597,9.61965615030131,8.412331582553094,12.75354162223644
coleman_liau_index,10.663058823529408,13.590881458966564,10.769953917050692,9.80997792494481,13.296199616122841
lix,44.73109243697479,55.9758865248227,42.95958879829847,41.66925477658522,52.885547735835644
rix,4.714285714285714,7.466666666666667,4.384615384615385,4.068965517241379,6.481481481481482
entropy,19.696219788579764,10.57642951065868,7.354801865384462,15.70975012433766,17.93820121779592
perplexity,358063100.9893236,39199.90140742496,1563.6871441480225,6647491.5060848445,61725100.278541386
per_word_perplexity,507890.92338911153,105.94567947952692,6.25474857659209,12287.41498352097,105153.49280841803
dependency_distance_mean,2.616457005055845,2.8350642052858386,2.6833084078130107,2.566177847245412,2.594134030792399
dependency_distance_std,0.8012648753132321,0.35412088651737283,0.4341312180735386,0.8242500050131824,0.3474564948334419
prop_adjacent_dependency_relation_mean,0.405070433991335,0.42883349448889446,0.43599266964261507,0.3897186009162401,0.4539610689202736
prop_adjacent_dependency_relation_std,0.110973170116783,0.05761734584205034,0.062354784666674684,0.11516912294601171,0.06779486485477228
passed_quality_check,True,True,True,True,True
n_stop_words,286.0,157.0,101.0,226.0,256.0
alpha_ratio,0.8340425531914893,0.8945945945945946,0.844,0.8280961182994455,0.8977853492333902
mean_word_length,4.221276595744681,4.767567567567568,4.324,4.096118299445472,4.7495741056218055
doc_length,705.0,370.0,250.0,541.0,587.0
top_ngram_chr_fraction_2,0.02155051777218024,0.02635361763296598,0.012345679012345678,0.02470984649943841,0.0211672210462655
top_ngram_chr_fraction_3,0.005877413937867338,,0.018518518518518517,,
oov_ratio,0.0014184397163120568,,,,
first_order_coherence,0.6333957313943435,0.8567764290741512,0.7989776035149893,0.6204807182906994,0.8113026160460252
second_order_coherence,0.653283980308157,0.8572131074391879,0.7590231949632819,0.6473361954644874,0.8100678300857544
pos_prop_PUNCT,0.14326241134751774,0.10270270270270271,0.12,0.14972273567467653,0.10051107325383304
pos_prop_PROPN,0.1148936170212766,0.03783783783783784,0.096,0.09796672828096119,0.054514480408858604
pos_prop_PRON,0.08226950354609928,0.10270270270270271,0.084,0.08502772643253234,0.07836456558773425
pos_prop_VERB,0.11205673758865248,0.11351351351351352,0.092,0.11275415896487985,0.10732538330494037
pos_prop_ADP,0.1276595744680851,0.12702702702702703,0.14,0.12014787430683918,0.12436115843270869
pos_prop_NOUN,0.17163120567375886,0.22162162162162163,0.168,0.17929759704251386,0.23339011925042588
pos_prop_SCONJ,0.019858156028368795,0.016216216216216217,0.016,0.018484288354898338,0.010221465076660987
pos_prop_DET,0.07092198581560284,0.07297297297297298,0.064,0.07578558225508318,0.08006814310051108
pos_prop_ADJ,0.04113475177304964,0.1,0.064,0.038817005545286505,0.07155025553662692
pos_prop_AUX,0.03971631205673759,0.021621621621621623,0.052,0.04066543438077634,0.03577512776831346
pos_prop_ADV,0.015602836879432624,0.024324324324324326,0.028,0.014787430683918669,0.02555366269165247
pos_prop_NUM,0.02269503546099291,0.005405405405405406,0.032,0.02033271719038817,0.005110732538330494
pos_prop_PART,0.01702127659574468,0.013513513513513514,0.02,0.018484288354898338,0.022146507666098807
pos_prop_CCONJ,0.019858156028368795,0.04054054054054054,0.02,0.025878003696857672,0.05110732538330494
pos_prop_SYM,0.0014184397163120568,,0.004,0.0018484288354898336,
connectives,26,13,11,20,12
duplicate_ngram_chr_fraction_5,,,,,0.02902933172059268
