,create,human-full,explain,continue,human-cont
token_length_mean,4.866834170854271,4.823734729493892,5.404347826086957,4.869436201780416,4.85064935064935
token_length_median,4.0,4.0,5.0,4.0,4.0
token_length_std,2.7894913222346296,2.80774210357851,2.748434852763765,2.8169975771710125,2.836334597793093
sentence_length_mean,18.511627906976745,17.90625,25.555555555555557,19.823529411764707,17.11111111111111
sentence_length_median,19.0,17.5,25.0,20.0,15.0
sentence_length_std,9.020318390253571,8.719086015030474,7.025526648683217,6.363825099434599,9.101621073898842
syllables_per_token_mean,1.4748743718592965,1.4537521815008727,1.5956521739130434,1.4807121661721068,1.4588744588744589
syllables_per_token_median,1.0,1.0,1.0,1.0,1.0
syllables_per_token_std,0.8023970741594091,0.8165226921668122,0.8782285831344847,0.8045210328051539,0.8357781643974564
n_tokens,796,573,230,337,462
n_unique_tokens,384,312,157,168,262
proportion_unique_tokens,0.4824120603015075,0.5445026178010471,0.6826086956521739,0.49851632047477745,0.5670995670995671
n_characters,4055,2910,1272,1690,2361
n_sentences,43,32,9,17,27
first_order_coherence,0.7074296190625146,0.6877357440610086,0.8238512501120567,0.8276076018810272,0.6767797573254659
second_order_coherence,0.6974433108073909,0.6950539896885554,0.8307596019336155,0.8245558659235637,0.7000114703178406
entropy,28.2314203731527,20.59929726286424,6.687298224726392,13.47496692205582,17.147251755560962
perplexity,1822846439732.7966,883407602.341255,802.1520871403094,711383.4840158282,27987030.252557125
per_word_perplexity,1914754663.5848703,1271090.075311158,3.1334065903918336,1847.7493091320214,49798.98621451446
flesch_reading_ease,63.27132581512214,65.67272169502618,45.90393719806764,61.4458683888986,66.04644300144302
flesch_kincaid_grade,9.033052471660628,8.547713241710301,13.205362318840582,9.613580031419097,8.298051948051953
smog,11.347848886285185,11.080906280650957,13.5591,11.892052765847286,11.05711978918934
gunning_fog,11.877012971835924,11.490597731239092,15.43961352657005,12.67718624541805,11.346608946608947
automated_readability_index,10.748602898211992,10.242915575916232,16.802256038647343,11.416809216268113,9.972113997113993
coleman_liau_index,11.217989949748738,10.91050610820244,14.819304347826083,11.339109792284866,10.991948051948047
lix,45.77293443964006,44.60782068062827,59.468599033816425,47.41996858090417,44.38383838383838
rix,5.046511627906977,4.78125,8.666666666666666,5.470588235294118,4.666666666666667
pos_prop_VERB,0.12394957983193278,0.1223021582733813,0.140625,0.12727272727272726,0.12633451957295375
pos_prop_DET,0.07247899159663866,0.06474820143884892,0.078125,0.08311688311688312,0.06405693950177936
pos_prop_ADJ,0.06512605042016807,0.058992805755395686,0.0546875,0.07532467532467532,0.05871886120996441
pos_prop_PROPN,0.07668067226890757,0.08920863309352518,0.1328125,0.04155844155844156,0.07473309608540925
pos_prop_NOUN,0.16911764705882354,0.1553956834532374,0.18359375,0.17402597402597403,0.15480427046263345
pos_prop_ADV,0.03046218487394958,0.034532374100719423,0.03515625,0.02857142857142857,0.03914590747330961
pos_prop_PUNCT,0.14600840336134455,0.1539568345323741,0.0859375,0.12207792207792208,0.15658362989323843
pos_prop_NUM,0.01365546218487395,0.014388489208633094,0.0078125,,0.0071174377224199285
pos_prop_SCONJ,0.018907563025210083,0.014388489208633094,0.02734375,0.02857142857142857,0.01601423487544484
pos_prop_PRON,0.08298319327731092,0.08920863309352518,0.0625,0.0987012987012987,0.09430604982206406
pos_prop_AUX,0.04936974789915966,0.051798561151079135,0.0234375,0.05194805194805195,0.05338078291814947
pos_prop_PART,0.031512605042016806,0.03597122302158273,0.03515625,0.02857142857142857,0.03914590747330961
pos_prop_ADP,0.09978991596638656,0.09352517985611511,0.10546875,0.1012987012987013,0.09074733096085409
pos_prop_SYM,0.0010504201680672268,0.0014388489208633094,,,
pos_prop_CCONJ,0.018907563025210083,0.02014388489208633,0.02734375,0.03896103896103896,0.02491103202846975
dependency_distance_mean,2.841229708379409,2.807687953071764,3.013724602117067,3.036027551117065,2.7592315990028404
dependency_distance_std,0.7643330240727682,0.5469924862627749,0.26247339928522784,0.66893183322084,0.5503616833567437
prop_adjacent_dependency_relation_mean,0.439725930055621,0.435082692951416,0.4311963798761421,0.43595931410358973,0.4277102848049414
prop_adjacent_dependency_relation_std,0.06727341909771603,0.07151371222780499,0.06520602061612234,0.05803596611446669,0.07450315558574463
passed_quality_check,True,True,True,True,True
n_stop_words,396.0,290.0,105.0,178.0,243.0
alpha_ratio,0.8392857142857143,0.8316546762589928,0.90234375,0.8779220779220779,0.8362989323843416
mean_word_length,4.2594537815126055,4.18705035971223,4.96875,4.3896103896103895,4.201067615658363
doc_length,952.0,695.0,256.0,385.0,562.0
duplicate_ngram_chr_fraction_5,0.04517326732673267,0.02613440551407237,,0.055308641975308645,0.028338646829613887
duplicate_ngram_chr_fraction_6,0.02929042904290429,0.022975301550832855,,0.055308641975308645,0.028338646829613887
top_ngram_chr_fraction_2,0.01051980198019802,0.011200459506031017,0.007994670219853431,0.013827160493827161,0.010626992561105207
top_ngram_chr_fraction_3,0.007219471947194719,0.010051694428489374,,0.011851851851851851,0.010626992561105207
top_ngram_chr_fraction_4,0.012376237623762377,0.01723147616312464,,0.013827160493827161,0.017711654268508677
connectives,18,12,9,8,12
